Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
LAKE DALLAS ISD,Texas,4826430.0,Denton County,48121.0,6.0,5.0,TX-061912,3871.0,291.61,582.31,061912,0.8333333333333334
LAKE GRANBURY ACADEMY CHARTER SCHOOL,TEXAS,4801464.0,Hood County,48221.0,1.0,1.0,TX-111801,71.0,4.87,7.01,111801,1.0
LAKE TRAVIS ISD,Texas,4826470.0,Travis County,48453.0,12.0,11.0,TX-227913,11001.0,669.87,1231.7,227913,0.9166666666666666
LAKE WORTH ISD,Texas,4826490.0,Tarrant County,48439.0,8.0,7.0,TX-220910,3311.0,254.93,540.32,220910,0.875
LAMAR CISD,Texas,4826580.0,Fort Bend County,48157.0,44.0,42.0,TX-079901,36519.0,2299.32,4427.93,079901,0.9545454545454546
LAMESA ISD,Texas,4826610.0,Dawson County,48115.0,1.0,1.0,TX-058906,1729.0,116.74,300.76,058906,1.0
LAMPASAS ISD,Texas,4826640.0,Lampasas County,48281.0,5.0,5.0,TX-141901,3416.0,246.5,546.46,141901,1.0
LANCASTER ISD,Texas,4826670.0,Dallas County,48113.0,11.0,10.0,TX-057913,7176.0,435.12,876.34,057913,0.9090909090909091
LANEVILLE ISD,Texas,4826700.0,Rusk County,48401.0,1.0,1.0,TX-201903,163.0,18.03,36.07,201903,1.0
LAPOYNOR ISD,Texas,4826220.0,Henderson County,48213.0,3.0,3.0,TX-107910,474.0,38.81,76.23,107910,1.0
LAREDO ISD,Texas,4826790.0,Webb County,48479.0,30.0,30.0,TX-240901,22041.0,1489.18,3692.4,240901,1.0
LASARA ISD,Texas,4826850.0,Willacy County,48489.0,2.0,2.0,TX-245901,313.0,28.06,68.83,245901,1.0
LATEXO ISD,Texas,4826910.0,Houston County,48225.0,2.0,2.0,TX-113905,464.0,43.54,73.34,113905,1.0
LAZBUDDIE ISD,Texas,4826970.0,Parmer County,48369.0,1.0,1.0,TX-185904,182.0,18.53,36.81,185904,1.0
LEADERSHIP PREP SCHOOL,Texas,4801420.0,Denton County,48121.0,2.0,2.0,TX-061804,1347.0,69.99,109.28,061804,1.0
LEAKEY ISD,Texas,4827000.0,Real County,48385.0,1.0,1.0,TX-193902,286.0,26.45,53.55,193902,1.0
LEANDER ISD,Texas,4827030.0,Williamson County,48491.0,50.0,47.0,TX-246913,40355.0,2918.41,5262.49,246913,0.94
LEARN4LIFE-AUSTIN,TEXAS,4801478.0,Travis County,48453.0,1.0,0.0,TX-227830,0.0,0.0,0.0,227830,0.0
LEARY ISD,Texas,4827060.0,Bowie County,48037.0,1.0,1.0,TX-019914,103.0,10.98,18.95,019914,1.0
LEFORS ISD,Texas,4827090.0,Gray County,48179.0,1.0,1.0,TX-090902,169.0,18.86,33.07,090902,1.0
LEGACY PREPARATORY,Texas,4801428.0,Dallas County,48113.0,2.0,2.0,TX-057846,1513.0,103.8,174.84,057846,1.0
LEGACY SCHOOL OF SPORT SCIENCES,TEXAS,4801459.0,Harris County,48201.0,1.0,1.0,TX-101874,392.0,29.77,45.37,101874,1.0
LEGGETT ISD,Texas,4827120.0,Polk County,48373.0,2.0,2.0,TX-187906,204.0,16.0,33.95,187906,1.0
LEON ISD,Texas,4827180.0,Leon County,48289.0,2.0,2.0,TX-145911,735.0,60.14,115.78,145911,1.0
LEONARD ISD,Texas,4827210.0,Fannin County,48147.0,4.0,4.0,TX-074909,831.0,64.37,131.79,074909,1.0
LEVELLAND ISD,Texas,4827240.0,Hockley County,48219.0,6.0,6.0,TX-110902,2799.0,222.93,445.42,110902,1.0
LEVERETTS CHAPEL ISD,Texas,4827270.0,Rusk County,48401.0,3.0,3.0,TX-201904,237.0,25.99,46.67,201904,1.0
LEWISVILLE ISD,Texas,4827300.0,Denton County,48121.0,67.0,64.0,TX-061902,49361.0,3691.7,6363.81,061902,0.9552238805970149
LEXINGTON ISD,Texas,4827330.0,Lee County,48287.0,3.0,3.0,TX-144902,1059.0,81.76,149.39,144902,1.0
LIBERTY HILL ISD,Texas,4827420.0,Williamson County,48491.0,11.0,9.0,TX-246908,5539.0,369.36,694.71,246908,0.8181818181818182
LIBERTY ISD,Texas,4827450.0,Liberty County,48291.0,4.0,4.0,TX-146906,2227.0,147.31,384.69,146906,1.0
LIBERTY-EYLAU ISD,Texas,4827390.0,Bowie County,48037.0,4.0,4.0,TX-019908,2282.0,199.96,411.1,019908,1.0
LIFE SCHOOL,Texas,4800055.0,Ellis County,48139.0,8.0,8.0,TX-057807,5547.0,342.04,640.0,057807,1.0
LIGHTHOUSE PUBLIC SCHOOLS,Texas,4800246.0,Bexar County,48029.0,2.0,2.0,TX-015825,323.0,18.99,36.96,015825,1.0
LINDALE ISD,Texas,4827510.0,Smith County,48423.0,6.0,6.0,TX-212903,4148.0,293.3,650.69,212903,1.0
LINDEN-KILDARE CISD,Texas,4827540.0,Cass County,48067.0,3.0,3.0,TX-034905,626.0,66.67,130.99,034905,1.0
LINDSAY ISD,Texas,4827570.0,Cooke County,48097.0,2.0,2.0,TX-049907,489.0,42.33,67.03,049907,1.0
LINGLEVILLE ISD,Texas,4827600.0,Erath County,48143.0,1.0,1.0,TX-072909,278.0,27.0,51.09,072909,1.0
LIPAN ISD,Texas,4827630.0,Hood County,48221.0,2.0,2.0,TX-111902,413.0,38.71,66.87,111902,1.0
LITTLE CYPRESS-MAURICEVILLE CISD,Texas,4827690.0,Orange County,48361.0,6.0,6.0,TX-181908,3194.0,234.33,488.36,181908,1.0
LITTLE ELM ISD,Texas,4827720.0,Denton County,48121.0,12.0,9.0,TX-061914,8108.0,489.6,919.82,061914,0.75
LITTLEFIELD ISD,Texas,4827750.0,Lamb County,48279.0,4.0,4.0,TX-140904,1268.0,95.81,199.69,140904,1.0
LIVINGSTON ISD,Texas,4827780.0,Polk County,48373.0,7.0,7.0,TX-187907,3804.0,270.54,517.34,187907,1.0
LLANO ISD,Texas,4827810.0,Llano County,48299.0,4.0,4.0,TX-150901,1731.0,138.95,286.42,150901,1.0
LOCKHART ISD,Texas,4827870.0,Caldwell County,48055.0,9.0,9.0,TX-028902,6043.0,385.23,730.2,028902,1.0
LOCKNEY ISD,Texas,4827890.0,Floyd County,48153.0,4.0,3.0,TX-077902,456.0,41.63,90.42,077902,0.75
LOHN ISD,Texas,4827930.0,McCulloch County,48307.0,1.0,1.0,TX-160905,102.0,13.95,27.47,160905,1.0
LOMETA ISD,Texas,4827960.0,Lampasas County,48281.0,2.0,2.0,TX-141902,316.0,27.86,57.45,141902,1.0
LONDON ISD,Texas,4827990.0,Nueces County,48355.0,4.0,4.0,TX-178906,1280.0,84.24,149.92,178906,1.0
LONE OAK ISD,Texas,4828020.0,Hunt County,48231.0,3.0,3.0,TX-116906,967.0,77.52,155.64,116906,1.0
