Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
MOUNT PLEASANT ISD,Texas,4831760.0,Titus County,48449.0,9.0,9.0,TX-225902,5306.0,406.34,832.97,225902,1.0
MOUNT VERNON ISD,Texas,4831770.0,Franklin County,48159.0,3.0,3.0,TX-080901,1478.0,121.42,230.01,080901,1.0
MUENSTER ISD,Texas,4831860.0,Cooke County,48097.0,2.0,2.0,TX-049902,524.0,43.6,68.49,049902,1.0
MULESHOE ISD,Texas,4831890.0,Bailey County,48017.0,4.0,4.0,TX-009901,1337.0,113.54,219.96,009901,1.0
MULLIN ISD,Texas,4831920.0,Mills County,48333.0,5.0,5.0,TX-167902,217.0,33.63,72.41,167902,1.0
MUMFORD ISD,Texas,4831950.0,Robertson County,48395.0,2.0,2.0,TX-198906,615.0,39.99,72.81,198906,1.0
MUNDAY CISD,Texas,4831970.0,Knox County,48275.0,2.0,2.0,TX-138903,396.0,41.44,76.36,138903,1.0
MURCHISON ISD,Texas,4832010.0,Henderson County,48213.0,1.0,1.0,TX-107908,168.0,16.57,32.7,107908,1.0
NACOGDOCHES ISD,Texas,4832090.0,Nacogdoches County,48347.0,11.0,11.0,TX-174904,5940.0,453.96,1013.58,174904,1.0
NATALIA ISD,Texas,4832130.0,Medina County,48325.0,4.0,4.0,TX-163903,1024.0,79.99,179.65,163903,1.0
NAVARRO ISD,Texas,4832160.0,Guadalupe County,48187.0,4.0,4.0,TX-094903,1849.0,133.44,255.58,094903,1.0
NAVASOTA ISD,Texas,4832190.0,Grimes County,48185.0,6.0,6.0,TX-093904,2847.0,251.99,443.27,093904,1.0
NAZARETH ISD,Texas,4832220.0,Castro County,48069.0,1.0,1.0,TX-035903,250.0,19.7,35.99,035903,1.0
NECHES ISD,Texas,4832250.0,Anderson County,48001.0,2.0,2.0,TX-001906,339.0,35.48,65.4,001906,1.0
NEDERLAND ISD,Texas,4832280.0,Jefferson County,48245.0,9.0,8.0,TX-123905,5022.0,366.06,674.28,123905,0.8888888888888888
NEEDVILLE ISD,Texas,4832310.0,Fort Bend County,48157.0,5.0,4.0,TX-079906,3306.0,217.04,395.02,079906,0.8
NEW BOSTON ISD,Texas,4832340.0,Bowie County,48037.0,4.0,4.0,TX-019905,1174.0,119.52,242.71,019905,1.0
NEW BRAUNFELS ISD,Texas,4832370.0,Comal County,48091.0,16.0,16.0,TX-046901,9282.0,578.16,1131.23,046901,1.0
NEW CANEY ISD,Texas,4832400.0,Montgomery County,48339.0,21.0,20.0,TX-170908,16274.0,1050.05,2222.17,170908,0.9523809523809523
NEW DEAL ISD,Texas,4832430.0,Lubbock County,48303.0,5.0,4.0,TX-152902,754.0,58.14,105.44,152902,0.8
NEW DIANA ISD,Texas,4832460.0,Upshur County,48459.0,3.0,3.0,TX-230906,1175.0,92.59,168.34,230906,1.0
NEW FRONTIERS PUBLIC SCHOOLS INC,Texas,4800061.0,Bexar County,48029.0,2.0,2.0,TX-015805,485.0,39.98,72.85,015805,1.0
NEW HOME ISD,Texas,4832490.0,Lynn County,48305.0,1.0,1.0,TX-153905,575.0,47.0,74.88,153905,1.0
NEW SUMMERFIELD ISD,Texas,4832610.0,Cherokee County,48073.0,1.0,1.0,TX-037908,529.0,45.73,100.76,037908,1.0
NEW WAVERLY ISD,Texas,4832640.0,Walker County,48471.0,4.0,4.0,TX-236901,1038.0,82.67,154.57,236901,1.0
NEWCASTLE ISD,Texas,4832700.0,Young County,48503.0,1.0,1.0,TX-252902,210.0,21.9,39.33,252902,1.0
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,Texas,4801421.0,Tarrant County,48439.0,6.0,6.0,TX-220817,3059.0,270.44,430.56,220817,1.0
NEWTON ISD,Texas,4832730.0,Newton County,48351.0,3.0,3.0,TX-176902,969.0,91.62,189.68,176902,1.0
NIXON-SMILEY CISD,Texas,4832740.0,Gonzales County,48177.0,5.0,5.0,TX-089903,1015.0,88.14,209.33,089903,1.0
NOCONA ISD,Texas,4832790.0,Montague County,48337.0,3.0,3.0,TX-169902,805.0,74.11,150.0,169902,1.0
NORDHEIM ISD,Texas,4832880.0,DeWitt County,48123.0,2.0,1.0,TX-062902,144.0,16.6,28.55,062902,0.5
NORMANGEE ISD,Texas,4832910.0,Leon County,48289.0,3.0,3.0,TX-145906,595.0,50.13,99.35,145906,1.0
NORTH EAST ISD,Texas,4832940.0,Bexar County,48029.0,75.0,75.0,TX-015910,60483.0,4224.64,8516.79,015910,1.0
NORTH HOPKINS ISD,Texas,4832970.0,Hopkins County,48223.0,2.0,2.0,TX-112906,555.0,46.85,93.3,112906,1.0
NORTH LAMAR ISD,Texas,4833010.0,Lamar County,48277.0,6.0,6.0,TX-139911,2361.0,208.25,439.25,139911,1.0
NORTH TEXAS COLLEGIATE ACADEMY,Texas,4800187.0,Denton County,48121.0,3.0,3.0,TX-061802,633.0,46.21,63.79,061802,1.0
NORTH ZULCH ISD,Texas,4833030.0,Madison County,48313.0,1.0,1.0,TX-154903,300.0,30.1,53.65,154903,1.0
NORTHSIDE ISD,Texas,4833120.0,Bexar County,48029.0,130.0,121.0,TX-015915,103151.0,6844.94,13307.78,015915,0.9307692307692308
NORTHSIDE ISD,Texas,4833090.0,Wilbarger County,48487.0,1.0,1.0,TX-244905,238.0,17.89,28.68,244905,1.0
NORTHWEST ISD,Texas,4833180.0,Denton County,48121.0,34.0,30.0,TX-061911,25383.0,1728.82,2701.93,061911,0.8823529411764706
NOVA ACADEMY,Texas,4800072.0,Dallas County,48113.0,1.0,1.0,TX-057809,122.0,9.9,18.96,057809,1.0
NOVA ACADEMY SOUTHEAST,Texas,4800201.0,Dallas County,48113.0,2.0,2.0,TX-057827,613.0,41.68,72.79,057827,1.0
NUECES CANYON CISD,Texas,4833240.0,Edwards County,48137.0,2.0,2.0,TX-069902,260.0,26.68,52.65,069902,1.0
NURSERY ISD,Texas,4833270.0,Victoria County,48469.0,1.0,1.0,TX-235904,141.0,14.0,24.9,235904,1.0
NYOS CHARTER SCHOOL,Texas,4800058.0,Travis County,48453.0,2.0,2.0,TX-227804,1077.0,91.86,142.31,227804,1.0
O'DONNELL ISD,Texas,4833390.0,Lynn County,48305.0,1.0,1.0,TX-153903,298.0,36.04,64.01,153903,1.0
OAKWOOD ISD,Texas,4833340.0,Leon County,48289.0,2.0,2.0,TX-145907,192.0,20.91,43.4,145907,1.0
ODEM-EDROY ISD,Texas,4833360.0,San Patricio County,48409.0,4.0,4.0,TX-205905,846.0,73.61,157.91,205905,1.0
ODYSSEY ACADEMY INC,Texas,4800108.0,Galveston County,48167.0,2.0,2.0,TX-084802,1397.0,92.82,193.39,084802,1.0
OGLESBY ISD,Texas,4833420.0,Coryell County,48099.0,1.0,1.0,TX-050904,185.0,19.61,34.38,050904,1.0
OLFEN ISD,Texas,4833570.0,Runnels County,48399.0,4.0,3.0,TX-200906,142.0,14.84,25.25,200906,0.75
OLNEY ISD,Texas,4833630.0,Young County,48503.0,3.0,3.0,TX-252903,707.0,75.62,140.41,252903,1.0
OLTON ISD,Texas,4833660.0,Lamb County,48279.0,3.0,3.0,TX-140905,596.0,54.56,108.9,140905,1.0
ONALASKA ISD,Texas,4833690.0,Polk County,48373.0,2.0,2.0,TX-187910,1180.0,87.44,182.39,187910,1.0
ORANGE GROVE ISD,Texas,4833720.0,Jim Wells County,48249.0,4.0,4.0,TX-125903,1714.0,121.99,246.31,125903,1.0
ORANGEFIELD ISD,Texas,4833780.0,Orange County,48361.0,3.0,3.0,TX-181905,1791.0,132.33,255.81,181905,1.0
ORE CITY ISD,Texas,4833840.0,Upshur County,48459.0,3.0,3.0,TX-230903,928.0,80.68,159.43,230903,1.0
ORENDA CHARTER SCHOOL,Texas,4800235.0,Williamson County,48491.0,5.0,5.0,TX-014804,1848.0,108.72,176.42,014804,1.0
OVERTON ISD,Texas,4833870.0,Rusk County,48401.0,2.0,2.0,TX-201908,477.0,49.07,93.88,201908,1.0
PADUCAH ISD,Texas,4833900.0,Cottle County,48101.0,1.0,1.0,TX-051901,183.0,20.49,37.31,051901,1.0
PAINT CREEK ISD,Texas,4833960.0,Haskell County,48207.0,1.0,1.0,TX-104907,91.0,16.24,29.62,104907,1.0
PAINT ROCK ISD,Texas,4833980.0,Concho County,48095.0,6.0,4.0,TX-048903,237.0,23.61,43.4,048903,0.6666666666666666
PALACIOS ISD,Texas,4834020.0,Matagorda County,48321.0,4.0,4.0,TX-158905,1316.0,96.86,202.21,158905,1.0
PALESTINE ISD,Texas,4834050.0,Anderson County,48001.0,6.0,6.0,TX-001907,3400.0,261.55,545.79,001907,1.0
PALMER ISD,Texas,4834110.0,Ellis County,48139.0,3.0,3.0,TX-070910,1246.0,88.99,179.07,070910,1.0
PALO PINTO ISD,Texas,4834140.0,Palo Pinto County,48363.0,1.0,1.0,TX-182906,84.0,10.71,17.89,182906,1.0
PAMPA ISD,Texas,4834170.0,Gray County,48179.0,6.0,6.0,TX-090904,3506.0,235.36,514.8,090904,1.0
PANHANDLE ISD,Texas,4834230.0,Carson County,48065.0,3.0,3.0,TX-033902,669.0,58.21,110.65,033902,1.0
PANOLA CHARTER SCHOOL,Texas,4800213.0,Panola County,48365.0,3.0,3.0,TX-183801,191.0,6.0,17.25,183801,1.0
PANTHER CREEK CISD,Texas,4800007.0,Coleman County,48083.0,1.0,1.0,TX-042905,156.0,18.11,32.83,042905,1.0
PARADISE ISD,Texas,4834260.0,Wise County,48497.0,4.0,4.0,TX-249906,1216.0,97.39,164.18,249906,1.0
PARIS ISD,Texas,4834290.0,Lamar County,48277.0,8.0,8.0,TX-139909,3857.0,316.78,601.75,139909,1.0
PASADENA ISD,Texas,4834320.0,Harris County,48201.0,67.0,67.0,TX-101917,50614.0,3752.34,8324.23,101917,1.0
PATTON SPRINGS ISD,Texas,4834380.0,Dickens County,48125.0,1.0,1.0,TX-063906,90.0,10.17,30.46,063906,1.0
PAWNEE ISD,Texas,4834410.0,Bee County,48025.0,1.0,1.0,TX-013902,315.0,22.95,70.87,013902,1.0
PEARLAND ISD,Texas,4834440.0,Brazoria County,48039.0,25.0,23.0,TX-020908,21067.0,1317.93,2581.3,020908,0.92
PEARSALL ISD,Texas,4834470.0,Frio County,48163.0,5.0,5.0,TX-082903,2025.0,142.3,344.63,082903,1.0
PEASTER ISD,Texas,4834500.0,Parker County,48367.0,3.0,3.0,TX-184908,1382.0,112.02,207.6,184908,1.0
PECOS-BARSTOW-TOYAH ISD,Texas,4834550.0,Reeves County,48389.0,5.0,5.0,TX-195901,2697.0,194.05,413.04,195901,1.0
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,Texas,4800029.0,Dallas County,48113.0,1.0,1.0,TX-057802,506.0,30.98,56.15,057802,1.0
PENELOPE ISD,Texas,4834560.0,Hill County,48217.0,2.0,2.0,TX-109914,211.0,20.02,42.28,109914,1.0
PERRIN-WHITT CISD,Texas,4834630.0,Jack County,48237.0,2.0,2.0,TX-119903,316.0,31.29,55.83,119903,1.0
PERRYTON ISD,Texas,4834650.0,Ochiltree County,48357.0,6.0,6.0,TX-179901,2133.0,170.15,366.72,179901,1.0
PETERSBURG ISD,Texas,4834680.0,Hale County,48189.0,3.0,1.0,TX-095904,291.0,27.54,57.84,095904,0.3333333333333333
PETROLIA CISD,Texas,4834710.0,Clay County,48077.0,2.0,2.0,TX-039903,446.0,44.93,80.02,039903,1.0
PETTUS ISD,Texas,4834770.0,Bee County,48025.0,2.0,2.0,TX-013903,374.0,36.45,75.3,013903,1.0
PEWITT CISD,Texas,4834800.0,Morris County,48343.0,3.0,3.0,TX-172905,861.0,76.08,148.71,172905,1.0
PFLUGERVILLE ISD,Texas,4834830.0,Travis County,48453.0,33.0,31.0,TX-227904,25436.0,1909.05,3608.17,227904,0.9393939393939394
PHARR-SAN JUAN-ALAMO ISD,Texas,4834860.0,Hidalgo County,48215.0,46.0,42.0,TX-108909,31234.0,2167.14,4660.77,108909,0.9130434782608695
PILOT POINT ISD,Texas,4834920.0,Denton County,48121.0,5.0,4.0,TX-061903,1362.0,109.97,208.46,061903,0.8
PINE TREE ISD,Texas,4834980.0,Gregg County,48183.0,7.0,7.0,TX-092904,4545.0,321.37,670.67,092904,1.0
PINEYWOODS COMMUNITY ACADEMY,Texas,4800074.0,Angelina County,48005.0,3.0,3.0,TX-003801,996.0,67.44,129.71,003801,1.0
PIONEER TECHNOLOGY & ARTS ACADEMY,TEXAS,4801451.0,Dallas County,48113.0,6.0,6.0,TX-057850,1709.0,147.0,191.0,057850,1.0
PITTSBURG ISD,Texas,4835010.0,Camp County,48063.0,5.0,5.0,TX-032902,2347.0,193.03,418.23,032902,1.0
PLAINS ISD,Texas,4835040.0,Yoakum County,48501.0,3.0,3.0,TX-251902,431.0,40.89,78.33,251902,1.0
PLAINVIEW ISD,Texas,4835070.0,Hale County,48189.0,10.0,10.0,TX-095905,4843.0,346.14,711.81,095905,1.0
PLANO ISD,Texas,4835100.0,Collin County,48085.0,85.0,79.0,TX-043910,50154.0,3786.89,6707.33,043910,0.9294117647058824
PLEASANT GROVE ISD,Texas,4835130.0,Bowie County,48037.0,4.0,4.0,TX-019912,2233.0,166.61,263.0,019912,1.0
PLEASANTON ISD,Texas,4835190.0,Atascosa County,48013.0,6.0,6.0,TX-007905,3437.0,247.76,525.23,007905,1.0
PLEMONS-STINNETT-PHILLIPS CISD,Texas,4841580.0,Hutchinson County,48233.0,3.0,3.0,TX-117904,673.0,72.94,126.27,117904,1.0
POINT ISABEL ISD,Texas,4835250.0,Cameron County,48061.0,5.0,5.0,TX-031909,2072.0,132.72,312.6,031909,1.0
PONDER ISD,Texas,4835310.0,Denton County,48121.0,4.0,4.0,TX-061906,1585.0,110.96,214.36,061906,1.0
POOLVILLE ISD,Texas,4835340.0,Parker County,48367.0,3.0,3.0,TX-184901,557.0,54.06,99.97,184901,1.0
POR VIDA ACADEMY,Texas,4800004.0,Bexar County,48029.0,2.0,2.0,TX-015801,137.0,15.05,53.17,015801,1.0
PORT ARANSAS ISD,Texas,4835370.0,Nueces County,48355.0,4.0,3.0,TX-178908,503.0,46.61,93.85,178908,0.75
PORT ARTHUR ISD,Texas,4835400.0,Jefferson County,48245.0,15.0,14.0,TX-123907,7957.0,613.87,1313.17,123907,0.9333333333333333
PORT NECHES-GROVES ISD,Texas,4835430.0,Jefferson County,48245.0,16.0,12.0,TX-123908,4984.0,358.89,511.88,123908,0.75
POSITIVE SOLUTIONS CHARTER SCHOOL,Texas,4800059.0,Bexar County,48029.0,1.0,1.0,TX-015814,119.0,9.23,16.5,015814,1.0
POST ISD,Texas,4835490.0,Garza County,48169.0,4.0,4.0,TX-085902,797.0,71.81,154.81,085902,1.0
POTEET ISD,Texas,4835520.0,Atascosa County,48013.0,5.0,4.0,TX-007906,1603.0,121.57,247.09,007906,0.8
POTH ISD,Texas,4835550.0,Wilson County,48493.0,5.0,4.0,TX-247904,846.0,74.74,133.82,247904,0.8
POTTSBORO ISD,Texas,4835580.0,Grayson County,48181.0,3.0,3.0,TX-091913,1403.0,102.95,195.09,091913,1.0
PRAIRIE LEA ISD,Texas,4835700.0,Caldwell County,48055.0,1.0,1.0,TX-028906,221.0,17.89,31.46,028906,1.0
PRAIRIE VALLEY ISD,Texas,4835730.0,Montague County,48337.0,2.0,2.0,TX-169909,152.0,16.19,28.61,169909,1.0
PRAIRILAND ISD,Texas,4835740.0,Lamar County,48277.0,4.0,4.0,TX-139912,1036.0,84.4,151.75,139912,1.0
PRELUDE PREPARATORY CHARTER SCHOOL,TEXAS,4801476.0,Bexar County,48029.0,1.0,0.0,TX-015843,0.0,0.0,0.0,015843,0.0
PREMIER HIGH SCHOOLS,Texas,4800207.0,Denton County,48121.0,36.0,36.0,TX-072801,6332.0,356.23,1147.27,072801,1.0
PREMONT ISD,Texas,4835760.0,Jim Wells County,48249.0,2.0,2.0,TX-125905,702.0,45.95,86.56,125905,1.0
PRESIDIO ISD,Texas,4835800.0,Presidio County,48377.0,3.0,3.0,TX-189902,1058.0,74.97,206.14,189902,1.0
PRIDDY ISD,Texas,4835820.0,Mills County,48333.0,1.0,1.0,TX-167904,116.0,15.37,26.51,167904,1.0
PRINCETON ISD,Texas,4835850.0,Collin County,48085.0,13.0,10.0,TX-043911,5818.0,381.84,763.43,043911,0.7692307692307693
PRINGLE-MORSE CISD,Texas,4835890.0,Hansford County,48195.0,1.0,1.0,TX-098903,113.0,12.03,29.51,098903,1.0
PRIORITY CHARTER SCHOOLS,Texas,4800076.0,Bell County,48027.0,4.0,4.0,TX-014803,846.0,68.73,121.54,014803,1.0
PROGRESO ISD,Texas,4835910.0,Hidalgo County,48215.0,6.0,4.0,TX-108910,1533.0,109.0,297.62,108910,0.6666666666666666
PROMESA ACADEMY CHARTER SCHOOL,TEXAS,4801467.0,Bexar County,48029.0,1.0,1.0,TX-015839,196.0,15.0,21.9,015839,1.0
PROMESA PUBLIC SCHOOLS,Texas,4801414.0,Travis County,48453.0,4.0,4.0,TX-227824,1010.0,51.79,95.75,227824,1.0
PROMISE COMMUNITY SCHOOL,Texas,4800240.0,Harris County,48201.0,5.0,5.0,TX-101853,1556.0,100.64,157.66,101853,1.0
PROSPER ISD,Texas,4836000.0,Collin County,48085.0,24.0,19.0,TX-043912,19138.0,1273.37,2130.84,043912,0.7916666666666666
QUANAH ISD,Texas,4836180.0,Hardeman County,48197.0,3.0,3.0,TX-099903,528.0,55.61,118.89,099903,1.0
QUEEN CITY ISD,Texas,4836210.0,Cass County,48067.0,3.0,3.0,TX-034907,959.0,84.73,181.53,034907,1.0
QUINLAN ISD,Texas,4836240.0,Hunt County,48231.0,4.0,4.0,TX-116908,2592.0,182.52,394.31,116908,1.0
QUITMAN ISD,Texas,4836300.0,Wood County,48499.0,3.0,3.0,TX-250904,1130.0,97.22,188.2,250904,1.0
RAINS ISD,Texas,4836360.0,Rains County,48379.0,4.0,4.0,TX-190903,1709.0,132.11,290.41,190903,1.0
RALLS ISD,Texas,4836390.0,Crosby County,48107.0,4.0,4.0,TX-054903,462.0,48.98,90.08,054903,1.0
RAMIREZ CSD,Texas,4836420.0,Duval County,48131.0,1.0,1.0,TX-066005,44.0,3.01,8.98,066005,1.0
RANCH ACADEMY,Texas,4800171.0,Van Zandt County,48467.0,1.0,1.0,TX-234801,61.0,4.83,14.23,234801,1.0
RANDOLPH FIELD ISD,Texas,4836450.0,Bexar County,48029.0,3.0,3.0,TX-015906,1441.0,103.65,197.1,015906,1.0
RANGER ISD,Texas,4836480.0,Eastland County,48133.0,3.0,3.0,TX-067907,351.0,42.52,75.96,067907,1.0
RANKIN ISD,Texas,4836510.0,Upton County,48461.0,1.0,1.0,TX-231902,289.0,39.77,75.92,231902,1.0
RAPOPORT ACADEMY PUBLIC SCHOOL,Texas,4800042.0,McLennan County,48309.0,3.0,3.0,TX-161802,821.0,78.87,144.69,161802,1.0
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,Texas,4800022.0,Harris County,48201.0,4.0,4.0,TX-101806,1335.0,81.47,164.89,101806,1.0
RAVEN SCHOOL,Texas,4800048.0,Walker County,48471.0,1.0,1.0,TX-236801,39.0,4.8,21.26,236801,1.0
RAYMONDVILLE ISD,Texas,4836540.0,Willacy County,48489.0,6.0,5.0,TX-245903,2080.0,153.49,351.06,245903,0.8333333333333334
REAGAN COUNTY ISD,Texas,4836570.0,Reagan County,48383.0,3.0,3.0,TX-192901,837.0,85.23,166.54,192901,1.0
RED LICK ISD,Texas,4836630.0,Bowie County,48037.0,2.0,2.0,TX-019911,518.0,40.0,66.54,019911,1.0
RED OAK ISD,Texas,4836660.0,Ellis County,48139.0,7.0,7.0,TX-070911,6001.0,391.76,850.29,070911,1.0
REDWATER ISD,Texas,4836750.0,Bowie County,48037.0,4.0,4.0,TX-019906,1107.0,99.19,154.8,019906,1.0
REFUGIO ISD,Texas,4836780.0,Refugio County,48391.0,3.0,3.0,TX-196903,682.0,61.52,156.76,196903,1.0
REG 1 EDUCATION SERVICE CENTER,Texas,4800136.0,Hidalgo County,48215.0,0.0,0.0,TX-108950,0.0,0.0,1.99,108950,
REG 10 EDUCATION SERVICE CENTER,Texas,4800104.0,Dallas County,48113.0,0.0,0.0,TX-057950,0.0,0.0,11.63,057950,
REG 11 EDUCATION SERVICE CENTER,Texas,4800162.0,Tarrant County,48439.0,0.0,0.0,TX-220950,0.0,0.0,4.55,220950,
REG 12 EDUCATION SERVICE CENTER,Texas,4800146.0,McLennan County,48309.0,0.0,0.0,TX-161950,0.0,0.0,0.0,161950,
REG 13 EDUCATION SERVICE CENTER,Texas,4800169.0,Travis County,48453.0,0.0,0.0,TX-227950,0.0,0.0,5.55,227950,
REG 14 EDUCATION SERVICE CENTER,Texas,4800164.0,Taylor County,48441.0,0.0,0.0,TX-221950,0.0,0.0,0.0,221950,
REG 15 EDUCATION SERVICE CENTER,Texas,4800166.0,Tom Green County,48451.0,0.0,0.0,TX-226950,0.0,0.0,0.0,226950,
REG 16 EDUCATION SERVICE CENTER,Texas,4800156.0,Randall County,48381.0,0.0,0.0,TX-188950,0.0,0.0,50.91,188950,
REG 17 EDUCATION SERVICE CENTER,Texas,4800144.0,Lubbock County,48303.0,0.0,0.0,TX-152950,0.0,0.0,15.8,152950,
REG 18 EDUCATION SERVICE CENTER,Texas,4800150.0,Midland County,48329.0,0.0,0.0,TX-165950,0.0,0.0,0.0,165950,
REG 19 EDUCATION SERVICE CENTER,Texas,4800107.0,El Paso County,48141.0,0.0,0.0,TX-071950,0.0,0.0,3.0,071950,
REG 2 EDUCATION SERVICE CENTER,Texas,4800154.0,Nueces County,48355.0,0.0,0.0,TX-178950,0.0,0.0,5.0,178950,
REG 20 EDUCATION SERVICE CENTER,Texas,4800083.0,Bexar County,48029.0,0.0,0.0,TX-015950,0.0,0.0,37.3,015950,
REG 3 EDUCATION SERVICE CENTER,Texas,4800172.0,Victoria County,48469.0,0.0,0.0,TX-235950,0.0,0.0,0.0,235950,
REG 4 EDUCATION SERVICE CENTER,Texas,4800130.0,Harris County,48201.0,0.0,0.0,TX-101950,0.0,0.0,0.75,101950,
REG 5 EDUCATION SERVICE CENTER,Texas,4800155.0,Jefferson County,48245.0,0.0,0.0,TX-181950,0.0,5.13,10.26,181950,
REG 6 EDUCATION SERVICE CENTER,Texas,4800173.0,Walker County,48471.0,0.0,0.0,TX-236950,0.0,0.0,3.41,236950,
REG 7 EDUCATION SERVICE CENTER,Texas,4800110.0,Gregg County,48183.0,0.0,0.0,TX-092950,0.0,0.0,1.23,092950,
REG 8 EDUCATION SERVICE CENTER,Texas,4800165.0,Camp County,48063.0,0.0,0.0,TX-225950,0.0,0.0,2.0,225950,
REG 9 EDUCATION SERVICE CENTER,Texas,4800176.0,Wichita County,48485.0,0.0,0.0,TX-243950,0.0,0.0,0.0,243950,
REVE PREPARATORY CHARTER SCHOOL,TEXAS,4801465.0,Harris County,48201.0,1.0,1.0,TX-101876,120.0,5.01,11.92,101876,1.0
RICARDO ISD,Texas,4836930.0,Kleberg County,48273.0,2.0,2.0,TX-137902,654.0,46.0,99.04,137902,1.0
RICE CISD,Texas,4836970.0,Colorado County,48089.0,7.0,7.0,TX-045903,1289.0,105.68,208.03,045903,1.0
RICE ISD,Texas,4836960.0,Navarro County,48349.0,3.0,3.0,TX-175911,969.0,67.98,148.83,175911,1.0
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Texas,4800075.0,Bexar County,48029.0,9.0,9.0,TX-014801,1861.0,68.31,164.43,014801,1.0
RICHARDS ISD,Texas,4836990.0,Grimes County,48185.0,2.0,2.0,TX-093905,182.0,18.89,32.01,093905,1.0
RICHARDSON ISD,Texas,4837020.0,Dallas County,48113.0,56.0,55.0,TX-057916,37787.0,2841.05,5571.94,057916,0.9821428571428571
RICHLAND COLLEGIATE HIGH SCHOOL,Texas,4800271.0,Dallas County,48113.0,1.0,1.0,TX-057840,498.0,0.96,2.4,057840,1.0
RICHLAND SPRINGS ISD,Texas,4837080.0,San Saba County,48411.0,1.0,1.0,TX-206902,112.0,13.68,26.74,206902,1.0
RIESEL ISD,Texas,4837110.0,McLennan County,48309.0,4.0,2.0,TX-161912,648.0,48.91,85.38,161912,0.5
RIO GRANDE CITY CISD,Texas,4837140.0,Starr County,48427.0,15.0,15.0,TX-214901,9997.0,750.32,1891.37,214901,1.0
RIO HONDO ISD,Texas,4837170.0,Cameron County,48061.0,5.0,4.0,TX-031911,1731.0,110.61,269.93,031911,0.8
RIO VISTA ISD,Texas,4837200.0,Johnson County,48251.0,4.0,3.0,TX-126907,770.0,66.85,123.57,126907,0.75
RISE ACADEMY,Texas,4800141.0,Lubbock County,48303.0,1.0,1.0,TX-152802,277.0,17.35,38.91,152802,1.0
RISING STAR ISD,Texas,4837230.0,Eastland County,48133.0,2.0,2.0,TX-067908,186.0,18.09,33.01,067908,1.0
RIVER ROAD ISD,Texas,4837260.0,Potter County,48375.0,4.0,4.0,TX-188902,1272.0,109.24,231.11,188902,1.0
RIVERCREST ISD,Texas,4842120.0,Red River County,48387.0,3.0,3.0,TX-194903,657.0,68.8,126.22,194903,1.0
RIVIERA ISD,Texas,4837320.0,Kleberg County,48273.0,2.0,2.0,TX-137903,435.0,38.86,67.76,137903,1.0
ROBERT LEE ISD,Texas,4837380.0,Coke County,48081.0,6.0,4.0,TX-041902,258.0,24.8,48.42,041902,0.6666666666666666
ROBINSON ISD,Texas,4837410.0,McLennan County,48309.0,6.0,6.0,TX-161922,2402.0,185.2,319.86,161922,1.0
ROBSTOWN ISD,Texas,4837440.0,Nueces County,48355.0,8.0,8.0,TX-178909,2601.0,175.55,460.97,178909,1.0
ROBY CISD,Texas,4837470.0,Fisher County,48151.0,1.0,1.0,TX-076903,314.0,28.86,55.81,076903,1.0
ROCHELLE ISD,Texas,4837500.0,McCulloch County,48307.0,1.0,1.0,TX-160904,195.0,21.1,40.94,160904,1.0
ROCKDALE ISD,Texas,4837590.0,Milam County,48331.0,4.0,4.0,TX-166904,1453.0,118.04,267.67,166904,1.0
ROCKSPRINGS ISD,Texas,4800003.0,Edwards County,48137.0,1.0,1.0,TX-069901,270.0,25.44,52.98,069901,1.0
ROCKWALL ISD,Texas,4837650.0,Rockwall County,48397.0,22.0,22.0,TX-199901,16987.0,1041.8,1983.2,199901,1.0
ROGERS ISD,Texas,4837710.0,Bell County,48027.0,5.0,4.0,TX-014907,892.0,70.32,133.89,014907,0.8
ROMA ISD,Texas,4837740.0,Starr County,48427.0,10.0,10.0,TX-214903,6060.0,426.4,1000.5,214903,1.0
ROOSEVELT ISD,Texas,4837800.0,Lubbock County,48303.0,4.0,3.0,TX-152908,1014.0,91.54,167.61,152908,0.75
ROPES ISD,Texas,4837830.0,Hockley County,48219.0,1.0,1.0,TX-110905,475.0,45.11,76.91,110905,1.0
ROSCOE COLLEGIATE ISD,Texas,4837860.0,Nolan County,48353.0,3.0,3.0,TX-177901,681.0,51.57,110.78,177901,1.0
ROSEBUD-LOTT ISD,Texas,4837900.0,Falls County,48145.0,3.0,3.0,TX-073905,689.0,58.93,114.41,073905,1.0
ROTAN ISD,Texas,4838040.0,Fisher County,48151.0,1.0,1.0,TX-076904,239.0,27.54,50.98,076904,1.0
ROUND ROCK ISD,Texas,4838080.0,Williamson County,48491.0,65.0,58.0,TX-246909,48302.0,3562.27,6610.47,246909,0.8923076923076924
ROUND TOP-CARMINE ISD,Texas,4838100.0,Fayette County,48149.0,2.0,2.0,TX-075908,236.0,24.89,47.41,075908,1.0
