ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,Total Number of Public Schools [Public School] 2020-21,State Agency ID [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Staff [District] 2020-21,Locale [District] 2020-21
ANDERSON-SHIRO CISD,Texas,4808230,Grimes County,48185,2,2,TX-093901,887,71.85,130.41,42-Rural: Distant
ANDREWS ISD,Texas,4808280,Andrews County,48003,6,6,TX-002901,4128,287.18,559.88,32-Town: Distant
ANGLETON ISD,Texas,4808310,Brazoria County,48039,11,11,TX-020902,6863,440.01,983.72,41-Rural: Fringe
ANNA ISD,Texas,4808340,Collin County,48085,8,8,TX-043902,3979,282.30,574.71,41-Rural: Fringe
ANSON ISD,Texas,4808400,Jones County,48253,3,3,TX-127901,708,72.00,124.46,42-Rural: Distant
ANTHONY ISD,Texas,4808430,El Paso County,48141,3,5,TX-071906,787,60.01,148.22,21-Suburb: Large
ANTON ISD,Texas,4808460,Hockley County,48219,1,2,TX-110901,184,21.46,36.27,42-Rural: Distant
APPLE SPRINGS ISD,Texas,4808490,Trinity County,48455,2,2,TX-228905,206,19.17,38.87,42-Rural: Distant
AQUILLA ISD,Texas,4808520,Hill County,48217,2,2,TX-109912,319,27.72,49.27,42-Rural: Distant
ARANSAS COUNTY ISD,Texas,4808550,Aransas County,48007,4,4,TX-004901,3010,217.46,452.82,32-Town: Distant
ARANSAS PASS ISD,Texas,4808580,San Patricio County,48409,5,5,TX-205901,1645,109.90,257.11,31-Town: Fringe
ARCHER CITY ISD,Texas,4808610,Archer County,48009,2,2,TX-005901,502,47.85,93.02,42-Rural: Distant
ARGYLE ISD,Texas,4808670,Denton County,48121,5,6,TX-061910,3795,258.87,444.10,41-Rural: Fringe
ARISTOI CLASSICAL ACADEMY,Texas,4800019,Harris County,48201,3,3,TX-101803,1072,72.69,120.76,21-Suburb: Large
ARLINGTON CLASSICS ACADEMY,Texas,4800158,Tarrant County,48439,3,3,TX-220802,1542,91.50,149.85,21-Suburb: Large
ARLINGTON ISD,Texas,4808700,Tarrant County,48439,78,79,TX-220901,56840,4114.71,8169.15,11-City: Large
ARP ISD,Texas,4808730,Smith County,48423,3,3,TX-212901,876,77.22,151.85,42-Rural: Distant
ARROW ACADEMY,Texas,4801416,Brazos County,48041,4,4,TX-021805,691,44.04,75.21,21-Suburb: Large
ASPERMONT ISD,Texas,4800006,Stonewall County,48433,2,2,TX-217901,213,20.22,39.99,43-Rural: Remote
ATHENS ISD,Texas,4808870,Henderson County,48213,5,5,TX-107901,2982,194.16,418.13,32-Town: Distant
ATLANTA ISD,Texas,4808880,Cass County,48067,5,5,TX-034901,1848,132.59,329.71,41-Rural: Fringe
AUBREY ISD,Texas,4808910,Denton County,48121,5,6,TX-061907,2644,172.24,300.39,41-Rural: Fringe
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431,Travis County,48453,3,3,TX-227825,2183,132.24,285.18,11-City: Large
AUSTIN DISCOVERY SCHOOL,Texas,4800265,Travis County,48453,1,1,TX-227821,433,42.77,56.62,11-City: Large
AUSTIN ISD,Texas,4808940,Travis County,48453,126,135,TX-227901,74871,5508.22,10945.22,11-City: Large
AUSTWELL-TIVOLI ISD,Texas,4809000,Refugio County,48391,2,2,TX-196901,137,20.17,38.31,42-Rural: Distant
AVALON ISD,Texas,4809030,Ellis County,48139,1,1,TX-070901,332,28.74,55.86,42-Rural: Distant
AVERY ISD,Texas,4809060,Red River County,48387,2,2,TX-194902,322,33.49,67.93,43-Rural: Remote
AVINGER ISD,Texas,4809090,Cass County,48067,1,1,TX-034902,140,17.65,28.38,42-Rural: Distant
AXTELL ISD,Texas,4809150,McLennan County,48309,4,6,TX-161918,772,75.50,143.22,42-Rural: Distant
AZLE ISD,Texas,4809200,Tarrant County,48439,12,13,TX-220915,6685,446.28,870.10,21-Suburb: Large
BAIRD ISD,Texas,4809280,Callahan County,48059,2,2,TX-030903,281,30.12,57.62,42-Rural: Distant
BALLINGER ISD,Texas,4809300,Runnels County,48399,5,5,TX-200901,854,79.18,157.42,41-Rural: Fringe
BALMORHEA ISD,Texas,4809330,Reeves County,48389,1,1,TX-195902,155,19.12,38.88,43-Rural: Remote
BANDERA ISD,Texas,4809360,Bandera County,48019,4,4,TX-010902,2218,148.57,304.44,42-Rural: Distant
BANGS ISD,Texas,4809390,Brown County,48049,3,3,TX-025901,837,70.61,135.44,42-Rural: Distant
BANQUETE ISD,Texas,4809410,Nueces County,48355,3,4,TX-178913,855,81.47,140.44,42-Rural: Distant
BARBERS HILL ISD,Texas,4809450,Chambers County,48071,9,11,TX-036902,6424,477.19,969.85,41-Rural: Fringe
BARTLETT ISD,Texas,4809540,Bell County,48027,1,3,TX-014902,380,32.34,63.18,32-Town: Distant
BASIS TEXAS,Texas,4801438,Bexar County,48029,6,6,TX-015834,3048,192.83,235.00,11-City: Large
BASTROP ISD,Texas,4809570,Bastrop County,48021,14,14,TX-011901,11405,735.75,1291.10,42-Rural: Distant
BAY CITY ISD,Texas,4809630,Matagorda County,48321,5,5,TX-158901,3536,239.72,560.62,32-Town: Distant
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,Texas,4800190,Harris County,48201,1,1,TX-101847,470,31.87,46.87,11-City: Large
BEAUMONT ISD,Texas,4809670,Jefferson County,48245,29,29,TX-123910,17128,1139.63,2393.30,12-City: Mid-size
BECKVILLE ISD,Texas,4809690,Panola County,48365,2,2,TX-183901,673,67.72,107.44,42-Rural: Distant
BEEVILLE ISD,Texas,4809720,Bee County,48025,7,7,TX-013901,3157,201.70,461.69,32-Town: Distant
BELLEVUE ISD,Texas,4809750,Clay County,48077,1,1,TX-039904,145,16.37,31.89,42-Rural: Distant
BELLS ISD,Texas,4809780,Grayson County,48181,3,3,TX-091901,868,70.22,122.54,42-Rural: Distant
BELLVILLE ISD,Texas,4809810,Austin County,48015,6,6,TX-008901,2196,171.88,343.85,32-Town: Distant
BELTON ISD,Texas,4809860,Bell County,48027,19,19,TX-014903,12609,868.14,1873.34,23-Suburb: Small
BEN BOLT-PALITO BLANCO ISD,Texas,4809870,Jim Wells County,48249,2,2,TX-125902,521,40.65,76.60,42-Rural: Distant
BENAVIDES ISD,Texas,4899130,Duval County,48131,2,2,TX-066901,255,25.65,54.37,43-Rural: Remote
BENJAMIN ISD,Texas,4809980,Knox County,48275,1,1,TX-138904,131,14.83,23.91,43-Rural: Remote
BETA ACADEMY,TEXAS,4801446,Harris County,48201,2,2,TX-101870,1205,63.73,135.89,11-City: Large
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,TEXAS,4801468,Lubbock County,48303,1,1,TX-152806,148,14.00,35.78,11-City: Large
BEXAR COUNTY ACADEMY,Texas,4800077,Bexar County,48029,1,1,TX-015809,274,29.55,58.54,11-City: Large
BIG SANDY ISD,Texas,4810140,Upshur County,48459,3,3,TX-230901,643,62.45,119.33,42-Rural: Distant
BIG SANDY ISD,Texas,4810170,Polk County,48373,1,1,TX-187901,496,42.72,79.70,43-Rural: Remote
BIG SPRING ISD,Texas,4810200,Howard County,48227,9,9,TX-114901,3698,268.91,566.40,32-Town: Distant
BIG SPRINGS CHARTER SCHOOL,Texas,4800227,Real County,48385,2,2,TX-193801,235,21.91,49.14,43-Rural: Remote
BIRDVILLE ISD,Texas,4810230,Tarrant County,48439,34,35,TX-220902,22736,1548.05,3019.96,21-Suburb: Large
BISHOP CISD,Texas,4810260,Nueces County,48355,5,6,TX-178902,1556,110.24,197.33,32-Town: Distant
BLACKWELL CISD,Texas,4800005,Nolan County,48353,1,2,TX-177903,168,22.18,42.62,43-Rural: Remote
BLANCO ISD,Texas,4810320,Blanco County,48031,3,3,TX-016902,1011,80.78,154.37,42-Rural: Distant
BLAND ISD,Texas,4810350,Hunt County,48231,3,3,TX-116915,724,62.01,115.84,42-Rural: Distant
BLANKET ISD,Texas,4810380,Brown County,48049,1,1,TX-025904,143,18.23,31.58,42-Rural: Distant
BLOOM ACADEMY CHARTER SCHOOL,TEXAS,4801466,Harris County,48201,1,1,TX-101875,93,3.00,8.96,11-City: Large
BLOOMBURG ISD,Texas,4810440,Cass County,48067,1,1,TX-034909,250,23.92,50.16,42-Rural: Distant
BLOOMING GROVE ISD,Texas,4810470,Navarro County,48349,3,3,TX-175902,897,74.96,141.11,42-Rural: Distant
BLOOMINGTON ISD,Texas,4810500,Victoria County,48469,5,5,TX-235901,887,63.01,151.27,42-Rural: Distant
BLUE RIDGE ISD,Texas,4810590,Collin County,48085,3,4,TX-043917,888,67.29,123.97,42-Rural: Distant
BLUFF DALE ISD,Texas,4810620,Erath County,48143,1,1,TX-072904,224,19.84,38.97,43-Rural: Remote
BLUM ISD,Texas,4810650,Hill County,48217,1,2,TX-109913,365,29.86,58.01,42-Rural: Distant
BOB HOPE SCHOOL,Texas,4801410,Jefferson County,48245,4,4,TX-123807,2385,125.90,286.58,13-City: Small
BOERNE ISD,Texas,4810710,Kendall County,48259,13,13,TX-130901,9617,631.24,1198.13,41-Rural: Fringe
BOLES ISD,Texas,4810740,Hunt County,48231,3,3,TX-116916,497,47.53,103.51,41-Rural: Fringe
BOLING ISD,Texas,4810780,Wharton County,48481,3,3,TX-241901,1101,72.00,145.04,42-Rural: Distant
BONHAM ISD,Texas,4810800,Fannin County,48147,5,5,TX-074903,1796,138.24,322.91,32-Town: Distant
BOOKER ISD,Texas,4810830,Lipscomb County,48295,2,2,TX-148901,362,39.73,72.58,43-Rural: Remote
BORDEN COUNTY ISD,Texas,4810860,Borden County,48033,1,2,TX-017901,231,21.87,51.30,43-Rural: Remote
BORGER ISD,Texas,4810890,Hutchinson County,48233,6,6,TX-117901,2472,194.80,453.08,32-Town: Distant
BOSQUEVILLE ISD,Texas,4810910,McLennan County,48309,3,4,TX-161923,729,59.79,109.93,41-Rural: Fringe
BOVINA ISD,Texas,4810950,Parmer County,48369,3,3,TX-185901,465,44.47,87.46,43-Rural: Remote
BOWIE ISD,Texas,4810990,Montague County,48337,3,3,TX-169901,1693,125.73,252.20,33-Town: Remote
BOYD ISD,Texas,4811010,Wise County,48497,4,4,TX-249902,1267,93.34,175.43,42-Rural: Distant
BOYS RANCH ISD,Texas,4811040,Oldham County,48359,3,3,TX-180901,206,55.62,86.72,43-Rural: Remote
BRACKETT ISD,Texas,4811070,Kinney County,48271,3,3,TX-136901,519,58.88,113.54,33-Town: Remote
BRADY ISD,Texas,4811110,McCulloch County,48307,3,3,TX-160901,991,88.30,187.10,41-Rural: Fringe
BRAZOS ISD,Texas,4844470,Austin County,48015,3,4,TX-008903,795,64.43,128.53,42-Rural: Distant
BRAZOS RIVER CHARTER SCHOOL,Texas,4800214,Somervell County,48425,1,1,TX-213801,207,19.32,38.98,42-Rural: Distant
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Texas,4800086,Brazos County,48041,2,2,TX-021803,327,29.21,55.05,11-City: Large
BRAZOSPORT ISD,Texas,4811190,Brazoria County,48039,19,20,TX-020905,11424,874.71,1842.33,23-Suburb: Small
BRECKENRIDGE ISD,Texas,4811220,Stephens County,48429,4,4,TX-215901,1402,99.87,229.69,33-Town: Remote
BREMOND ISD,Texas,4811250,Robertson County,48395,3,3,TX-198901,494,41.88,78.81,43-Rural: Remote
BRENHAM ISD,Texas,4811280,Washington County,48477,7,7,TX-239901,4944,377.90,707.65,32-Town: Distant
BRIDGE CITY ISD,Texas,4811310,Orange County,48361,4,4,TX-181901,3028,191.40,367.44,22-Suburb: Mid-size
BRIDGEPORT ISD,Texas,4811340,Wise County,48497,4,4,TX-249903,2051,163.61,333.09,41-Rural: Fringe
BRIDGEWAY PREPARATORY ACADEMY,TEXAS,4801462,Dallas County,48113,1,1,TX-057851,101,9.00,12.78,21-Suburb: Large
BRILLANTE ACADEMY,TEXAS,4801475,Hidalgo County,48215,="0",1,TX-108810,†,†,†,12-City: Mid-size
BROADDUS ISD,Texas,4811430,San Augustine County,48405,2,2,TX-203902,351,35.73,70.64,43-Rural: Remote
BROCK ISD,Texas,4811460,Parker County,48367,4,4,TX-184909,1765,129.07,219.38,42-Rural: Distant
BRONTE ISD,Texas,4811490,Coke County,48081,1,1,TX-041901,240,28.00,47.18,43-Rural: Remote
BROOKELAND ISD,Texas,4811520,Sabine County,48403,2,2,TX-121902,368,37.92,69.42,43-Rural: Remote
BROOKESMITH ISD,Texas,4811550,Brown County,48049,4,4,TX-025908,158,18.00,33.95,43-Rural: Remote
BROOKS ACADEMIES OF TEXAS,Texas,4800268,Bexar County,48029,4,4,TX-015830,3079,195.92,396.41,11-City: Large
BROOKS COUNTY ISD,Texas,4811580,Brooks County,48047,5,5,TX-024901,1438,102.61,214.46,33-Town: Remote
BROWNFIELD ISD,Texas,4811610,Terry County,48445,5,6,TX-223901,1598,125.57,288.66,32-Town: Distant
BROWNSBORO ISD,Texas,4811640,Henderson County,48213,6,6,TX-107902,2593,193.96,401.71,42-Rural: Distant
BROWNSVILLE ISD,Texas,4811680,Cameron County,48061,56,57,TX-031901,40765,2753.73,6265.69,12-City: Mid-size
BROWNWOOD ISD,Texas,4811700,Brown County,48049,7,7,TX-025902,3439,256.96,486.37,33-Town: Remote
BRUCEVILLE-EDDY ISD,Texas,4811730,McLennan County,48309,6,7,TX-161919,614,66.15,132.90,42-Rural: Distant
BRYAN ISD,Texas,4811790,Brazos County,48041,25,25,TX-021902,15761,1198.97,2619.49,13-City: Small
BRYSON ISD,Texas,4811820,Jack County,48237,1,1,TX-119901,260,21.13,41.32,43-Rural: Remote
BUCKHOLTS ISD,Texas,4811850,Milam County,48331,1,1,TX-166907,141,13.73,30.57,42-Rural: Distant
BUENA VISTA ISD,Texas,4811910,Pecos County,48371,1,1,TX-186901,240,19.95,33.00,43-Rural: Remote
BUFFALO ISD,Texas,4811990,Leon County,48289,3,3,TX-145901,947,79.80,155.68,43-Rural: Remote
BULLARD ISD,Texas,4812060,Cherokee County,48073,6,6,TX-212902,2675,204.38,396.42,41-Rural: Fringe
BUNA ISD,Texas,4812090,Jasper County,48241,3,3,TX-121903,1492,121.96,274.09,42-Rural: Distant
BURKBURNETT ISD,Texas,4812120,Wichita County,48485,7,7,TX-243901,3199,255.64,486.61,31-Town: Fringe
BURKEVILLE ISD,Texas,4812150,Newton County,48351,1,1,TX-176901,269,25.73,55.04,43-Rural: Remote
BURLESON ISD,Texas,4812180,Johnson County,48251,18,20,TX-126902,12547,813.31,1587.08,21-Suburb: Large
BURNET CISD,Texas,4812220,Burnet County,48053,6,6,TX-027903,3113,217.48,477.51,41-Rural: Fringe
BURNHAM WOOD CHARTER SCHOOL DISTRICT,Texas,4800037,El Paso County,48141,3,3,TX-071801,1252,70.57,142.86,11-City: Large
BURTON ISD,Texas,4812240,Washington County,48477,2,2,TX-239903,481,44.99,81.83,42-Rural: Distant
BUSHLAND ISD,Texas,4835570,Potter County,48375,3,3,TX-188904,1448,118.91,193.07,41-Rural: Fringe
BYNUM ISD,Texas,4812360,Hill County,48217,1,2,TX-109902,195,21.50,40.50,42-Rural: Distant
CADDO MILLS ISD,Texas,4812390,Hunt County,48231,4,4,TX-116901,1992,149.36,278.63,42-Rural: Distant
CALALLEN ISD,Texas,4812420,Nueces County,48355,6,6,TX-178903,3956,283.24,589.74,11-City: Large
CALDWELL ISD,Texas,4812460,Burleson County,48051,4,5,TX-026901,1708,135.43,279.93,41-Rural: Fringe
CALHOUN COUNTY ISD,Texas,4812480,Calhoun County,48057,7,7,TX-029901,3681,261.06,548.03,32-Town: Distant
CALLISBURG ISD,Texas,4812510,Cooke County,48097,4,4,TX-049905,1131,83.29,146.03,42-Rural: Distant
CALVERT ISD,Texas,4812540,Robertson County,48395,1,1,TX-198902,143,17.81,33.80,42-Rural: Distant
CALVIN NELMS CHARTER SCHOOLS,Texas,4800124,Harris County,48201,2,2,TX-101837,300,17.24,26.33,21-Suburb: Large
CAMERON ISD,Texas,4812640,Milam County,48331,4,4,TX-166901,1631,121.73,249.94,41-Rural: Fringe
CAMPBELL ISD,Texas,4812660,Hunt County,48231,2,2,TX-116910,287,27.90,58.65,42-Rural: Distant
CANADIAN ISD,Texas,4812700,Hemphill County,48211,4,4,TX-106901,877,85.34,150.91,33-Town: Remote
CANTON ISD,Texas,4812750,Van Zandt County,48467,4,4,TX-234902,2134,154.62,255.71,32-Town: Distant
CANUTILLO ISD,Texas,4812780,El Paso County,48141,10,11,TX-071907,6035,419.87,924.15,11-City: Large
CANYON ISD,Texas,4812810,Randall County,48381,17,19,TX-191901,10324,639.55,1223.03,12-City: Mid-size
CARLISLE ISD,Texas,4812870,Rusk County,48401,1,1,TX-201913,612,59.54,118.54,42-Rural: Distant
CARRIZO SPRINGS CISD,Texas,4812990,Dimmit County,48127,4,4,TX-064903,2066,149.42,352.76,33-Town: Remote
CARROLL ISD,Texas,4813020,Tarrant County,48439,11,12,TX-220919,8324,578.39,1076.18,21-Suburb: Large
CARROLLTON-FARMERS BRANCH ISD,Texas,4813050,Dallas County,48113,39,41,TX-057903,24858,1696.16,3357.62,21-Suburb: Large
CARTHAGE ISD,Texas,4813110,Panola County,48365,5,5,TX-183902,2653,185.98,322.83,32-Town: Distant
CASTLEBERRY ISD,Texas,4813170,Tarrant County,48439,7,8,TX-220917,3617,234.00,518.65,21-Suburb: Large
CAYUGA ISD,Texas,4813200,Anderson County,48001,3,3,TX-001902,535,47.56,121.05,43-Rural: Remote
CEDAR HILL ISD,Texas,4813230,Dallas County,48113,13,13,TX-057904,7253,458.14,879.82,21-Suburb: Large
CEDARS INTERNATIONAL ACADEMY,Texas,4800232,Travis County,48453,2,2,TX-227817,496,38.83,68.36,11-City: Large
CELESTE ISD,Texas,4813260,Hunt County,48231,3,3,TX-116902,494,46.18,90.06,42-Rural: Distant
CELINA ISD,Texas,4813290,Collin County,48085,5,6,TX-043903,2962,198.12,399.63,41-Rural: Fringe
CENTER ISD,Texas,4813320,Shelby County,48419,5,5,TX-210901,2477,204.12,398.51,33-Town: Remote
CENTER POINT ISD,Texas,4813350,Kerr County,48265,4,4,TX-133901,534,43.51,98.50,42-Rural: Distant
CENTERVILLE ISD,Texas,4813410,Leon County,48289,2,2,TX-145902,646,62.21,116.62,43-Rural: Remote
CENTERVILLE ISD,Texas,4813380,Trinity County,48455,1,1,TX-228904,139,17.00,31.47,43-Rural: Remote
CENTRAL HEIGHTS ISD,Texas,4813440,Nacogdoches County,48347,3,3,TX-174908,1131,92.93,191.48,41-Rural: Fringe
CENTRAL ISD,Texas,4813500,Angelina County,48005,4,4,TX-003907,1445,117.41,244.78,41-Rural: Fringe
CHANNELVIEW ISD,Texas,4813590,Harris County,48201,12,13,TX-101905,9572,572.53,1332.98,21-Suburb: Large
CHANNING ISD,Texas,4813620,Hartley County,48205,1,1,TX-103901,168,18.00,31.64,43-Rural: Remote
CHAPARRAL STAR ACADEMY,Texas,4800064,Travis County,48453,1,1,TX-227814,370,26.82,32.00,21-Suburb: Large
CHAPEL HILL ACADEMY,Texas,4801407,Tarrant County,48439,1,1,TX-220815,763,53.71,82.78,11-City: Large
CHAPEL HILL ISD,Texas,4813650,Smith County,48423,5,5,TX-212909,3416,254.69,539.31,41-Rural: Fringe
CHAPEL HILL ISD,Texas,4813680,Titus County,48449,3,3,TX-225906,992,83.19,159.28,42-Rural: Distant
CHARLOTTE ISD,Texas,4813710,Atascosa County,48013,3,5,TX-007901,419,46.49,90.36,42-Rural: Distant
CHEROKEE ISD,Texas,4813740,San Saba County,48411,1,1,TX-206903,131,17.76,28.61,43-Rural: Remote
CHESTER ISD,Texas,4813770,Tyler County,48457,2,2,TX-229906,211,22.07,39.14,43-Rural: Remote
CHICO ISD,Texas,4813800,Wise County,48497,3,3,TX-249904,588,51.49,92.02,42-Rural: Distant
CHILDRESS ISD,Texas,4813860,Childress County,48075,3,3,TX-038901,997,90.36,179.87,33-Town: Remote
CHILLICOTHE ISD,Texas,4813890,Hardeman County,48197,1,1,TX-099902,207,21.17,43.08,43-Rural: Remote
CHILTON ISD,Texas,4813920,Falls County,48145,1,1,TX-073901,529,38.20,84.61,42-Rural: Distant
CHINA SPRING ISD,Texas,4813960,McLennan County,48309,5,6,TX-161920,2870,208.98,392.88,41-Rural: Fringe
CHIRENO ISD,Texas,4813980,Nacogdoches County,48347,2,3,TX-174901,394,33.98,55.99,43-Rural: Remote
CHISUM ISD,Texas,4800012,Lamar County,48277,3,3,TX-139905,1062,91.21,159.80,41-Rural: Fringe
CHRISTOVAL ISD,Texas,4814010,Tom Green County,48451,2,8,TX-226901,566,47.21,75.29,42-Rural: Distant
CISCO ISD,Texas,4814070,Eastland County,48133,4,4,TX-067902,839,84.63,160.20,33-Town: Remote
CITY VIEW ISD,Texas,4814130,Wichita County,48485,3,3,TX-243906,1023,86.32,185.35,41-Rural: Fringe
CITYSCAPE SCHOOLS,Texas,4800288,Dallas County,48113,2,2,TX-057841,1204,51.00,133.41,11-City: Large
CLARENDON ISD,Texas,4814160,Donley County,48129,3,3,TX-065901,441,47.84,88.50,43-Rural: Remote
CLARKSVILLE ISD,Texas,4814190,Red River County,48387,2,2,TX-194904,481,38.24,103.99,33-Town: Remote
CLAUDE ISD,Texas,4814250,Armstrong County,48011,1,1,TX-006902,316,30.18,51.58,42-Rural: Distant
CLEAR CREEK ISD,Texas,4814280,Galveston County,48167,46,48,TX-084910,40737,2543.03,5357.37,21-Suburb: Large
CLEBURNE ISD,Texas,4814310,Johnson County,48251,11,12,TX-126903,6859,486.73,991.46,41-Rural: Fringe
CLEVELAND ISD,Texas,4814370,Liberty County,48291,8,11,TX-146901,8888,555.92,1110.31,31-Town: Fringe
CLIFTON ISD,Texas,4814400,Bosque County,48035,3,3,TX-018901,961,77.59,160.60,32-Town: Distant
CLINT ISD,Texas,4814430,El Paso County,48141,14,15,TX-071901,10663,689.82,1531.29,21-Suburb: Large
CLYDE CISD,Texas,4814450,Callahan County,48059,4,4,TX-030902,1397,108.48,223.40,32-Town: Distant
COAHOMA ISD,Texas,4814490,Howard County,48227,3,3,TX-114902,1095,79.00,170.98,42-Rural: Distant
COLDSPRING-OAKHURST CISD,Texas,4814520,San Jacinto County,48407,4,4,TX-204901,1533,116.88,278.96,42-Rural: Distant
COLEMAN ISD,Texas,4814550,Coleman County,48083,3,3,TX-042901,842,70.20,156.31,33-Town: Remote
COLLEGE STATION ISD,Texas,4807350,Brazos County,48041,20,20,TX-021901,13664,1014.05,1947.06,12-City: Mid-size
COLLINSVILLE ISD,Texas,4814580,Grayson County,48181,2,2,TX-091902,539,44.94,84.77,42-Rural: Distant
COLMESNEIL ISD,Texas,4814600,Tyler County,48457,2,2,TX-229901,435,41.59,66.14,42-Rural: Distant
COLORADO ISD,Texas,4814640,Mitchell County,48335,3,3,TX-168901,901,66.59,144.98,41-Rural: Fringe
COLUMBIA-BRAZORIA ISD,Texas,4814670,Brazoria County,48039,5,6,TX-020907,2873,203.27,456.52,32-Town: Distant
