ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,Total Number of Public Schools [Public School] 2020-21,State Agency ID [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Staff [District] 2020-21,Locale [District] 2020-21
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,Dallas County,48113,2,2,TX-057816,1383,76.79,170.87,11-City: Large
A+ ACADEMY,Texas,4800203,Dallas County,48113,2,2,TX-057829,1456,92.87,213.39,11-City: Large
A+ UNLIMITED POTENTIAL,TEXAS,4801453,Harris County,48201,1,1,TX-101871,152,6.91,13.61,11-City: Large
ABBOTT ISD,Texas,4807380,Hill County,48217,1,2,TX-109901,274,25.13,41.72,42-Rural: Distant
ABERNATHY ISD,Texas,4807410,Hale County,48189,3,4,TX-095901,810,72.55,124.29,31-Town: Fringe
ABILENE ISD,Texas,4807440,Taylor County,48441,30,30,TX-221901,15680,1110.18,2543.38,12-City: Mid-size
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,Dallas County,48113,4,4,TX-057814,308,56.00,95.00,11-City: Large
ACADEMY ISD,Texas,4807470,Bell County,48027,5,6,TX-014901,1726,125.91,250.28,41-Rural: Fringe
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,Harris County,48201,1,1,TX-101810,851,46.65,74.01,11-City: Large
ACADEMY OF DALLAS,Texas,4800090,Dallas County,48113,1,1,TX-057810,341,21.85,39.35,11-City: Large
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,Harris County,48201,2,4,TX-101849,235,14.99,18.99,11-City: Large
ADRIAN ISD,Texas,4807500,Oldham County,48359,1,1,TX-180903,122,17.22,32.48,43-Rural: Remote
ADVANTAGE ACADEMY,Texas,4800041,Dallas County,48113,1,1,TX-057806,1207,57.30,128.60,21-Suburb: Large
AGUA DULCE ISD,Texas,4807530,Nueces County,48355,2,2,TX-178901,406,33.50,63.47,42-Rural: Distant
ALAMO HEIGHTS ISD,Texas,4807590,Bexar County,48029,5,6,TX-015901,4846,354.58,630.33,21-Suburb: Large
ALBA-GOLDEN ISD,Texas,4807650,Wood County,48499,3,3,TX-250906,861,82.71,146.34,42-Rural: Distant
ALBANY ISD,Texas,4807680,Shackelford County,48417,2,2,TX-209901,503,43.22,77.97,43-Rural: Remote
ALDINE ISD,Texas,4807710,Harris County,48201,78,79,TX-101902,63302,4243.82,9204.84,21-Suburb: Large
ALEDO ISD,Texas,4807780,Parker County,48367,9,9,TX-184907,6723,407.30,719.74,41-Rural: Fringe
ALICE ISD,Texas,4807800,Jim Wells County,48249,10,10,TX-125901,4676,307.11,727.45,32-Town: Distant
ALIEF ISD,Texas,4807830,Harris County,48201,46,46,TX-101903,41724,3276.07,6461.03,11-City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,Harris County,48201,1,1,TX-101815,331,16.76,38.82,11-City: Large
ALLEN ISD,Texas,4807890,Collin County,48085,24,25,TX-043901,21617,1370.19,2560.63,21-Suburb: Large
ALPINE ISD,Texas,4807950,Brewster County,48043,3,3,TX-022901,974,77.14,171.19,33-Town: Remote
ALTO ISD,Texas,4807980,Cherokee County,48073,3,3,TX-037901,609,57.76,104.11,42-Rural: Distant
ALVARADO ISD,Texas,4800011,Johnson County,48251,7,7,TX-126901,3565,238.66,467.67,41-Rural: Fringe
ALVIN ISD,Texas,4808090,Brazoria County,48039,32,35,TX-020901,27006,1824.85,3555.68,21-Suburb: Large
ALVORD ISD,Texas,4808100,Wise County,48497,3,3,TX-249901,709,61.95,115.73,42-Rural: Distant
AMARILLO ISD,Texas,4808130,Potter County,48375,56,56,TX-188901,31388,2213.46,4206.25,12-City: Mid-size
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,Galveston County,48167,1,1,TX-084804,246,22.81,50.06,31-Town: Fringe
AMHERST ISD,Texas,4808160,Lamb County,48279,1,1,TX-140901,133,19.00,32.11,42-Rural: Distant
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113,Harris County,48201,1,1,TX-101819,502,30.81,56.28,11-City: Large
ANAHUAC ISD,Texas,4808190,Chambers County,48071,3,3,TX-036901,1326,98.97,193.87,42-Rural: Distant
