variable,source,type,description,v1,v2,v3
Total Race/Ethnicity 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,race,Y,N,N
Total Race/Ethnicity 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,race,Y,N,N
School-wide Title I 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide Title 1 eligible schools,Y,N,Y
School-wide Title I 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide Title 1 eligible schools,Y,N,Y
Title I Eligible School 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide and Targeted assistance Title 1 eligible schools,Y,N,Y
Title I Eligible School 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,number of School-wide and Targeted assistance Title 1 eligible schools,Y,N,Y
Grade 3 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 3 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 4 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 4 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 5 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 5 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 6 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 6 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 7 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 7 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 8 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 8 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grades 1-8 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Grades 1-8 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Grades 9-12 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Grades 9-12 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Prek 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Prek 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
K 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
K 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,Y
Grade 1 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 1 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 2 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 2 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 9 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 9 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 10 2020-2021,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
Grade 10 2018-2019,DATA_NCES_DISTRICT.csv,Numeric,grade,Y,N,N
