Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
"PINEYWOODS COMMUNITY
ACADEMY",'003801,996,757,"PINEYWOODS COMMUNITY
ACADEMY H S",'003801001,261,174,,,,,,*,0,*,*,*
"PINEYWOODS COMMUNITY
ACADEMY",'003801,996,757,SARAH STRINDEN EL,'003801103,499,418,,,,,,*,3,*,*,*
"PINEYWOODS COMMUNITY
ACADEMY",'003801,996,757,,"Multiple
Campus",NR,NR,0,3,0,1,2,2,11,0,9,4
"PINEYWOODS COMMUNITY
ACADEMY TOTAL",'003801,996,757,,,996,757,0,3,0,1,2,*,14,*,*,*
HUDSON ISD,'003902,2783,2526,STUBBLEFIELD LRN CTR,'003902004,14,14,,,,,,0,1,0,0,1
HUDSON ISD,'003902,2783,2526,W F PEAVY PRI,'003902101,676,620,,,,,,8,6,0,11,3
HUDSON ISD,'003902,2783,2526,HUDSON MIDDLE,'003902041,664,628,,,,,,9,1,0,8,2
HUDSON ISD,'003902,2783,2526,W H BONNER EL,'003902102,619,585,,,,,,9,8,0,12,5
HUDSON ISD,'003902,2783,2526,HUDSON H S,'003902001,810,679,,,,,,28,5,0,26,7
HUDSON ISD TOTAL,'003902,2783,2526,,,2783,2526,,,,,,54,21,0,57,18
LUFKIN ISD,'003903,7467,6179,STUBBLEFIELD LRN CTR,'003903004,53,48,,,,,,,,,,
LUFKIN ISD,'003903,7467,6179,JUVENILE DETENT CTR,'003903201,7,6,,,,,,,,,,
LUFKIN ISD,'003903,7467,6179,BROOKHOLLOW EL,'003903122,270,227,,,,,,*,2,*,*,*
LUFKIN ISD,'003903,7467,6179,HACKNEY PRI,'003903126,115,108,,,,,,*,1,*,*,*
LUFKIN ISD,'003903,7467,6179,ALTER SCH,'003903003,NR,NR,*,2,*,*,*,*,2,*,*,*
