Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - April 11, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: April 5, 2021 - April 11, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of January 29, 2021","Approximate
District On Campus
Enrollment as of
January 29, 2021",Campus Name,"Campus
ID","Total School
Enrollment as
of January 29, 2021","On-Campus
Enrollment for
School as of
January 29, 2021","New
Student
Cases","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
CAYUGA ISD,'001902,541,527,CAYUGA EL,'001902103,241,234,,,,,,8,4,2,8,2
CAYUGA ISD,'001902,541,527,CAYUGA MIDDLE,'001902041,137,133,,,,,,11,4,2,7,6
CAYUGA ISD,'001902,541,527,CAYUGA H S,'001902001,163,160,,,,,,16,14,3,16,11
CAYUGA ISD TOTAL,'001902,541,527,,,541,527,,,,,,35,22,7,31,19
ELKHART ISD,'001903,1167,1120,ELKHART DAEP,'001903002,NR,NR,,,,,,,,,,
ELKHART ISD,'001903,1167,1120,ELKHART INT,'001903102,259,255,,,,,,*,6,*,*,*
ELKHART ISD,'001903,1167,1120,,"Multiple
Campus",NR,NR,,,,,,*,10,*,*,*
ELKHART ISD,'001903,1167,1120,ELKHART EL,'001903101,313,290,,,,,,5,16,0,6,15
ELKHART ISD,'001903,1167,1120,ELKHART MIDDLE,'001903041,265,260,,,,,,12,5,0,2,15
ELKHART ISD,'001903,1167,1120,ELKHART H S,'001903001,330,315,,,,,,16,4,0,5,15
ELKHART ISD TOTAL,'001903,1167,1120,,,1167,1120,,,,,,36,41,0,16,61
FRANKSTON ISD,'001904,756,719,,"Multiple
Campus",NR,NR,,,,,,0,3,0,2,1
FRANKSTON ISD,'001904,756,719,FRANKSTON MIDDLE,'001904041,191,181,,,,,,6,6,1,3,8
FRANKSTON ISD,'001904,756,719,FRANKSTON EL,'001904102,328,320,,,,,,8,13,0,13,8
FRANKSTON ISD,'001904,756,719,FRANKSTON H S,'001904001,237,218,,,,,,23,6,4,13,12
FRANKSTON ISD TOTAL,'001904,756,719,,,756,719,,,,,,37,28,5,31,29
NECHES ISD,'001906,338,325,NECHES H S,'001906002,92,89,,,,,,*,3,*,*,*
NECHES ISD,'001906,338,325,,"Multiple
Campus",NR,NR,,,,,,1,0,0,0,1
NECHES ISD,'001906,338,325,NECHES EL,'001906102,246,236,,,,,,7,5,1,8,3
NECHES ISD TOTAL,'001906,338,325,,,338,325,,,,,,*,8,*,*,*
PALESTINE ISD,'001907,3347,3124,NORTHSIDE PRI,'001907101,477,445,,,,,,*,6,*,*,*
