ALPINE ISD,'022901,906,798,0,1,1,0,0,0,2,0,1,4,2,0,0,7
ALTO ISD,'037901,636,527,,,,,,,,1,2,8,4,0,1,14
ALVARADO ISD,'126901,3554,2018,0,0,1,2,0,0,3,2,0,13,10,2,7,16
ALVIN ISD,'020901,26817,14563,1,4,5,10,0,20,0,6,19,56,36,0,117,0
ALVORD ISD,'249901,720,678,2,2,9,9,7,1,14,2,3,12,15,8,4,20
AMARILLO ISD,'188901,31379,25615,22,24,77,78,0,70,131,78,113,412,393,11,493,492
"AMBASSADORS PREPARATORY
ACADEMY",'084804,250,125,,,,,,,,0,1,0,0,0,0,1
AMHERST ISD,'140901,131,126,,,,,,,,0,0,2,0,0,2,0
"AMIGOS POR VIDA-FRIENDS
FOR LIFE PUB CHTR SCH",'101819,482,5,,,,,,,,*,*,*,*,*,*,*
ANAHUAC ISD,'036901,1320,1138,1,0,1,0,0,2,0,1,0,3,2,0,5,1
ANDERSON-SHIRO CISD,'093901,902,795,0,0,2,0,0,1,1,0,0,3,3,0,3,3
ANDREWS ISD,'002901,4145,3389,0,3,11,8,0,22,0,4,14,37,37,0,91,1
ANGLETON ISD,'020902,6811,3554,,,,,,,,9,7,9,21,14,32,0
ANNA ISD,'043902,3930,2838,2,0,2,1,0,1,4,2,0,7,5,0,2,12
ANSON ISD,'127901,716,659,,,,,,,,0,2,0,5,0,4,3
ANTHONY ISD,'071906,796,397,0,0,0,3,0,3,0,7,5,12,6,1,27,2
ANTON ISD,'110901,188,155,0,0,2,0,0,1,1,1,1,4,3,1,7,1
APPLE SPRINGS ISD,'228905,195,188,,,,,,,,0,0,1,1,1,0,1
AQUILLA ISD,'109912,326,293,,,,,,,,,,,,,,
ARANSAS COUNTY ISD,'004901,2994,1746,2,0,1,0,0,0,3,4,1,6,1,0,1,11
ARANSAS PASS ISD,'205901,1622,903,0,0,1,0,0,1,0,1,0,2,2,0,5,0
ARCHER CITY ISD,'005901,512,477,0,0,1,0,0,1,0,0,0,2,2,0,3,1
ARGYLE ISD,'061910,3725,3017,0,0,8,1,0,1,8,6,6,28,18,0,22,36
ARISTOI CLASSICAL ACADEMY,'101803,1073,608,0,0,2,1,0,2,1,0,0,3,2,0,2,3
"ARLINGTON CLASSICS
ACADEMY",'220802,1564,679,1,1,0,1,0,0,3,2,2,0,4,0,5,3
ARLINGTON ISD,'220901,56626,14138,12,6,16,29,0,0,63,49,31,76,171,6,0,321
ARP ISD,'212901,871,790,,,,,,,,0,2,2,2,0,3,3
ARROW ACADEMY,'021805,686,214,,,,,,,,0,1,0,0,0,1,0
ASPERMONT ISD,'217901,210,203,,,,,,,,0,0,1,0,0,1,0
ATHENS ISD,'107901,3007,1596,3,6,6,5,0,0,20,5,11,19,22,0,7,50
ATLANTA ISD,'034901,1840,1634,0,0,3,3,0,4,2,3,2,25,24,0,25,29
AUBREY ISD,'061907,2642,2002,0,1,2,0,0,1,2,0,1,7,3,1,5,5
"AUSTIN ACHIEVE PUBLIC
SCHOOLS",'227825,2168,5,,,,,,,,,,,,,,
AUSTIN DISCOVERY SCHOOL,'227821,436,0,,,,,,,,,,,,,,
AUSTIN ISD,'227901,74909,321,4,1,1,0,2,0,4,10,9,15,35,2,1,66
AUSTWELL-TIVOLI ISD,'196901,138,114,,,,,,,,,,,,,,
AVALON ISD,'070901,325,281,,,,,,,,0,0,2,1,0,3,0
AVERY ISD,'194902,325,225,,,,,,,,,,,,,,
AVINGER ISD,'034902,140,116,,,,,,,,0,0,0,1,0,1,0
AXTELL ISD,'161918,764,692,,,,,,,,1,1,4,2,0,7,1
AZLE ISD,'220915,6672,4745,1,2,5,6,0,1,13,10,9,37,22,5,23,50
BAIRD ISD,'030903,268,234,,,,,,,,,,,,,,
BALLINGER ISD,'200901,861,754,0,1,2,0,0,2,1,3,4,8,4,2,16,1
BALMORHEA ISD,'195902,162,141,,,,,,,,0,0,1,0,0,1,0
BANDERA ISD,'010902,2160,1731,0,2,2,1,0,2,3,0,3,3,3,2,3,4
BANGS ISD,'025901,840,799,1,0,0,1,0,0,2,1,2,10,7,0,0,20
BANQUETE ISD,'178913,951,362,0,0,0,1,0,1,0,1,0,6,5,1,11,0
BARBERS HILL ISD,'036902,6417,5802,0,0,6,1,0,7,0,7,2,30,22,0,61,0
BARTLETT ISD,'014902,369,315,,,,,,,,,,,,,,
BASIS TEXAS,'015834,3070,101,,,,,,,,1,0,0,6,0,1,6
BASTROP ISD,'011901,10342,5277,0,1,6,4,0,9,2,3,5,13,11,0,24,8
BAY CITY ISD,'158901,3407,2715,,,,,,,,3,3,8,1,0,5,10
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847,475,0,,,,,,,,,,,,,,
BEAUMONT ISD,'123910,17184,3369,1,1,0,5,6,1,0,4,4,10,49,41,17,9
BECKVILLE ISD,'183901,663,645,,,,,,,,0,1,3,7,1,5,5
BEEVILLE ISD,'013901,3098,0,,,,,,,,*,*,*,*,*,*,*
BELLEVUE ISD,'039904,136,128,0,0,0,1,0,1,0,0,0,1,1,0,2,0
BELLS ISD,'091901,875,814,1,0,2,2,1,0,4,1,0,5,7,2,2,9
BELLVILLE ISD,'008901,2223,2017,,,,,,,,0,0,3,5,0,3,5
BELTON ISD,'014903,12381,7693,,,,,,,,9,6,31,16,0,15,47
BEN BOLT-PALITO BLANCO ISD,'125902,523,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BENAVIDES ISD,'066901,246,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BENJAMIN ISD,'138904,131,93,0,0,1,1,0,0,2,0,0,4,2,0,1,5
BETA ACADEMY,'101870,1168,511,,,,,,,,2,1,2,0,0,5,0
"BETTY M CONDRA SCHOOL FOR
EDUCATION INNOVATION",'152806,137,115,,,,,,,,0,0,0,2,0,2,0
BEXAR COUNTY ACADEMY,'015809,262,122,,,,,,,,1,0,0,0,0,1,0
BIG SANDY ISD,'187901,501,465,,,,,,,,2,1,2,4,0,9,0
BIG SANDY ISD,'230901,666,8,,,,,,,,*,*,*,*,*,*,*
BIG SPRING ISD,'114901,3909,3028,0,5,0,3,0,0,8,7,7,46,48,3,7,98
"BIG SPRINGS CHARTER
SCHOOL",'193801,213,182,,,,,,,,0,0,0,3,1,1,1
BIRDVILLE ISD,'220902,22174,12571,7,13,13,0,0,0,33,24,39,108,7,0,0,178
BISHOP CISD,'178902,1556,492,,,,,,,,0,0,2,5,0,0,7
BLACKWELL CISD,'177903,161,157,,,,,,,,1,0,2,2,0,1,4
BLANCO ISD,'016902,1028,917,,,,,,,,0,0,0,3,0,3,0
BLAND ISD,'116915,819,645,0,0,1,1,0,2,0,2,0,6,2,0,8,2
BLANKET ISD,'025904,173,146,,,,,,,,0,0,0,1,0,0,1
"BLOOM ACADEMY CHARTER
SCHOOL",'101875,86,9,,,,,,,,,,,,,,
BLOOMBURG ISD,'034909,251,251,,,,,,,,1,1,4,3,0,8,1
BLOOMING GROVE ISD,'175902,942,805,0,0,5,0,0,0,5,1,1,8,2,0,6,6
BLOOMINGTON ISD,'235901,767,458,,,,,,,,2,1,2,2,0,3,4
BLUE RIDGE ISD,'043917,896,812,0,0,1,0,0,0,1,3,1,7,10,0,3,18
BLUFF DALE ISD,'072904,220,210,,,,,,,,,,,,,,
BLUM ISD,'109913,358,352,0,0,0,1,0,1,0,1,0,2,2,3,1,1
BOB HOPE SCHOOL,'123807,2074,557,0,5,1,1,0,7,0,3,5,1,5,0,14,0
BOERNE ISD,'130901,9511,6938,1,3,5,7,0,7,9,4,4,38,29,1,32,42
BOLES ISD,'116916,513,452,,,,,,,,0,0,6,10,5,4,7
BOLING ISD,'241901,1105,932,1,0,0,0,0,1,0,1,0,4,1,0,6,0
BONHAM ISD,'074903,1781,1551,0,0,1,0,0,1,0,4,3,10,0,0,17,0
BOOKER ISD,'148901,362,354,,,,,,,,1,0,8,2,2,4,5
BORDEN COUNTY ISD,'017901,231,231,,,,,,,,,,,,,,
BORGER ISD,'117901,2470,2130,2,4,14,8,0,6,22,9,7,57,66,14,22,103
BOSQUEVILLE ISD,'161923,734,586,1,1,1,0,0,3,0,1,2,4,0,0,5,2
BOVINA ISD,'185901,468,419,1,0,0,1,0,1,1,1,0,5,7,0,9,4
BOWIE ISD,'169901,1676,1564,0,2,5,8,0,1,14,0,4,22,23,0,2,47
BOYD ISD,'249902,1268,1132,0,0,0,1,0,0,1,0,1,9,5,0,0,15
BOYS RANCH ISD,'180901,223,153,,,,,,,,0,0,11,5,1,11,4
BRACKETT ISD,'136901,529,411,,,,,,,,0,1,0,1,0,1,1
BRADY ISD,'160901,991,910,0,0,1,1,0,2,0,0,1,7,10,1,16,1
BRAZOS ISD,'008903,781,690,,,,,,,,0,0,3,3,0,0,6
"BRAZOS RIVER CHARTER
SCHOOL",'213801,180,178,,,,,,,,0,0,2,1,0,2,1
"BRAZOS SCHOOL FOR INQUIRY
& CREATIVITY",'021803,341,251,,,,,,,,0,0,0,1,0,0,1
BRAZOSPORT ISD,'020905,11397,6978,,,,,,,,15,5,25,16,0,61,0
BRECKENRIDGE ISD,'215901,1448,1293,0,0,1,0,0,0,1,2,1,17,17,0,21,16
BREMOND ISD,'198901,473,449,,,,,,,,1,2,10,2,3,9,3
BRENHAM ISD,'239901,4918,3998,2,0,4,2,0,4,4,3,3,6,7,0,6,13
BRIDGE CITY ISD,'181901,3014,2715,1,1,3,2,0,7,0,2,1,12,7,1,21,0
BRIDGEPORT ISD,'249903,2172,1655,2,0,4,3,0,0,9,2,1,7,5,0,5,10
"BRIDGEWAY PREPARATORY
ACADEMY",'057851,101,62,,,,,,,,,,,,,,
BROADDUS ISD,'203902,372,289,,,,,,,,0,0,2,1,0,2,1
BROCK ISD,'184909,1769,1762,0,0,1,1,0,0,2,1,0,20,9,0,7,23
BRONTE ISD,'041901,245,233,0,2,0,3,0,0,5,4,2,1,5,0,1,11
BROOKELAND ISD,'121902,367,350,,,,,,,,,,,,,,
BROOKESMITH ISD,'025908,168,131,,,,,,,,1,0,0,0,0,0,1
BROOKS ACADEMIES OF TEXAS,'015830,3047,846,1,0,2,5,0,3,5,1,1,3,9,0,9,5
BROOKS COUNTY ISD,'024901,1438,628,,,,,,,,7,2,9,2,0,20,0
BROWNFIELD ISD,'223901,1643,1341,,,,,,,,3,4,5,5,0,16,1
BROWNSBORO ISD,'107902,2612,2126,0,0,1,0,0,0,1,1,2,14,17,0,8,26
BROWNSVILLE ISD,'031901,40121,283,0,2,4,5,0,8,3,23,15,40,139,65,113,39
BROWNWOOD ISD,'025902,3437,2951,2,1,9,10,0,3,19,9,2,41,24,1,37,38
BRUCEVILLE-EDDY ISD,'161919,616,469,0,0,1,1,0,0,2,0,0,6,2,0,0,8
BRYAN ISD,'021902,15715,11141,2,1,3,20,0,0,26,21,12,54,65,0,0,152
BRYSON ISD,'119901,255,253,,,,,,,,0,0,1,0,0,0,1
BUCKHOLTS ISD,'166907,145,124,,,,,,,,,,,,,,
BUENA VISTA ISD,'186901,245,185,,,,,,,,,,,,,,
BUFFALO ISD,'145901,930,892,,,,,,,,0,1,2,1,0,2,2
BULLARD ISD,'212902,2676,2478,0,0,10,7,0,4,13,11,5,40,53,7,25,77
BUNA ISD,'121903,1483,1338,,,,,,,,1,0,0,3,0,0,4
BURKBURNETT ISD,'243901,3167,2618,,,,,,,,0,4,21,6,0,16,15
BURKEVILLE ISD,'176901,272,237,,,,,,,,0,0,0,1,0,1,0
BURLESON ISD,'126902,12467,7513,6,4,10,12,1,30,1,17,14,73,53,17,124,16
BURNET CISD,'027903,3081,2475,0,0,2,5,0,2,5,2,3,4,17,0,18,8
"BURNHAM WOOD CHARTER
SCHOOL DISTRICT",'071801,1263,498,2,1,1,1,0,3,2,3,4,5,8,0,12,8
BURTON ISD,'239903,486,458,,,,,,,,,,,,,,
BUSHLAND ISD,'188904,1449,1385,0,1,4,1,0,0,6,3,2,24,14,0,0,43
BYNUM ISD,'109902,190,172,,,,,,,,0,0,2,0,0,1,1
CADDO MILLS ISD,'116901,1995,1764,0,3,2,1,0,6,0,1,6,13,8,0,28,0
CALALLEN ISD,'178903,3941,2199,,,,,,,,3,2,2,14,3,18,0
CALDWELL ISD,'026901,1720,1384,,,,,,,,3,2,26,11,1,7,34
CALHOUN COUNTY ISD,'029901,3563,2869,0,0,1,1,0,2,0,2,2,17,20,2,39,0
CALLISBURG ISD,'049905,1116,972,0,0,2,2,0,2,2,0,2,9,9,0,5,15
CALVERT ISD,'198902,142,131,,,,,,,,0,0,0,1,0,1,0
"CALVIN NELMS CHARTER
SCHOOLS",'101837,303,29,,,,,,,,,,,,,,
CAMERON ISD,'166901,1620,1461,,,,,,,,1,2,6,6,0,14,1
CAMPBELL ISD,'116910,294,251,0,0,0,1,0,1,0,0,0,2,4,0,6,0
CANADIAN ISD,'106901,879,808,0,1,8,4,0,8,5,8,5,21,10,0,14,30
CANTON ISD,'234902,2185,1969,1,1,6,3,0,2,9,5,6,16,7,0,2,32
CANUTILLO ISD,'071907,6007,973,,,,,,,,0,1,3,3,0,7,0
CANYON ISD,'191901,10323,9380,7,5,35,28,0,5,70,25,32,131,113,0,19,282
CARLISLE ISD,'201913,625,560,,,,,,,,0,0,5,3,0,3,5
CARRIZO SPRINGS CISD,'064903,2065,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CARROLL ISD,'220919,8297,4343,0,0,3,0,0,0,3,3,1,20,6,0,7,23
"CARROLLTON-FARMERS
BRANCH ISD",'057903,24701,10283,2,0,3,16,3,2,16,34,29,65,71,3,7,189
CARTHAGE ISD,'183902,2643,2356,,,,,,,,3,1,25,15,3,7,34
CASTLEBERRY ISD,'220917,3633,1914,0,2,3,9,0,14,0,2,4,34,20,7,52,1
CAYUGA ISD,'001902,544,415,1,1,3,3,0,4,4,6,1,15,10,2,20,10
CEDAR HILL ISD,'057904,7290,0,,,,,,,,*,*,*,*,*,*,*
"CEDARS INTERNATIONAL
ACADEMY",'227817,495,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CELESTE ISD,'116902,494,453,,,,,,,,0,0,1,1,0,2,0
CELINA ISD,'043903,2973,2360,,,,,,,,4,14,58,24,2,58,40
CENTER ISD,'210901,2432,2232,0,0,0,3,0,0,3,3,3,26,17,0,7,42
CENTER POINT ISD,'133901,544,498,,,,,,,,0,0,8,1,0,0,9
CENTERVILLE ISD,'145902,635,581,,,,,,,,0,0,3,1,0,4,0
CENTERVILLE ISD,'228904,134,127,,,,,,,,,,,,,,
CENTRAL HEIGHTS ISD,'174908,1135,1004,0,0,0,1,0,0,1,1,2,1,5,0,3,6
CENTRAL ISD,'003907,1439,1203,,,,,,,,2,0,2,5,0,9,0
CHANNELVIEW ISD,'101905,9214,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHANNING ISD,'103901,171,166,,,,,,,,,,,,,,
CHAPARRAL STAR ACADEMY,'227814,371,7,,,,,,,,,,,,,,
CHAPEL HILL ACADEMY,'220815,771,12,,,,,,,,*,*,*,*,*,*,*
CHAPEL HILL ISD,'212909,3393,2189,,,,,,,,5,11,32,22,0,6,64
CHAPEL HILL ISD,'225906,996,804,1,0,5,1,2,0,5,2,0,9,3,3,4,7
CHARLOTTE ISD,'007901,413,317,,,,,,,,,,,,,,
CHEROKEE ISD,'206903,131,129,,,,,,,,,,,,,,
CHESTER ISD,'229906,201,194,,,,,,,,,,,,,,
CHICO ISD,'249904,590,531,,,,,,,,2,0,4,1,1,6,0
CHILDRESS ISD,'038901,1006,937,0,1,0,0,0,1,0,1,2,7,2,0,12,0
CHILLICOTHE ISD,'099902,205,204,0,0,3,0,0,3,0,3,1,4,2,0,5,5
CHILTON ISD,'073901,519,477,,,,,,,,2,1,15,9,2,14,11
CHINA SPRING ISD,'161920,2869,2456,3,2,0,4,0,4,5,8,4,21,14,0,31,16
CHIRENO ISD,'174901,374,310,1,0,0,0,0,0,1,2,0,10,9,5,6,10
CHISUM ISD,'139905,NR,NR,,,,,,,,2,1,9,13,0,25,0
CHRISTOVAL ISD,'226901,568,530,,,,,,,,0,0,2,1,0,0,3
CISCO ISD,'067902,845,776,,,,,,,,0,0,11,8,0,13,6
CITY VIEW ISD,'243906,1051,867,,,,,,,,1,6,3,2,0,4,8
CITYSCAPE SCHOOLS,'057841,1208,0,,,,,,,,*,*,*,*,*,*,*
CLARENDON ISD,'065901,446,441,,,,,,,,4,2,4,3,3,10,0
CLARKSVILLE ISD,'194904,480,292,,,,,,,,1,1,1,7,0,9,1
CLAUDE ISD,'006902,318,308,0,0,2,0,0,0,2,0,0,2,4,0,1,5
CLEAR CREEK ISD,'084910,40663,26658,,,,,,,,21,13,54,30,13,58,47
CLEBURNE ISD,'126903,6833,5308,1,1,6,3,0,0,11,8,9,33,27,0,7,70
CLEVELAND ISD,'146901,8475,3724,1,1,3,7,0,12,0,3,2,12,17,0,34,0
CLIFTON ISD,'018901,962,871,,,,,,,,1,3,3,1,0,4,4
CLINT ISD,'071901,10687,0,,,,,,,,*,*,*,*,*,*,*
CLYDE CISD,'030902,1395,1255,0,2,3,1,0,0,6,0,2,5,2,0,0,9
COAHOMA ISD,'114902,1092,899,1,0,0,1,0,0,2,1,1,5,11,0,14,4
COLDSPRING-OAKHURST CISD,'204901,1554,1041,1,0,2,2,0,1,4,4,0,3,4,0,1,10
COLEMAN ISD,'042901,843,776,,,,,,,,0,0,3,3,0,4,2
COLLEGE STATION ISD,'021901,13642,10161,,,,,,,,20,10,33,38,0,3,98
COLLINSVILLE ISD,'091902,549,482,0,0,0,1,0,0,1,0,0,13,7,2,3,15
COLMESNEIL ISD,'229901,456,439,,,,,,,,0,0,0,1,0,1,0
COLORADO ISD,'168901,896,807,,,,,,,,0,1,4,1,0,1,5
COLUMBIA-BRAZORIA ISD,'020907,2841,1969,0,1,0,0,0,1,0,5,4,7,0,0,16,0
COLUMBUS ISD,'045902,1510,1075,0,0,1,0,0,0,1,0,1,1,4,0,4,2
COMAL ISD,'046902,25214,15285,2,4,21,10,2,35,0,19,12,90,37,3,109,46
COMANCHE ISD,'047901,1381,1256,0,0,3,1,0,4,0,2,2,13,14,1,29,1
COMFORT ISD,'130902,1065,817,2,0,1,1,0,2,2,2,0,1,3,1,3,2
COMMERCE ISD,'116903,1456,1050,0,0,2,0,0,0,2,2,2,17,7,5,11,12
COMMUNITY ISD,'043918,2723,1675,0,0,0,2,0,2,0,0,12,27,20,2,26,31
COMO-PICKTON CISD,'112908,722,620,0,1,0,0,0,1,0,0,5,19,6,13,8,9
"COMPASS ACADEMY CHARTER
SCHOOL",'068802,1326,1326,1,3,24,4,2,6,24,1,6,39,12,2,21,35
COMPASS ROSE ACADEMY,'015838,1134,190,,,,,,,,,,,,,,
COMQUEST ACADEMY,'101842,38,7,,,,,,,,,,,,,,
COMSTOCK ISD,'233903,229,163,,,,,,,,,,,,,,
CONNALLY ISD,'161921,2327,1303,,,,,,,,5,1,3,2,0,3,8
CONROE ISD,'170902,64382,43449,14,11,35,25,0,0,85,69,43,153,163,5,20,403
COOLIDGE ISD,'147901,313,285,,,,,,,,0,0,2,0,0,2,0
COOPER ISD,'060902,811,702,1,0,0,0,0,0,1,4,0,3,4,0,2,9
COPPELL ISD,'057922,12978,3683,8,2,38,6,0,54,0,12,8,76,37,7,126,0
COPPERAS COVE ISD,'050910,8006,4808,2,0,14,6,6,13,3,8,7,28,27,16,47,7
CORPUS CHRISTI ISD,'178904,34468,5029,11,2,8,16,3,34,0,31,14,42,62,14,133,2
"CORPUS CHRISTI MONTESSORI
SCHOOL",'178807,115,50,0,0,0,3,0,1,2,0,0,0,4,0,2,2
CORRIGAN-CAMDEN ISD,'187904,779,665,,,,,,,,2,0,2,4,0,8,0
CORSICANA ISD,'175903,6049,3731,1,0,4,3,0,2,6,16,6,20,18,0,25,35
COTTON CENTER ISD,'095902,97,93,,,,,,,,,,,,,,
COTULLA ISD,'142901,1257,629,,,,,,,,0,0,0,5,0,3,2
COUPLAND ISD,'246914,173,173,,,,,,,,,,,,,,
COVINGTON ISD,'109903,265,226,0,1,0,0,0,1,0,0,1,1,0,0,2,0
CRANDALL ISD,'129901,4843,3628,,,,,,,,4,1,19,10,0,14,20
CRANE ISD,'052901,1096,926,0,0,2,2,0,2,2,0,3,5,10,0,7,11
CRANFILLS GAP ISD,'018908,131,120,,,,,,,,4,3,4,3,4,1,9
CRAWFORD ISD,'161901,555,520,0,0,4,1,0,1,4,0,1,12,5,1,3,14
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,763,752,0,2,6,4,0,0,12,0,3,8,4,0,3,12
CROCKETT ISD,'113901,1273,1075,2,0,2,2,0,1,5,3,1,20,12,0,5,31
CROSBY ISD,'101906,6188,2480,,,,,,,,4,4,20,9,13,11,13
CROSBYTON CISD,'054901,324,316,,,,,,,,0,1,3,2,0,6,0
CROSS PLAINS ISD,'030901,363,355,,,,,,,,1,1,1,0,0,3,0
CROSS ROADS ISD,'107904,534,513,,,,,,,,0,1,1,7,0,0,9
CROSSTIMBERS ACADEMY,'184801,111,97,,,,,,,,,,,,,,
CROWELL ISD,'078901,197,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CROWLEY ISD,'220912,15336,58,,,,,,,,12,3,9,15,1,34,4
CRYSTAL CITY ISD,'254901,1747,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CUERO ISD,'062901,1973,1702,0,1,0,1,0,2,0,0,2,4,6,1,8,3
"CULBERSON
COUNTY-ALLAMOORE ISD",'055901,386,265,0,0,1,0,0,1,0,0,4,6,19,1,22,6
CUMBERLAND ACADEMY,'212801,1973,1425,,,,,,,,11,4,12,9,3,19,14
CUMBY ISD,'112905,423,327,1,0,2,1,0,1,3,1,0,13,10,5,6,13
CUSHING ISD,'174902,543,474,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD,'101907,114442,52723,8,3,44,26,4,11,66,42,34,196,176,32,69,347
D'HANIS ISD,'163902,315,255,,,,,,,,,,,,,,
DAINGERFIELD-LONE STAR ISD,'172902,1035,858,2,0,0,6,3,2,3,5,3,14,24,12,21,13
DALHART ISD,'056901,1668,1546,,,,,,,,2,2,10,9,0,10,13
DALLAS ISD,'057905,144574,10259,19,8,19,0,0,0,46,93,60,109,13,5,20,250
DAMON ISD,'020910,111,76,,,,,,,,,,,,,,
DANBURY ISD,'020904,740,624,,,,,,,,,,,,,,
DARROUZETT ISD,'148905,144,144,0,1,0,1,0,0,2,0,1,0,1,0,0,2
DAWSON ISD,'058902,154,135,0,0,1,0,0,1,0,1,0,2,1,0,3,1
DAWSON ISD,'175904,535,439,,,,,,,,0,0,1,1,0,2,0
DAYTON ISD,'146902,5463,3089,1,0,1,1,0,2,1,4,3,25,19,12,29,10
DE LEON ISD,'047902,740,717,,,,,,,,1,0,2,1,0,3,1
DECATUR ISD,'249905,3421,3065,0,0,1,1,0,1,1,4,0,12,4,0,13,7
DEER PARK ISD,'101908,12343,8229,0,1,5,0,0,0,6,8,10,38,11,0,12,55
DEKALB ISD,'019901,770,705,,,,,,,,0,2,13,14,1,7,21
DEL VALLE ISD,'227910,10618,67,1,0,1,2,0,3,1,1,0,5,9,0,10,5
DELL CITY ISD,'115903,68,65,0,1,0,0,0,0,1,0,1,2,0,0,0,3
DENISON ISD,'091903,4568,3696,0,3,1,3,0,0,7,4,8,16,19,0,5,42
DENTON ISD,'061901,30214,16055,6,6,31,16,0,40,19,33,22,112,72,0,157,82
DENVER CITY ISD,'251901,1616,1446,0,2,10,2,2,12,0,5,6,38,15,7,53,4
DESOTO ISD,'057906,8047,0,,,,,,,,*,*,*,*,*,*,*
DETROIT ISD,'194905,522,485,,,,,,,,0,0,1,2,0,3,0
DEVERS ISD,'146903,205,205,,,,,,,,0,0,0,1,0,1,0
DEVINE ISD,'163901,1943,1133,,,,,,,,1,0,2,0,0,3,0
DEW ISD,'081906,172,149,,,,,,,,,,,,,,
DEWEYVILLE ISD,'176903,538,0,,,,,,,,,,,,,,
DIBOLL ISD,'003905,1872,1478,0,0,0,2,0,0,2,2,1,5,4,0,2,10
DICKINSON ISD,'084901,11538,6192,5,6,13,2,0,12,14,15,15,45,15,0,30,60
DILLEY ISD,'082902,888,497,,,,,,,,0,0,0,3,0,1,2
DIME BOX ISD,'144903,153,106,,,,,,,,0,1,0,0,0,1,0
DIMMITT ISD,'035901,1200,1125,2,0,17,7,0,0,26,2,2,30,15,0,2,47
DIVIDE ISD,'133905,22,22,,,,,,,,,,,,,,
DODD CITY ISD,'074904,340,324,,,,,,,,0,1,0,1,0,2,0
DONNA ISD,'108902,13789,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DOSS CONSOLIDATED CSD,'086024,17,15,,,,,,,,,,,,,,
DOUGLASS ISD,'174911,467,437,,,,,,,,0,1,3,2,0,5,1
