Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - February 14, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: February 8, 2021 - February 14, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30, 2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October 30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
CAYUGA ISD,'001902,535,489,CAYUGA EL,'001902103,236,208,,,,,,8,4,2,8,2
CAYUGA ISD,'001902,535,489,CAYUGA MIDDLE,'001902041,133,126,,,,,,11,4,2,7,6
CAYUGA ISD,'001902,535,489,CAYUGA H S,'001902001,166,155,,,,,,16,14,3,16,11
CAYUGA ISD TOTAL,'001902,535,489,,,535,489,,,,,,35,22,7,31,19
ELKHART ISD,'001903,1200,1092,ELKHART DAEP,'001903002,NR,NR,,,,,,,,,,
ELKHART ISD,'001903,1200,1092,ELKHART INT,'001903102,266,231,,,,,,*,5,*,*,*
ELKHART ISD,'001903,1200,1092,,"Multiple
Campus",NR,NR,,,,,,*,10,*,*,*
ELKHART ISD,'001903,1200,1092,ELKHART EL,'001903101,322,291,,,,,,5,16,0,6,15
ELKHART ISD,'001903,1200,1092,ELKHART MIDDLE,'001903041,268,260,,,,,,11,5,0,2,14
ELKHART ISD,'001903,1200,1092,ELKHART H S,'001903001,344,310,,,,,,16,4,0,5,15
ELKHART ISD TOTAL,'001903,1200,1092,,,1200,1092,,,,,,35,40,0,16,59
FRANKSTON ISD,'001904,836,768,,"Multiple
Campus",NR,NR,,,,,,0,3,0,2,1
FRANKSTON ISD,'001904,836,768,FRANKSTON MIDDLE,'001904041,200,189,,,,,,6,6,1,3,8
FRANKSTON ISD,'001904,836,768,FRANKSTON EL,'001904102,343,310,,,,,,7,13,0,13,7
FRANKSTON ISD,'001904,836,768,FRANKSTON H S,'001904001,293,269,,,,,,23,6,4,13,12
FRANKSTON ISD TOTAL,'001904,836,768,,,836,768,,,,,,36,28,5,31,28
NECHES ISD,'001906,339,339,NECHES H S,'001906002,95,95,,,,,,*,3,*,*,*
NECHES ISD,'001906,339,339,,"Multiple
Campus",NR,NR,,,,,,1,0,0,0,1
NECHES ISD,'001906,339,339,NECHES EL,'001906102,244,244,,,,,,7,5,1,8,3
NECHES ISD TOTAL,'001906,339,339,,,339,339,,,,,,*,8,*,*,*
PALESTINE ISD,'001907,3399,2908,SOUTHSIDE EL,'001907107,439,387,,,,,,*,11,*,*,*
