ALTO ISD,'037901,623,479,,,,,,,,0,2,8,3,0,1,12
ALVARADO ISD,'126901,3561,2269,0,0,1,0,0,0,1,1,0,3,3,0,4,3
ALVIN ISD,'020901,26475,4288,0,2,4,5,0,11,0,3,4,7,10,0,24,0
ALVORD ISD,'249901,213,198,,,,,,,,0,1,2,0,0,2,1
AMARILLO ISD,'188901,31494,25531,2,5,51,26,2,29,53,11,18,121,85,11,118,106
"AMBASSADORS PREPARATORY
ACADEMY",'084804,233,0,,,,,,,,,,,,,,
AMHERST ISD,'140901,128,125,,,,,,,,0,0,1,0,0,1,0
"AMIGOS POR VIDA-FRIENDS
FOR LIFE PUB CHTR SCH",'101819,509,5,,,,,,,,*,*,*,*,*,*,*
ANAHUAC ISD,'036901,1282,897,,,,,,,,0,0,0,1,0,1,0
ANDERSON-SHIRO CISD,'093901,906,760,,,,,,,,0,0,1,1,0,0,2
ANDREWS ISD,'002901,1139,968,,,,,,,,2,0,12,5,0,18,1
ANGLETON ISD,'020902,6857,480,0,0,1,1,0,2,0,7,5,6,16,10,24,0
ANNA ISD,'043902,3977,2672,0,0,2,2,0,0,4,0,0,4,4,0,0,8
ANSON ISD,'127901,714,659,,,,,,,,0,2,0,5,0,4,3
ANTHONY ISD,'071906,768,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ANTON ISD,'110901,180,149,,,,,,,,0,0,1,0,1,0,0
APPLE SPRINGS ISD,'228905,204,187,,,,,,,,,,,,,,
AQUILLA ISD,'109912,NR,NR,,,,,,,,,,,,,,
ARANSAS COUNTY ISD,'004901,2970,1795,0,0,1,0,0,0,1,1,1,5,0,0,1,6
ARANSAS PASS ISD,'205901,1739,0,,,,,,,,*,*,*,*,*,*,*
ARCHER CITY ISD,'005901,504,461,,,,,,,,,,,,,,
ARGYLE ISD,'061910,3691,2953,0,0,0,6,0,0,6,1,0,4,9,0,8,6
ARISTOI CLASSICAL ACADEMY,'101803,1070,0,,,,,,,,*,*,*,*,*,*,*
"ARLINGTON CLASSICS
ACADEMY",'220802,1513,15,,,,,,,,*,*,*,*,*,*,*
ARLINGTON ISD,'220901,54496,272,0,0,6,20,2,0,24,1,1,16,62,3,0,77
ARP ISD,'212901,230,205,0,0,0,1,0,1,0,0,2,1,2,0,3,2
ARROW ACADEMY,'021805,641,229,,,,,,,,0,1,0,0,0,1,0
ASPERMONT ISD,'217901,208,202,,,,,,,,0,0,1,0,0,1,0
ATHENS ISD,'107901,2873,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ATLANTA ISD,'034901,1810,1498,0,0,3,4,0,4,3,3,2,17,13,0,11,24
AUBREY ISD,'061907,2601,1592,0,0,0,1,0,1,0,0,0,2,1,1,1,1
"AUSTIN ACHIEVE PUBLIC
SCHOOLS",'227825,2107,0,,,,,,,,,,,,,,
AUSTIN DISCOVERY SCHOOL,'227821,438,0,,,,,,,,,,,,,,
AUSTIN ISD,'227901,75391,69,0,0,1,1,0,0,2,0,0,8,8,0,0,16
AUSTWELL-TIVOLI ISD,'196901,128,0,,,,,,,,,,,,,,
AVALON ISD,'070901,315,217,,,,,,,,,,,,,,
AVERY ISD,'194902,NR,NR,,,,,,,,,,,,,,
AVINGER ISD,'034902,144,127,,,,,,,,,,,,,,
AXTELL ISD,'161918,767,680,,,,,,,,0,0,1,0,0,0,1
AZLE ISD,'220915,6573,4293,0,0,4,1,0,1,4,5,2,10,5,2,8,12
BAIRD ISD,'030903,275,248,,,,,,,,,,,,,,
BALLINGER ISD,'200901,838,677,0,0,1,0,0,1,0,3,0,2,0,0,5,0
BALMORHEA ISD,'195902,156,131,,,,,,,,,,,,,,
BANDERA ISD,'010902,2203,1600,,,,,,,,0,0,1,0,0,1,0
BANGS ISD,'025901,845,803,,,,,,,,0,1,10,5,0,0,16
BANQUETE ISD,'178913,843,0,,,,,,,,*,*,*,*,*,*,*
BARBERS HILL ISD,'036902,1136,891,1,0,1,0,0,2,0,1,2,8,7,0,18,0
BARTLETT ISD,'014902,364,280,,,,,,,,,,,,,,
BASIS TEXAS,'015834,3099,0,,,,,,,,*,*,*,*,*,*,*
BASTROP ISD,'011901,11255,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BAY CITY ISD,'158901,3283,45,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847,466,0,,,,,,,,,,,,,,
BEAUMONT ISD,'123910,17002,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BECKVILLE ISD,'183901,679,652,,,,,,,,0,1,1,5,1,5,1
BEEVILLE ISD,'013901,3057,0,,,,,,,,*,*,*,*,*,*,*
BELLEVUE ISD,'039904,139,133,,,,,,,,,,,,,,
BELLS ISD,'091901,879,799,,,,,,,,0,0,1,3,1,1,2
BELLVILLE ISD,'008901,2143,1881,0,0,0,1,0,0,1,0,0,1,3,0,0,4
BELTON ISD,'014903,12407,8949,1,0,3,4,0,4,4,1,2,7,9,0,7,12
BEN BOLT-PALITO BLANCO ISD,'125902,521,13,,,,,,,,*,*,*,*,*,*,*
BENAVIDES ISD,'066901,251,0,,,,,,,,,,,,,,
BENJAMIN ISD,'138904,130,130,,,,,,,,0,0,2,0,0,0,2
BETA ACADEMY,'101870,1241,0,,,,,,,,*,*,*,*,*,*,*
"BETTY M CONDRA SCHOOL
FOR EDUCATION INNOVATION",'152806,137,103,,,,,,,,,,,,,,
BEXAR COUNTY ACADEMY,'015809,263,0,,,,,,,,*,*,*,*,*,*,*
BIG SANDY ISD,'187901,480,336,1,0,1,1,0,3,0,1,0,1,2,0,4,0
BIG SANDY ISD,'230901,617,503,0,0,0,1,0,1,0,0,2,7,4,0,4,9
BIG SPRING ISD,'114901,3728,2678,0,0,2,4,1,1,4,3,0,18,13,3,6,25
"BIG SPRINGS CHARTER
SCHOOL",'193801,195,79,,,,,,,,0,0,0,3,1,1,1
BIRDVILLE ISD,'220902,22309,250,2,4,29,0,0,0,35,6,12,55,3,0,0,76
BISHOP CISD,'178902,1531,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BLACKWELL CISD,'177903,156,156,0,0,0,1,0,1,0,0,0,0,1,0,1,0
BLANCO ISD,'016902,1025,854,,,,,,,,,,,,,,
BLAND ISD,'116915,702,490,1,0,1,0,0,2,0,2,0,1,0,0,3,0
BLANKET ISD,'025904,143,129,,,,,,,,,,,,,,
"BLOOM ACADEMY CHARTER
SCHOOL",'101875,75,0,,,,,,,,,,,,,,
BLOOMBURG ISD,'034909,239,234,0,0,0,1,0,1,0,0,1,2,2,0,5,0
BLOOMING GROVE ISD,'175902,882,702,0,0,1,0,0,0,1,0,1,1,2,0,3,1
BLOOMINGTON ISD,'235901,804,398,,,,,,,,2,1,2,2,0,3,4
BLUE RIDGE ISD,'043917,882,770,0,0,0,1,0,0,1,1,0,0,3,0,0,4
BLUFF DALE ISD,'072904,222,213,,,,,,,,,,,,,,
BLUM ISD,'109913,370,366,1,0,0,0,0,0,1,1,0,2,1,3,0,1
BOB HOPE SCHOOL,'123807,1467,0,,,,,,,,,,,,,,
BOERNE ISD,'130901,9486,7161,,,,,,,,2,1,18,7,0,13,15
BOLES ISD,'116916,492,265,,,,,,,,0,0,3,8,5,2,4
BOLING ISD,'241901,1079,809,0,0,0,1,0,1,0,0,0,3,1,0,4,0
BONHAM ISD,'074903,1687,1394,,,,,,,,2,3,1,0,0,6,0
BOOKER ISD,'148901,368,366,,,,,,,,,,,,,,
BORDEN COUNTY ISD,'017901,237,237,,,,,,,,,,,,,,
BORGER ISD,'117901,2437,1874,0,0,3,1,2,1,1,3,1,19,29,11,12,29
BOSQUEVILLE ISD,'161923,NR,NR,,,,,,,,0,1,1,0,0,1,1
BOVINA ISD,'185901,470,403,,,,,,,,0,0,2,3,0,2,3
BOWIE ISD,'169901,1634,1469,0,0,1,0,0,0,1,0,0,6,4,0,1,9
BOYD ISD,'249902,1259,1070,0,0,6,2,0,0,8,0,0,6,3,0,0,9
BOYS RANCH ISD,'180901,229,228,0,0,6,1,1,6,0,0,0,11,5,1,11,4
BRACKETT ISD,'136901,532,344,,,,,,,,0,0,0,1,0,1,0
BRADY ISD,'160901,970,776,,,,,,,,0,0,2,6,1,6,1
BRAZOS ISD,'008903,812,566,,,,,,,,,,,,,,
"BRAZOS RIVER CHARTER
SCHOOL",'213801,149,146,,,,,,,,0,0,2,0,0,2,0
"BRAZOS SCHOOL FOR INQUIRY
& CREATIVITY",'021803,340,177,,,,,,,,0,0,0,1,0,0,1
BRAZOSPORT ISD,'020905,11399,7185,0,0,2,1,0,3,0,12,5,14,9,0,40,0
BRECKENRIDGE ISD,'215901,1433,1268,0,0,1,1,0,0,2,0,0,3,4,0,1,6
BREMOND ISD,'198901,499,424,1,1,0,0,0,2,0,1,1,1,0,0,3,0
BRENHAM ISD,'239901,4854,3719,0,1,0,3,0,0,4,0,1,1,3,0,1,4
BRIDGE CITY ISD,'181901,810,680,,,,,,,,0,0,3,1,0,4,0
BRIDGEPORT ISD,'249903,2045,1402,0,0,1,0,0,1,0,0,1,1,0,0,2,0
"BRIDGEWAY PREPARATORY
ACADEMY",'057851,92,9,,,,,,,,,,,,,,
BROADDUS ISD,'203902,367,312,,,,,,,,,,,,,,
BROCK ISD,'184909,1731,1571,,,,,,,,0,0,2,1,0,1,2
BRONTE ISD,'041901,239,234,,,,,,,,0,0,1,0,0,0,1
BROOKELAND ISD,'121902,370,348,,,,,,,,,,,,,,
BROOKESMITH ISD,'025908,141,131,,,,,,,,1,0,0,0,0,0,1
"BROOKS ACADEMIES OF
TEXAS",'015830,NR,NR,0,0,0,1,0,1,0,0,0,0,1,0,1,0
BROOKS COUNTY ISD,'024901,NR,NR,,,,,,,,0,0,0,2,0,2,0
BROWNFIELD ISD,'223901,1383,1139,,,,,,,,0,0,1,1,0,2,0
BROWNSBORO ISD,'107902,2588,2123,0,0,1,3,0,0,4,1,1,8,10,0,1,19
BROWNSVILLE ISD,'031901,39247,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWNWOOD ISD,'025902,263,229,0,0,0,1,0,0,1,6,1,13,10,0,25,5
BRUCEVILLE-EDDY ISD,'161919,606,455,,,,,,,,0,0,2,1,0,0,3
BRYAN ISD,'021902,15508,9054,1,1,10,7,0,0,19,12,4,22,26,0,0,64
BRYSON ISD,'119901,254,241,,,,,,,,,,,,,,
BUCKHOLTS ISD,'166907,145,116,,,,,,,,,,,,,,
BUENA VISTA ISD,'186901,240,60,,,,,,,,,,,,,,
BUFFALO ISD,'145901,916,829,0,0,0,1,0,0,1,0,0,0,1,0,0,1
BULLARD ISD,'212902,2669,2363,3,0,5,10,0,2,16,3,3,16,22,3,10,31
BUNA ISD,'121903,433,346,,,,,,,,0,0,0,2,0,0,2
BURKBURNETT ISD,'243901,3191,2446,0,1,0,0,0,1,0,0,2,1,1,0,3,1
BURKEVILLE ISD,'176901,252,202,,,,,,,,,,,,,,
BURLESON ISD,'126902,12326,7745,1,0,8,4,1,12,0,6,3,24,9,9,31,2
BURNET CISD,'027903,3063,2161,1,0,0,0,0,1,0,1,1,1,1,0,4,0
"BURNHAM WOOD CHARTER
SCHOOL DISTRICT",'071801,1223,517,0,1,0,0,0,1,0,0,1,0,0,0,1,0
BURTON ISD,'239903,485,402,,,,,,,,,,,,,,
BUSHLAND ISD,'188904,1422,1346,0,0,0,2,0,0,2,1,0,2,5,0,0,8
BYNUM ISD,'109902,197,167,0,0,1,0,0,0,1,0,0,2,0,0,1,1
CADDO MILLS ISD,'116901,1962,1570,,,,,,,,0,0,2,4,0,6,0
CALALLEN ISD,'178903,3988,2199,,,,,,,,3,1,1,14,3,16,0
CALDWELL ISD,'026901,1686,1353,0,0,5,1,0,0,6,0,1,12,5,0,1,17
CALHOUN COUNTY ISD,'029901,3662,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CALLISBURG ISD,'049905,1089,931,,,,,,,,0,0,2,0,0,0,2
CALVERT ISD,'198902,135,81,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"CALVIN NELMS CHARTER
SCHOOLS",'101837,302,0,,,,,,,,,,,,,,
CAMERON ISD,'166901,1616,1337,,,,,,,,1,2,6,5,0,13,1
CAMPBELL ISD,'116910,274,218,,,,,,,,0,0,2,0,0,2,0
CANADIAN ISD,'106901,879,829,1,0,3,2,0,1,5,4,2,6,4,0,2,14
CANTON ISD,'234902,2172,1860,,,,,,,,3,1,2,0,0,0,6
CANUTILLO ISD,'071907,5949,0,,,,,,,,*,*,*,*,*,*,*
CANYON ISD,'191901,10146,9112,1,1,7,4,0,2,11,5,8,33,28,0,8,66
CARLISLE ISD,'201913,625,525,,,,,,,,0,0,5,3,0,3,5
CARRIZO SPRINGS CISD,'064903,2011,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CARROLL ISD,'220919,8288,4624,0,1,4,1,0,0,6,0,1,8,2,0,0,11
"CARROLLTON-FARMERS
BRANCH ISD",'057903,24061,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CARTHAGE ISD,'183902,2613,2168,0,0,1,0,0,1,0,0,0,17,10,3,5,19
CASTLEBERRY ISD,'220917,3560,44,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CAYUGA ISD,'001902,NR,NR,0,0,3,0,0,2,1,3,0,9,3,0,11,4
CEDAR HILL ISD,'057904,6989,30,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"CEDARS INTERNATIONAL
ACADEMY",'227817,460,0,,,,,,,,,,,,,,
CELESTE ISD,'116902,496,453,,,,,,,,,,,,,,
CELINA ISD,'043903,2842,2263,0,0,2,3,0,4,1,4,12,54,21,2,55,34
CENTER ISD,'210901,2463,2243,1,0,4,2,0,0,7,2,1,19,4,0,6,20
CENTER POINT ISD,'133901,528,399,0,0,0,1,0,0,1,0,0,0,1,0,0,1
CENTERVILLE ISD,'145902,615,508,,,,,,,,0,0,1,1,0,2,0
CENTERVILLE ISD,'228904,140,134,,,,,,,,,,,,,,
CENTRAL HEIGHTS ISD,'174908,1125,930,,,,,,,,1,2,1,2,0,1,5
CENTRAL ISD,'003907,1361,1321,,,,,,,,2,0,1,4,0,7,0
CHANNELVIEW ISD,'101905,9304,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHANNING ISD,'103901,168,168,,,,,,,,,,,,,,
CHAPARRAL STAR ACADEMY,'227814,381,0,,,,,,,,,,,,,,
CHAPEL HILL ACADEMY,'220815,721,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHAPEL HILL ISD,'212909,3143,2069,2,2,5,3,0,1,11,3,5,15,8,0,3,28
CHAPEL HILL ISD,'225906,959,771,,,,,,,,1,0,2,1,0,2,2
CHARLOTTE ISD,'007901,416,242,,,,,,,,,,,,,,
CHEROKEE ISD,'206903,123,121,,,,,,,,,,,,,,
CHESTER ISD,'229906,208,81,,,,,,,,,,,,,,
CHICO ISD,'249904,597,531,,,,,,,,0,0,2,0,0,2,0
CHILDRESS ISD,'038901,975,894,,,,,,,,0,0,2,0,0,2,0
CHILLICOTHE ISD,'099902,210,204,0,1,0,0,0,0,1,1,1,1,1,0,0,4
CHILTON ISD,'073901,525,494,0,0,4,0,0,2,2,1,0,4,0,0,3,2
CHINA SPRING ISD,'161920,2860,2221,0,0,1,0,0,1,0,2,2,11,1,0,16,0
CHIRENO ISD,'174901,397,341,0,0,0,1,0,1,0,0,0,10,6,5,5,6
CHISUM ISD,'139905,1055,928,1,0,1,1,0,3,0,1,0,2,4,0,7,0
CHRISTOVAL ISD,'226901,559,509,,,,,,,,,,,,,,
CISCO ISD,'067902,834,789,,,,,,,,0,0,1,6,0,7,0
CITY VIEW ISD,'243906,1062,878,,,,,,,,1,0,0,1,0,2,0
CITYSCAPE SCHOOLS,'057841,1220,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CLARENDON ISD,'065901,407,393,,,,,,,,,,,,,,
CLARKSVILLE ISD,'194904,NR,NR,,,,,,,,0,0,0,1,0,1,0
CLAUDE ISD,'006902,312,306,,,,,,,,,,,,,,
CLEAR CREEK ISD,'084910,40308,27915,2,1,5,5,0,10,3,9,4,19,9,3,29,9
CLEBURNE ISD,'126903,6814,5160,0,2,3,1,0,0,6,1,3,7,8,0,0,19
CLEVELAND ISD,'146901,7885,3116,,,,,,,,0,1,2,4,0,7,0
CLIFTON ISD,'018901,940,725,0,2,2,0,0,3,1,1,2,3,0,0,3,3
CLINT ISD,'071901,10543,0,,,,,,,,*,*,*,*,*,*,*
CLYDE CISD,'030902,1375,1228,,,,,,,,0,0,2,0,0,0,2
COAHOMA ISD,'114902,1100,910,,,,,,,,0,1,5,7,0,11,2
COLDSPRING-OAKHURST CISD,'204901,1537,1049,,,,,,,,,,,,,,
COLEMAN ISD,'042901,808,66,,,,,,,,0,0,3,1,0,3,1
COLLEGE STATION ISD,'021901,13531,9203,1,0,5,8,0,0,14,10,5,18,24,0,0,57
COLLINSVILLE ISD,'091902,521,454,0,0,0,2,0,0,2,0,0,2,4,0,0,6
COLMESNEIL ISD,'229901,456,365,,,,,,,,,,,,,,
COLORADO ISD,'168901,NR,NR,,,,,,,,,,,,,,
COLUMBIA-BRAZORIA ISD,'020907,2778,1746,,,,,,,,1,1,3,0,0,5,0
COLUMBUS ISD,'045902,1494,274,,,,,,,,0,1,0,3,0,3,1
COMAL ISD,'046902,25135,15349,0,1,3,1,0,3,2,14,4,29,16,0,17,46
COMANCHE ISD,'047901,364,109,0,2,1,3,0,5,1,1,2,6,9,0,17,1
COMFORT ISD,'130902,1059,794,,,,,,,,,,,,,,
COMMERCE ISD,'116903,655,435,0,0,1,1,0,2,0,1,1,9,1,5,6,1
COMMUNITY ISD,'043918,2727,1754,,,,,,,,0,7,26,10,2,18,23
COMO-PICKTON CISD,'112908,693,554,,,,,,,,0,2,19,3,12,4,8
"COMPASS ACADEMY CHARTER
SCHOOL",'068802,1336,1336,0,0,1,1,0,0,2,0,1,8,2,0,8,3
COMPASS ROSE ACADEMY,'015838,1171,105,,,,,,,,,,,,,,
COMQUEST ACADEMY,'101842,NR,NR,,,,,,,,,,,,,,
COMSTOCK ISD,'233903,228,160,,,,,,,,,,,,,,
CONNALLY ISD,'161921,2268,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CONROE ISD,'170902,63413,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COOLIDGE ISD,'147901,157,127,0,0,1,0,0,1,0,0,0,1,0,0,1,0
COOPER ISD,'060902,801,138,,,,,,,,0,0,2,1,0,2,1
COPPELL ISD,'057922,13041,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COPPERAS COVE ISD,'050910,7660,4489,0,1,0,0,0,1,0,3,3,2,5,1,10,2
CORPUS CHRISTI ISD,'178904,34570,33472,0,0,1,4,1,4,0,3,3,17,29,1,50,1
"CORPUS CHRISTI MONTESSORI
SCHOOL",'178807,120,0,,,,,,,,,,,,,,
CORRIGAN-CAMDEN ISD,'187904,771,588,,,,,,,,0,0,2,2,0,4,0
CORSICANA ISD,'175903,5777,3686,1,1,3,3,0,2,6,8,4,12,11,0,17,18
COTTON CENTER ISD,'095902,102,94,,,,,,,,,,,,,,
COTULLA ISD,'142901,1236,16,,,,,,,,*,*,*,*,*,*,*
COUPLAND ISD,'246914,172,132,,,,,,,,,,,,,,
COVINGTON ISD,'109903,275,217,,,,,,,,,,,,,,
CRANDALL ISD,'129901,4650,2876,,,,,,,,2,1,2,1,0,6,0
CRANE ISD,'052901,1084,867,0,1,0,1,0,2,0,0,1,1,2,0,2,2
CRANFILLS GAP ISD,'018908,129,126,,,,,,,,4,3,4,2,4,0,9
CRAWFORD ISD,'161901,560,504,,,,,,,,,,,,,,
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,714,575,,,,,,,,0,1,2,0,0,3,0
CROCKETT ISD,'113901,1249,902,,,,,,,,0,0,1,1,0,1,1
CROSBY ISD,'101906,6148,162,3,2,12,2,10,5,4,4,4,16,8,10,11,11
CROSBYTON CISD,'054901,326,287,,,,,,,,0,0,1,0,0,1,0
CROSS PLAINS ISD,'030901,360,346,0,0,1,0,0,1,0,1,0,1,0,0,2,0
CROSS ROADS ISD,'107904,519,489,,,,,,,,,,,,,,
CROSSTIMBERS ACADEMY,'184801,100,0,,,,,,,,,,,,,,
CROWELL ISD,'078901,199,195,,,,,,,,1,0,0,0,0,1,0
CROWLEY ISD,'220912,15366,98,0,0,4,2,0,5,1,0,0,4,5,1,7,1
CRYSTAL CITY ISD,'254901,NR,NR,,,,,,,,,,,,,,
CUERO ISD,'062901,1930,1502,0,0,1,1,0,1,1,0,1,3,2,0,5,1
"CULBERSON
COUNTY-ALLAMOORE ISD",'055901,375,251,,,,,,,,0,0,0,4,0,4,0
CUMBERLAND ACADEMY,'212801,NR,NR,0,0,0,3,0,2,1,2,0,1,3,0,3,3
CUMBY ISD,'112905,422,371,0,0,1,2,0,2,1,0,0,8,5,3,4,6
CUSHING ISD,'174902,577,471,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD,'101907,114599,51939,3,4,12,12,4,1,26,14,8,25,44,14,14,63
D'HANIS ISD,'163902,304,213,,,,,,,,,,,,,,
DAINGERFIELD-LONE STAR ISD,'172902,277,233,0,0,6,1,6,0,1,0,3,10,5,7,8,3
DALHART ISD,'056901,1515,1382,0,0,2,0,0,0,2,1,0,5,3,0,0,9
DALLAS ISD,'057905,136120,0,,,,,,,,*,*,*,*,*,*,*
DAMON ISD,'020910,98,51,,,,,,,,,,,,,,
DANBURY ISD,'020904,741,23,,,,,,,,,,,,,,
DARROUZETT ISD,'148905,144,137,,,,,,,,,,,,,,
DAWSON ISD,'058902,153,107,,,,,,,,0,0,1,1,0,1,1
DAWSON ISD,'175904,253,187,,,,,,,,0,0,0,1,0,1,0
DAYTON ISD,'146902,5396,2909,2,1,12,3,10,6,2,2,2,13,6,10,11,2
DE LEON ISD,'047902,739,709,,,,,,,,1,0,0,0,0,0,1
DECATUR ISD,'249905,3339,2737,,,,,,,,1,0,4,1,0,6,0
DEER PARK ISD,'101908,2916,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DEKALB ISD,'019901,781,679,0,0,1,2,0,0,3,0,2,11,9,1,4,17
DEL VALLE ISD,'227910,3273,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DELL CITY ISD,'115903,64,57,,,,,,,,,,,,,,
DENISON ISD,'091903,4554,3441,0,1,0,0,0,0,1,2,1,5,7,0,0,15
DENTON ISD,'061901,2161,22,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DENVER CITY ISD,'251901,1592,1443,0,1,1,1,0,2,1,2,2,14,6,5,17,2
DESOTO ISD,'057906,8221,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DETROIT ISD,'194905,475,402,0,0,1,0,0,1,0,0,0,1,0,0,1,0
DEVERS ISD,'146903,145,129,,,,,,,,0,0,0,1,0,1,0
DEVINE ISD,'163901,1931,1061,,,,,,,,1,0,2,0,0,3,0
DEW ISD,'081906,NR,NR,,,,,,,,,,,,,,
DEWEYVILLE ISD,'176903,NR,NR,,,,,,,,,,,,,,
DIBOLL ISD,'003905,1678,1208,1,0,1,0,0,1,1,2,0,4,1,0,2,5
DICKINSON ISD,'084901,11426,1060,0,0,1,0,0,0,1,1,2,2,6,0,4,7
DILLEY ISD,'082902,874,509,,,,,,,,0,0,0,1,0,1,0
DIME BOX ISD,'144903,165,18,,,,,,,,*,*,*,*,*,*,*
DIMMITT ISD,'035901,1174,928,,,,,,,,0,2,8,1,0,2,9
DIVIDE ISD,'133905,22,22,,,,,,,,,,,,,,
DODD CITY ISD,'074904,332,309,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DONNA ISD,'108902,13177,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DOSS CONSOLIDATED CSD,'086024,19,17,,,,,,,,,,,,,,
DOUGLASS ISD,'174911,NR,NR,,,,,,,,0,0,2,1,0,2,1
"DR M L GARZA-GONZALEZ
CHARTER SCHOOL",'178801,231,0,,,,,,,,,,,,,,
DRAW ACADEMY,'101856,716,0,,,,,,,,*,*,*,*,*,*,*
DRIPPING SPRINGS ISD,'105904,7199,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DRISCOLL ISD,'178905,283,0,,,,,,,,*,*,*,*,*,*,*
DUBLIN ISD,'072902,1055,874,0,0,3,3,0,6,0,0,1,15,7,0,23,0
DUMAS ISD,'171901,4077,3605,,,,,,,,2,1,16,4,0,23,0
DUNCANVILLE ISD,'057907,11532,0,,,,,,,,*,*,*,*,*,*,*
EAGLE MT-SAGINAW ISD,'220918,20266,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
EAGLE PASS ISD,'159901,13175,669,0,1,0,3,0,0,4,3,1,2,17,0,12,11
