Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - October 25, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: October 19, 2020 - October 25, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
AVINGER ISD,'034902,140,116,,,,,,,,0,0,0,1,0,1,0
AXTELL ISD,'161918,764,692,,,,,,,,1,1,1,1,0,3,1
AZLE ISD,'220915,6672,4745,1,1,13,5,1,7,12,8,5,32,14,5,20,34
BAIRD ISD,'030903,268,234,,,,,,,,,,,,,,
BALLINGER ISD,'200901,861,754,0,3,2,0,0,5,0,3,3,5,3,2,12,0
BALMORHEA ISD,'195902,162,141,,,,,,,,0,0,1,0,0,1,0
BANDERA ISD,'010902,2160,1731,0,0,0,1,0,0,1,0,0,1,1,0,1,1
BANGS ISD,'025901,840,799,0,0,0,1,0,0,1,0,2,10,6,0,0,18
BANQUETE ISD,'178913,951,362,,,,,,,,1,0,3,4,0,8,0
BARBERS HILL ISD,'036902,6417,5802,1,0,4,1,0,6,0,6,2,20,20,0,48,0
BARTLETT ISD,'014902,369,315,,,,,,,,,,,,,,
BASIS TEXAS,'015834,3070,101,0,0,0,2,0,0,2,1,0,0,6,0,1,6
BASTROP ISD,'011901,10342,5277,0,1,1,1,0,1,2,2,4,7,6,0,14,5
BAY CITY ISD,'158901,3407,2715,1,1,2,0,0,2,2,3,3,5,1,0,5,7
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847,475,0,,,,,,,,,,,,,,
BEAUMONT ISD,'123910,17184,3369,1,0,2,5,6,1,1,3,0,9,40,29,15,8
BECKVILLE ISD,'183901,663,645,,,,,,,,0,1,2,7,1,5,4
BEEVILLE ISD,'013901,3098,0,,,,,,,,*,*,*,*,*,*,*
BELLEVUE ISD,'039904,136,128,,,,,,,,0,0,1,0,0,1,0
BELLS ISD,'091901,875,814,0,0,0,2,0,0,2,0,0,2,5,1,2,4
BELLVILLE ISD,'008901,2223,2017,0,0,1,2,0,3,0,0,0,2,5,0,3,4
BELTON ISD,'014903,12381,7693,0,1,4,1,0,0,6,7,5,23,12,0,15,32
BEN BOLT-PALITO BLANCO ISD,'125902,523,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BENAVIDES ISD,'066901,246,0,,,,,,,,,,,,,,
BENJAMIN ISD,'138904,131,93,,,,,,,,0,0,2,1,0,0,3
BETA ACADEMY,'101870,1168,511,1,0,0,0,0,1,0,2,1,2,0,0,5,0
"BETTY M CONDRA SCHOOL FOR
EDUCATION INNOVATION",'152806,137,115,,,,,,,,,,,,,,
BEXAR COUNTY ACADEMY,'015809,262,122,,,,,,,,1,0,0,0,0,1,0
BIG SANDY ISD,'187901,501,465,0,0,0,1,0,1,0,2,0,1,3,0,6,0
