Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - September 20, 2020, Texas",,,,,,,,,,,,,,,
"Current Week:September 14, 2020-September 20, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Current Week,,,,,,,Cumulative Reports,,,,,,
,,,,,,"School Reported Source of
Infection",,,,,,,"School Reported Source of
Infection",,
District Name,Total District Enrollment First Week of School,"New Student
Cases Grades
EE-3","New Student
Cases Grades
4-6","New Student
Cases Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total Student
Cases Grades
EE-3","Total Student
Cases Grades
4-6","Total Student
Cases Grades
7-12","Total
Staff
Cases","On
Campus","Off
MUENSTER ISD,228,0,0,0,2,0,0,2,0,0,1,2,0,0,3
MULESHOE ISD,1294,0,0,0,1,0,1,0,0,1,1,1,0,4,0
MULLIN ISD,194,,,,,,,,,,,,,,
MUMFORD ISD,621,0,0,0,1,0,0,1,0,0,0,1,0,0,1
MUNDAY CISD,388,,,,,,,,0,1,0,0,0,1,0
MURCHISON ISD,166,,,,,,,,,,,,,,
NACOGDOCHES ISD,5947,0,0,0,3,0,2,1,0,0,0,4,0,3,1
NATALIA ISD,1023,,,,,,,,,,,,,,
NAVARRO ISD,1828,,,,,,,,1,0,0,1,0,2,0
NAVASOTA ISD,2800,0,1,1,0,0,1,1,0,1,2,0,0,2,1
NAZARETH ISD,250,,,,,,,,,,,,,,
NECHES ISD,NR,,,,,,,,0,0,2,2,0,0,4
NEDERLAND ISD,4983,0,1,10,1,0,12,0,1,1,13,2,0,17,0
NEEDVILLE ISD,3297,0,1,0,0,0,0,1,1,1,3,0,0,2,3
NEW BOSTON ISD,1165,0,1,4,1,0,3,3,0,1,13,2,0,9,7
NEW BRAUNFELS ISD,NR,0,1,2,0,0,3,0,1,1,3,1,0,6,0
NEW CANEY ISD,15789,0,1,3,1,0,0,5,0,1,5,2,0,0,8
NEW DEAL ISD,757,,,,,,,,0,0,2,0,0,0,2
NEW DIANA ISD,1177,0,0,0,1,0,0,1,0,0,1,2,0,2,1
NEW FRONTIERS PUBLIC SCHOOLS INC,493,,,,,,,,,,,,,,
NEW HOME ISD,580,,,,,,,,,,,,,,
NEW SUMMERFIELD ISD,530,0,0,1,0,0,0,1,0,0,1,1,0,0,2
NEW WAVERLY ISD,1017,1,1,9,2,0,3,11,1,1,19,5,0,4,23
NEWCASTLE ISD,NR,,,,,,,,,,,,,,
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,3028,,,,,,,,1,0,1,2,0,3,1
NEWTON ISD,NR,,,,,,,,,,,,,,
NIXON-SMILEY CISD,1021,,,,,,,,,,,,,,
NOCONA ISD,247,,,,,,,,,,,,,,
NORDHEIM ISD,144,,,,,,,,,,,,,,
NORMANGEE ISD,591,,,,,,,,0,0,1,0,0,0,1
NORTH EAST ISD,59201,1,1,4,1,0,2,5,2,1,8,14,0,7,18
NORTH HOPKINS ISD,NR,0,0,1,0,0,0,1,0,0,2,1,0,1,2
NORTH LAMAR ISD,2357,0,0,2,1,0,1,2,0,0,5,3,0,4,4
NORTH TEXAS COLLEGIATE ACADEMY,618,,,,,,,,,,,,,,
NORTH ZULCH ISD,302,,,,,,,,1,0,1,0,0,1,1
NORTHSIDE ISD (LEA: 015915),113750,1,0,4,8,0,10,3,1,1,7,35,2,28,14
NORTHSIDE ISD (LEA: 244905),241,,,,,,,,,,,,,,
NORTHWEST ISD,25193,1,0,8,0,0,1,8,3,3,10,1,0,2,15
NOVA ACADEMY,115,,,,,,,,,,,,,,
NOVA ACADEMY SOUTHEAST,605,,,,,,,,,,,,,,
NUECES CANYON CISD,264,,,,,,,,,,,,,,
NURSERY ISD,154,,,,,,,,,,,,,,
NYOS CHARTER SCHOOL,1058,,,,,,,,0,0,0,2,0,2,0
OAKWOOD ISD,178,,,,,,,,,,,,,,
ODEM-EDROY ISD,178,,,,,,,,,,,,,,
O'DONNELL ISD,290,,,,,,,,,,,,,,
ODYSSEY ACADEMY INC,1400,,,,,,,,,,,,,,
OGLESBY ISD,184,,,,,,,,,,,,,,
OLFEN ISD,146,,,,,,,,0,0,0,1,0,0,1
OLNEY ISD,678,,,,,,,,0,0,0,1,0,1,0
OLTON ISD,581,0,0,1,1,0,0,2,0,1,3,5,0,1,8
ONALASKA ISD,NR,,,,,,,,0,0,0,1,0,1,0
ORANGE GROVE ISD,533,,,,,,,,1,0,1,0,0,0,2
ORANGEFIELD ISD,1785,0,0,0,1,0,0,1,0,0,1,3,0,1,3
ORE CITY ISD,888,,,,,,,,,,,,,,
ORENDA CHARTER SCHOOL,1838,0,1,0,0,0,1,0,0,1,0,0,0,1,0
OVERTON ISD,494,,,,,,,,0,0,1,5,0,1,5
PADUCAH ISD,188,,,,,,,,,,,,,,
PAINT CREEK ISD,95,,,,,,,,,,,,,,
PAINT ROCK ISD,223,0,0,1,0,0,0,1,1,0,3,4,2,2,4
PALACIOS ISD,1316,,,,,,,,0,0,1,1,0,0,2
PALESTINE ISD,3368,0,0,1,0,0,0,1,2,0,5,10,0,12,5
PALMER ISD,NR,0,0,1,0,0,0,1,0,0,4,0,0,0,4
PALO PINTO ISD,81,,,,,,,,,,,,,,
PAMPA ISD,3432,0,0,2,3,0,2,3,0,0,5,6,0,5,6
PANHANDLE ISD,NR,,,,,,,,,,,,,,
PANOLA CHARTER SCHOOL,170,,,,,,,,0,0,0,0,0,0,1
PANTHER CREEK CISD,158,0,0,0,1,0,1,0,0,0,0,1,0,1,0
PARADISE ISD,1207,0,1,0,0,0,0,1,0,2,0,0,0,1,1
PARIS ISD,3791,1,2,0,0,1,0,2,1,4,0,0,1,0,4
PASADENA ISD,49378,0,1,4,7,0,0,12,1,1,5,34,0,17,24
PATTON SPRINGS ISD,NR,0,0,0,1,0,0,1,0,0,0,1,0,0,1
PAWNEE ISD,154,,,,,,,,,,,,,,
PEARLAND ISD,3147,,,,,,,,2,0,2,0,0,2,2
PEARSALL ISD,2057,0,0,1,1,0,0,2,0,0,1,2,0,0,3
PEASTER ISD,NR,,,,,,,,,,,,,,
PECOS-BARSTOW-TOYAH ISD,2561,0,0,3,0,0,2,1,0,0,10,1,0,10,1
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,470,,,,,,,,,,,,,,
PENELOPE ISD,212,,,,,,,,,,,,,,
PERRIN-WHITT CISD,323,,,,,,,,,,,,,,
PERRYTON ISD,2103,0,0,4,0,0,2,2,0,0,5,1,0,3,3
PETERSBURG ISD,277,,,,,,,,,,,,,,
PETROLIA CISD,442,,,,,,,,,,,,,,
PETTUS ISD,371,0,0,1,0,0,1,0,0,0,2,0,0,2,0
PEWITT CISD,852,0,0,0,1,0,0,1,0,1,0,2,0,0,3
PFLUGERVILLE ISD,25918,0,0,1,1,0,0,2,0,0,1,3,0,1,3
PHARR-SAN JUAN-ALAMO ISD,31083,0,0,0,2,0,1,1,0,0,0,9,0,1,8
PILOT POINT ISD,1336,0,0,2,1,0,3,0,0,0,3,1,0,4,0
PINE TREE ISD,4431,0,0,2,0,0,0,2,0,0,8,2,0,5,5
PINEYWOODS COMMUNITY ACADEMY,1013,,,,,,,,0,0,0,1,0,1,0
"PIONEER TECHNOLOGY & ARTS
ACADEMY",NR,,,,,,,,1,0,0,0,0,1,0
PITTSBURG ISD,2328,2,0,1,0,0,0,3,3,0,9,5,0,6,11
PLAINS ISD,410,,,,,,,,,,,,,,
PLAINVIEW ISD,4665,1,0,0,3,0,4,0,5,2,6,13,2,24,0
PLANO ISD,49432,1,2,5,2,0,6,4,6,4,19,16,0,21,24
PLEASANT GROVE ISD,2194,0,2,1,0,0,3,0,1,4,8,3,0,16,0
PLEASANTON ISD,3325,0,0,0,2,0,0,2,0,0,0,3,0,0,3
PLEMONS-STINNETT-PHILLIPS CISD,673,,,,,,,,0,1,7,1,0,9,0
POINT ISABEL ISD,1942,,,,,,,,0,0,0,1,0,1,0
PONDER ISD,1583,,,,,,,,0,0,1,0,0,1,0
POOLVILLE ISD,516,,,,,,,,,,,,,,
POR VIDA ACADEMY,129,,,,,,,,,,,,,,
PORT ARANSAS ISD,494,,,,,,,,0,0,0,2,0,2,0
PORT ARTHUR ISD,1658,,,,,,,,0,0,0,6,0,6,0
PORT NECHES-GROVES ISD,NR,0,1,1,1,0,3,0,0,2,3,2,0,7,0
POSITIVE SOLUTIONS CHARTER SCHOOL,85,,,,,,,,,,,,,,
POST ISD,794,,,,,,,,0,1,1,1,0,3,0
POTEET ISD,532,,,,,,,,2,0,10,2,0,14,0
POTH ISD,829,1,0,0,0,0,1,0,1,0,0,1,0,2,0
POTTSBORO ISD,1410,0,0,3,1,0,3,1,0,1,9,3,0,9,4
PRAIRIE LEA ISD,213,,,,,,,,,,,,,,
PRAIRIE VALLEY ISD,161,,,,,,,,,,,,,,
PRAIRILAND ISD,1035,0,1,2,0,1,0,2,1,2,3,3,2,0,7
PREMIER HIGH SCHOOLS,3734,0,0,1,2,1,1,1,0,0,3,5,2,3,3
PREMONT ISD,689,,,,,,,,0,0,0,1,0,1,0
PRESIDIO ISD,990,,,,,,,,0,0,1,0,0,1,0
PRIDDY ISD,115,,,,,,,,,,,,,,
PRINCETON ISD,5697,1,0,2,0,0,2,1,1,1,11,1,0,12,2
PRINGLE-MORSE CISD,111,,,,,,,,,,,,,,
PRIORITY CHARTER SCHOOLS,818,,,,,,,,,,,,,,
PROGRESO ISD,1453,,,,,,,,,,,,,,
PROMESA ACADEMY CHARTER SCHOOL,185,,,,,,,,,,,,,,
PROMESA PUBLIC SCHOOLS,997,,,,,,,,,,,,,,
PROMISE COMMUNITY SCHOOL,1538,,,,,,,,,,,,,,
PROSPER ISD,18706,1,3,2,2,0,4,4,7,7,12,9,0,14,21
QUANAH ISD,511,,,,,,,,,,,,,,
QUEEN CITY ISD,965,0,0,5,7,0,4,8,0,0,9,15,2,8,14
QUINLAN ISD,2439,1,0,0,0,0,1,0,2,1,3,2,0,6,2
QUITMAN ISD,1149,0,0,0,2,0,0,2,0,0,0,3,0,0,3
RAINS ISD,1711,,,,,,,,,,,,,,
RALLS ISD,455,,,,,,,,,,,,,,
RAMIREZ CSD,41,,,,,,,,,,,,,,
RANCH ACADEMY,60,,,,,,,,,,,,,,
RANDOLPH FIELD ISD,1409,,,,,,,,,,,,,,
RANGER ISD,347,0,0,0,1,0,1,0,0,0,0,2,0,2,0
RANKIN ISD,NR,,,,,,,,,,,,,,
RAPOPORT ACADEMY PUBLIC SCHOOL,492,,,,,,,,,,,,,,
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1330,,,,,,,,0,0,0,2,0,2,0
RAVEN SCHOOL,37,,,,,,,,,,,,,,
RAYMONDVILLE ISD,2005,,,,,,,,0,0,0,10,0,0,10
REAGAN COUNTY ISD,853,,,,,,,,,,,,,,
RED LICK ISD,NR,0,0,0,1,0,1,0,0,2,0,1,0,3,0
RED OAK ISD,5906,0,1,3,1,1,2,2,2,2,5,4,2,7,4
REDWATER ISD,1119,,,,,,,,0,0,2,0,0,2,0
REFUGIO ISD,NR,,,,,,,,,,,,,,
REVE PREPARATORY CHARTER SCHOOL,118,,,,,,,,,,,,,,
RICARDO ISD,658,,,,,,,,0,0,0,2,0,2,0
RICE CISD,1279,,,,,,,,0,2,0,0,0,1,1
RICE ISD,960,,,,,,,,0,0,1,0,0,0,1
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",1550,0,0,0,1,0,0,1,0,0,0,2,0,1,1
RICHARDS ISD,176,,,,,,,,,,,,,,
RICHARDSON ISD,33246,5,4,2,10,0,0,21,12,7,8,20,0,1,46
RICHLAND COLLEGIATE HIGH SCHOOL,506,,,,,,,,0,0,2,1,0,1,2
RICHLAND SPRINGS ISD,108,,,,,,,,,,,,,,
RIESEL ISD,625,,,,,,,,,,,,,,
RIO GRANDE CITY CISD,9922,,,,,,,,0,0,0,13,0,0,13
RIO HONDO ISD,1614,0,0,0,2,1,1,0,0,0,0,3,1,2,0
RIO VISTA ISD,781,,,,,,,,0,0,1,0,0,0,1
RISE ACADEMY,279,,,,,,,,0,0,0,1,0,1,0
RISING STAR ISD,85,,,,,,,,,,,,,,
RIVER ROAD ISD,1289,,,,,,,,1,1,2,4,0,1,7
RIVERCREST ISD,191,0,0,1,0,0,0,1,0,0,3,0,0,0,3
RIVIERA ISD,428,,,,,,,,,,,,,,
ROBERT LEE ISD,241,,,,,,,,0,0,1,0,0,1,0
ROBINSON ISD,2404,0,0,0,1,0,0,1,1,0,0,2,0,0,3
ROBSTOWN ISD,2358,,,,,,,,,,,,,,
ROBY CISD,304,,,,,,,,0,0,3,0,0,3,0
ROCHELLE ISD,195,,,,,,,,,,,,,,
ROCKDALE ISD,1449,,,,,,,,0,0,2,0,0,0,2
ROCKSPRINGS ISD,278,,,,,,,,,,,,,,
ROCKWALL ISD,NR,,,,,,,,1,2,7,4,0,14,0
ROGERS ISD,NR,,,,,,,,,,,,,,
ROMA ISD,6037,,,,,,,,,,,,,,
ROOSEVELT ISD,1016,0,0,0,1,0,1,0,0,0,1,2,0,3,0
ROPES ISD,481,,,,,,,,0,0,0,2,0,2,0
ROSCOE COLLEGIATE ISD,614,,,,,,,,0,0,1,0,0,0,1
ROSEBUD-LOTT ISD,678,,,,,,,,,,,,,,
ROTAN ISD,243,,,,,,,,0,0,1,0,0,1,0
ROUND ROCK ISD,46998,0,0,1,2,0,0,3,0,0,1,6,0,1,6
ROUND TOP-CARMINE ISD,240,0,0,1,0,0,0,1,0,0,2,0,0,1,1
ROYAL ISD,2452,,,,,,,,0,0,1,0,0,0,1
ROYSE CITY ISD,6750,,,,,,,,0,0,1,1,0,2,0
RULE ISD,137,,,,,,,,,,,,,,
RUNGE ISD,224,,,,,,,,,,,,,,
RUSK ISD,1919,,,,,,,,,,,,,,
S AND S CISD,975,,,,,,,,0,0,1,0,0,0,1
SABINAL ISD,416,,,,,,,,,,,,,,
SABINE ISD,450,0,0,0,1,0,0,1,0,1,0,3,0,1,3
SABINE PASS ISD,NR,,,,,,,,,,,,,,
SAINT JO ISD,145,,,,,,,,,,,,,,
SALADO ISD,2077,1,0,1,0,0,2,0,1,0,1,0,0,2,0
SALTILLO ISD,270,,,,,,,,1,0,0,0,1,0,0
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,380,,,,,,,,,,,,,,
SAM RAYBURN ISD,517,,,,,,,,,,,,,,
SAN ANGELO ISD,14002,0,0,4,0,0,2,2,2,0,9,5,0,6,10
SAN ANTONIO ISD,43212,1,0,0,1,0,2,0,1,0,0,16,1,16,0
SAN ANTONIO PREPARATORY CHARTER SCHOOL,210,,,,,,,,,,,,,,
SAN AUGUSTINE ISD,697,,,,,,,,,,,,,,
SAN BENITO CISD,8763,0,0,0,3,0,2,1,0,0,0,6,0,3,3
SAN DIEGO ISD,1438,,,,,,,,1,0,0,9,2,8,0
SAN ELIZARIO ISD,3131,0,0,0,1,0,0,1,0,0,0,2,0,0,2
SAN FELIPE-DEL RIO CISD,9511,,,,,,,,0,0,0,3,0,3,0
SAN ISIDRO ISD,404,,,,,,,,,,,,,,
SAN MARCOS CISD,7818,0,0,0,1,0,1,0,0,0,0,1,0,1,0
SAN PERLITA ISD,213,,,,,,,,,,,,,,
SAN SABA ISD,731,,,,,,,,,,,,,,
SAN VICENTE ISD,5,,,,,,,,,,,,,,
SANDS CISD,247,,,,,,,,,,,,,,
SANFORD-FRITCH ISD,665,,,,,,,,0,0,2,0,0,2,0
SANGER ISD,2495,0,0,0,1,0,1,0,0,0,1,2,0,3,0
SANTA ANNA ISD,263,0,0,1,0,0,1,0,0,1,3,0,0,4,0
SANTA FE ISD,4270,0,0,2,0,1,0,1,0,0,5,1,3,1,2
SANTA GERTRUDIS ISD,783,0,0,1,0,0,1,0,0,0,2,0,0,2,0
SANTA MARIA ISD,NR,,,,,,,,,,,,,,
SANTA ROSA ISD,936,,,,,,,,,,,,,,
SANTO ISD,458,,,,,,,,,,,,,,
SAVOY ISD,171,,,,,,,,0,0,0,1,0,1,0
SCHERTZ-CIBOLO-U CITY ISD,14759,0,1,1,1,0,3,0,0,1,1,14,0,16,0
SCHLEICHER ISD,481,,,,,,,,,,,,,,
SCHOOL OF EXCELLENCE IN EDUCATION,120,,,,,,,,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY,3458,,,,,,,,,,,,,,
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY (LEA: 015831),3085,,,,,,,,,,,,,,
SCHULENBURG ISD,681,,,,,,,,,,,,,,
SCURRY-ROSSER ISD,1068,,,,,,,,,,,,,,
SEAGRAVES ISD,510,,,,,,,,,,,,,,
SEALY ISD,2697,0,0,2,0,0,0,2,0,0,3,2,0,1,4
SEASHORE CHARTER SCHOOLS,499,,,,,,,,,,,,,,
SEGUIN ISD,6578,,,,,,,,0,0,0,3,0,2,1
SEMINOLE ISD,2861,0,0,0,1,0,1,0,0,1,3,2,0,3,3
SER-NINOS CHARTER SCHOOL,565,,,,,,,,0,0,0,2,0,2,0
SEYMOUR ISD,589,,,,,,,,,,,,,,
SHALLOWATER ISD,1728,0,0,3,2,0,2,3,0,0,9,5,0,9,5
SHAMROCK ISD,189,,,,,,,,,,,,,,
SHARYLAND ISD,9519,,,,,,,,0,0,0,3,0,2,1
SHELBYVILLE ISD,760,0,0,0,1,0,0,1,0,0,2,1,0,1,2
SHELDON ISD,10080,0,0,0,3,0,1,2,0,0,0,4,0,1,3
SHEPHERD ISD,1780,,,,,,,,,,,,,,
SHERMAN ISD,2245,0,0,0,1,0,1,0,0,2,9,7,6,7,5
SHINER ISD,570,0,0,1,0,0,0,1,0,0,2,0,0,0,2
SIDNEY ISD,147,,,,,,,,,,,,,,
SIERRA BLANCA ISD,117,,,,,,,,,,,,,,
SILSBEE ISD,2676,,,,,,,,,,,,,,
SILVERTON ISD,179,,,,,,,,,,,,,,
SIMMS ISD,157,0,0,0,1,0,1,0,0,0,1,2,0,2,1
SINTON ISD,2082,1,0,0,0,0,1,0,1,0,0,0,0,1,0
SIVELLS BEND ISD,50,,,,,,,,,,,,,,
SKIDMORE-TYNAN ISD,252,,,,,,,,0,0,1,0,0,0,1
SLATON ISD,1313,0,0,5,0,0,5,0,0,1,22,4,6,20,1
SLIDELL ISD,335,0,0,1,0,0,0,1,0,0,1,0,0,0,1
SLOCUM ISD,380,,,,,,,,,,,,,,
SMITHVILLE ISD,1722,,,,,,,,0,0,0,1,0,1,0
SMYER ISD,417,,,,,,,,0,0,0,1,0,1,0
SNOOK ISD,500,,,,,,,,0,0,2,1,1,0,2
SNYDER ISD,2578,0,1,1,4,0,2,4,0,2,2,6,0,2,8
SOCORRO ISD,46630,0,0,3,8,0,10,1,0,0,3,16,0,19,1
SOMERSET ISD,3841,,,,,,,,0,0,0,1,0,1,0
SOMERVILLE ISD,516,,,,,,,,,,,,,,
SONORA ISD,696,0,0,1,0,0,1,0,0,0,1,0,0,1,0
SOUTH SAN ANTONIO ISD,6707,,,,,,,,0,0,0,3,0,2,1
SOUTH TEXAS ISD,4281,,,,,,,,0,0,0,2,0,2,0
SOUTHLAND ISD,120,,,,,,,,,,,,,,
SOUTHSIDE ISD,5428,0,0,0,1,0,1,0,0,0,0,3,1,2,0
SOUTHWEST ISD,13207,0,0,0,1,0,0,1,0,0,0,6,0,3,3
SOUTHWEST PREPARATORY SCHOOL,773,,,,,,,,,,,,,,
SOUTHWEST SCHOOL,355,,,,,,,,,,,,,,
SPEARMAN ISD,799,,,,,,,,,,,,,,
SPLENDORA ISD,4002,1,0,0,0,0,1,0,2,1,7,3,0,10,3
SPRING BRANCH ISD,32664,3,2,4,2,0,9,2,5,2,11,10,1,21,7
SPRING CREEK ISD,105,,,,,,,,,,,,,,
SPRING HILL ISD,1927,,,,,,,,0,2,5,3,0,0,10
SPRING ISD,34565,1,0,0,4,0,5,0,1,0,0,12,0,10,3
SPRINGLAKE-EARTH ISD,181,,,,,,,,0,0,1,0,0,0,1
SPRINGTOWN ISD,3546,1,0,1,1,0,1,2,4,0,5,1,0,5,5
SPUR ISD,NR,0,1,0,0,0,1,0,0,5,16,5,5,9,12
SPURGER ISD,328,,,,,,,,0,0,0,1,0,1,0
ST ANTHONY SCHOOL,338,,,,,,,,,,,,,,
"ST MARY'S ACADEMY CHARTER
SCHOOL",399,,,,,,,,0,0,0,2,0,1,1
STAFFORD MSD,3052,,,,,,,,,,,,,,
STAMFORD ISD,596,1,0,0,1,0,1,1,1,0,2,3,0,5,1
STANTON ISD,1054,,,,,,,,,,,,,,
STEP CHARTER SCHOOL,NR,,,,,,,,,,,,,,
"STEPHEN F AUSTIN STATE
UNIVERSITY CHARTER SCHOOL",255,,,,,,,,3,2,0,1,0,4,2
STEPHENVILLE ISD,3626,3,0,6,1,0,5,5,7,1,18,10,0,7,29
STERLING CITY ISD,325,,,,,,,,,,,,,,
STOCKDALE ISD,759,,,,,,,,,,,,,,
STRATFORD ISD,550,0,0,1,0,0,1,0,0,0,1,0,0,1,0
STRAWN ISD,NR,,,,,,,,,,,,,,
SUDAN ISD,477,,,,,,,,0,0,1,0,0,0,1
SULPHUR BLUFF ISD,225,,,,,,,,1,2,3,1,1,1,5
SULPHUR SPRINGS ISD,4294,2,0,3,2,0,0,7,4,1,8,8,0,1,20
SUNDOWN ISD,551,0,1,0,0,0,1,0,1,2,0,0,0,3,0
SUNNYVALE ISD,1994,0,1,0,1,0,1,1,1,1,0,2,0,2,2
SUNRAY ISD,590,,,,,,,,,,,,,,
SWEENY ISD,1917,,,,,,,,0,0,1,1,0,2,0
SWEET HOME ISD,141,,,,,,,,,,,,,,
SWEETWATER ISD,2034,0,0,3,1,0,1,3,1,0,11,5,2,3,12
TAFT ISD,897,,,,,,,,,,,,,,
TAHOKA ISD,302,,,,,,,,,,,,,,
TARKINGTON ISD,1539,,,,,,,,,,,,,,
TATUM ISD,1508,0,0,2,1,0,0,3,1,0,4,5,0,0,10
TAYLOR ISD,2778,,,,,,,,,,,,,,
TEAGUE ISD,1115,,,,,,,,0,0,3,0,0,2,1
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,333,,,,,,,,,,,,,,
TEMPLE ISD,8126,0,1,1,0,0,2,0,0,1,1,0,0,2,0
TENAHA ISD,NR,,,,,,,,2,0,0,4,0,4,2
TERLINGUA CSD,101,1,0,0,0,1,0,0,1,1,1,0,3,0,0
TERRELL COUNTY ISD,119,,,,,,,,,,,,,,
TERRELL ISD,4678,,,,,,,,0,0,2,2,0,4,0
TEXANS CAN ACADEMIES,193,0,0,0,1,0,1,0,0,0,1,2,0,2,1
TEXARKANA ISD,6714,0,2,3,4,0,0,9,6,9,19,26,0,0,60
TEXAS A&M INTERNATIONAL UNIVERSITY ISD,NR,,,,,,,,,,,,,,
TEXAS ACADEMY OF LEADERSHIP IN THE HUMANITIES,NR,,,,,,,,,,,,,,
TEXAS CITY ISD,7958,0,0,1,0,0,1,0,0,0,1,4,1,2,2
"TEXAS COLLEGE PREPARATORY
ACADEMIES",13241,0,1,0,2,0,2,2,0,2,1,9,1,9,3
TEXAS EMPOWERMENT ACADEMY,336,,,,,,,,,,,,,,
"TEXAS JUVENILE JUSTICE
DEPARTMENT",621,0,0,0,1,0,0,1,0,0,7,5,0,0,12
TEXAS LEADERSHIP PUBLIC SCHOOLS,2867,,,,,,,,1,0,2,1,0,4,0
TEXAS PREPARATORY SCHOOL,150,,,,,,,,,,,,,,
TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,126,,,,,,,,,,,,,,
TEXAS SCH FOR THE DEAF,495,,,,,,,,,,,,,,
TEXAS SCHOOL OF THE ARTS,327,,,,,,,,,,,,,,
TEXAS SERENITY ACADEMY,NR,,,,,,,,,,,,,,
TEXAS TECH UNIVERSITY K-12,NR,,,,,,,,,,,,,,
TEXHOMA ISD,108,,,,,,,,,,,,,,
TEXLINE ISD,188,,,,,,,,,,,,,,
THE EXCEL CENTER (FOR ADULTS),490,0,0,1,0,0,1,0,0,0,1,0,0,1,0
THE GATHERING PLACE,355,,,,,,,,,,,,,,
THE LAWSON ACADEMY,184,,,,,,,,,,,,,,
THE PRO-VISION ACADEMY,407,,,,,,,,,,,,,,
THE RHODES SCHOOL,NR,,,,,,,,0,0,0,1,0,1,0
THE VARNETT PUBLIC SCHOOL,1139,,,,,,,,,,,,,,
THORNDALE ISD,219,,,,,,,,,,,,,,
THRALL ISD,765,0,0,0,0,0,2,0,0,0,0,3,0,3,2
THREE RIVERS ISD,586,,,,,,,,1,0,0,1,0,1,2
THREE WAY ISD,NR,,,,,,,,0,1,5,1,0,2,5
THROCKMORTON COLLEGIATE ISD,141,,,,,,,,,,,,,,
TIDEHAVEN ISD,254,0,1,0,1,0,0,2,0,1,1,1,1,0,2
TIMPSON ISD,NR,0,0,2,1,0,0,3,2,1,6,4,0,0,14
TIOGA ISD,NR,0,0,1,0,0,1,0,0,0,2,2,0,4,0
TOLAR ISD,804,,,,,,,,,,,,,,
TOM BEAN ISD,NR,,,,,,,,0,1,2,0,0,3,0
TOMBALL ISD,NR,0,0,5,0,0,5,0,0,0,8,3,0,11,0
TORNILLO ISD,18667,,,,,,,,0,0,0,1,0,1,0
TREETOPS SCHOOL INTERNATIONAL,869,,,,,,,,,,,,,,
TRENT ISD,396,,,,,,,,0,1,0,0,0,1,0
TRENTON ISD,NR,0,0,0,2,0,0,2,0,0,6,3,1,1,7
TRINIDAD ISD,710,,,,,,,,0,0,1,0,0,0,1
TRINITY BASIN PREPARATORY,153,1,0,0,3,0,1,3,1,0,0,9,0,2,8
TRINITY CHARTER SCHOOL,3873,,,,,,,,,,,,,,
TRINITY ISD,387,,,,,,,,,,,,,,
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,1182,,,,,,,,,,,,,,
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,137,,,,,,,,,,,,,,
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,191,,,,,,,,,,,,,,
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,159,,,,,,,,,,,,,,
TRIVIUM ACADEMY,422,,,,,,,,0,1,0,0,0,0,1
TROUP ISD,615,0,0,1,0,0,0,1,0,0,2,1,0,1,2
TROY ISD,482,,,,,,,,,,,,,,
TULIA ISD,NR,,,,,,,,2,0,4,0,0,6,0
TULOSO-MIDWAY ISD,936,,,,,,,,0,0,1,1,0,2,0
TURKEY-QUITAQUE ISD,3773,,,,,,,,,,,,,,
TWO DIMENSIONS PREPARATORY ACADEMY,193,,,,,,,,,,,,,,
TYLER ISD,370,2,3,3,1,1,1,7,12,10,15,21,1,24,33
UME PREPARATORY ACADEMY,17352,1,0,0,0,0,0,1,1,0,0,0,0,0,1
UNION GROVE ISD,1269,0,0,4,0,0,1,3,0,0,10,3,0,1,12
UNION HILL ISD,713,,,,,,,,,,,,,,
UNITED ISD,321,1,0,1,2,0,2,2,1,0,1,31,1,19,13
UNIVERSAL ACADEMY,41883,,,,,,,,,,,,,,
UNIVERSITY OF HOUSTON CHARTER SCHOOL,2419,,,,,,,,,,,,,,
UNIVERSITY OF NORTH TEXAS,89,,,,,,,,,,,,,,
UNIVERSITY OF TEXAS AT AUSTIN H S,354,,,,,,,,,,,,,,
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,280,,,,,,,,,,,,,,
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,282,,,,,,,,,,,,,,
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,495,0,0,4,0,1,3,0,0,0,12,0,9,3,9
UPLIFT EDUCATION,21256,0,0,2,0,0,2,3,2,2,3,1,0,4,10
