Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
DECATUR ISD,'249905,3430,3046,,,,,,,,4,0,12,4,0,13,7
DEER PARK ISD,'101908,12329,9415,3,1,12,10,0,7,19,13,11,51,24,0,22,77
DEKALB ISD,'019901,755,732,,,,,,,,0,2,13,14,1,7,21
DEL VALLE ISD,'227910,10681,4745,0,2,2,12,0,16,0,1,2,7,21,0,26,5
DELL CITY ISD,'115903,71,0,,,,,,,,*,*,*,*,*,*,*
DENISON ISD,'091903,4598,3882,1,3,3,4,0,0,11,5,11,19,23,0,5,53
DENTON ISD,'061901,30279,21842,4,10,46,26,0,62,24,38,32,158,100,0,220,108
DENVER CITY ISD,'251901,1637,1517,1,2,11,10,2,20,2,6,8,49,25,9,73,6
DESOTO ISD,'057906,7904,808,,,,,,,,0,0,8,8,0,1,15
DETROIT ISD,'194905,514,488,0,0,0,2,0,0,2,0,0,1,4,0,3,2
DEVERS ISD,'146903,205,205,,,,,,,,0,0,0,1,0,1,0
DEVINE ISD,'163901,1952,1413,0,0,1,0,0,1,0,1,0,3,0,0,4,0
DEW ISD,'081906,164,164,,,,,,,,,,,,,,
DEWEYVILLE ISD,'176903,531,514,,,,,,,,,,,,,,
DIBOLL ISD,'003905,1675,1524,0,0,7,4,0,6,5,2,1,12,8,0,8,15
DICKINSON ISD,'084901,11634,9058,0,1,7,8,1,7,8,15,16,52,23,1,37,68
DILLEY ISD,'082902,938,551,,,,,,,,0,0,0,3,0,1,2
DIME BOX ISD,'144903,165,136,0,0,0,1,0,1,0,0,1,0,1,0,2,0
DIMMITT ISD,'035901,1178,1136,0,0,4,8,0,0,12,2,2,34,23,0,2,59
DIVIDE ISD,'133905,22,22,,,,,,,,,,,,,,
DODD CITY ISD,'074904,337,320,,,,,,,,0,1,0,1,0,2,0
DONNA ISD,'108902,13856,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DOSS CONSOLIDATED CSD,'086024,18,16,,,,,,,,,,,,,,
DOUGLASS ISD,'174911,457,438,,,,,,,,0,1,3,2,0,5,1
"DR M L GARZA-GONZALEZ
CHARTER SCHOOL",'178801,221,106,,,,,,,,2,0,0,0,0,2,0
DRAW ACADEMY,'101856,709,35,,,,,,,,*,*,*,*,*,*,*
DRIPPING SPRINGS ISD,'105904,7290,5238,0,0,3,3,0,1,5,4,5,19,5,2,18,13
DRISCOLL ISD,'178905,304,212,,,,,,,,0,0,0,5,0,5,0
DUBLIN ISD,'072902,1094,1094,,,,,,,,0,3,24,9,0,36,0
DUMAS ISD,'171901,4156,3941,,,,,,,,3,3,29,23,0,58,0
DUNCANVILLE ISD,'057907,11773,4021,1,2,5,9,1,16,0,6,3,14,75,11,86,1
EAGLE MT-SAGINAW ISD,'220918,21327,14614,10,15,37,22,8,0,76,46,51,158,86,33,78,230
EAGLE PASS ISD,'159901,14002,735,2,0,1,4,0,0,7,6,4,4,37,0,12,39
EANES ISD,'227909,7962,4566,0,1,10,0,0,0,11,2,4,71,9,1,16,69
EARLY ISD,'025909,1141,1132,0,1,1,1,0,0,3,1,1,5,4,0,4,7
EAST BERNARD ISD,'241902,920,918,,,,,,,,0,0,1,0,0,1,0
EAST CENTRAL ISD,'015911,9763,4817,1,0,3,1,0,5,0,5,6,17,17,0,38,7
EAST CHAMBERS ISD,'036903,1517,1273,0,0,0,3,2,1,0,5,3,9,17,10,8,16
"EAST FORT WORTH
MONTESSORI ACADEMY",'220811,193,112,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"EAST TEXAS CHARTER
SCHOOLS",'092801,138,133,,,,,,,,,,,,,,
EASTLAND ISD,'067903,1072,1015,,,,,,,,0,0,5,3,2,0,6
ECTOR COUNTY ISD,'068901,31970,18228,15,13,43,56,10,38,79,82,54,180,235,40,280,231
ECTOR ISD,'074905,272,254,,,,,,,,,,,,,,
EDCOUCH-ELSA ISD,'108903,4540,207,0,0,0,8,3,5,0,1,1,3,18,9,14,0
EDEN CISD,'048901,233,210,0,1,3,4,0,0,8,0,1,3,8,0,1,11
EDGEWOOD ISD,'015905,7397,2247,0,1,1,8,0,0,10,2,2,4,32,0,5,35
EDGEWOOD ISD,'234903,962,903,0,0,1,0,0,0,1,0,0,2,12,0,8,6
EDINBURG CISD,'108904,32840,338,5,1,0,16,4,12,6,9,1,14,46,13,41,16
EDNA ISD,'120901,1488,1484,,,,,,,,1,0,1,0,0,2,0
"EDUCATION CENTER
INTERNATIONAL ACADEMY",'057833,543,398,,,,,,,,,,,,,,
EHRHART SCHOOL,'123805,484,484,0,1,0,0,0,1,0,1,2,1,0,0,3,1
EL CAMPO ISD,'241903,3534,3033,0,0,1,2,0,2,1,3,10,15,13,0,19,22
EL PASO ACADEMY,'071804,322,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*
EL PASO ISD,'071902,50705,18,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"EL PASO LEADERSHIP
ACADEMY",'071810,206,0,,,,,,,,*,*,*,*,*,*,*
"ELEANOR KOLITZ HEBREW
LANGUAGE ACADEMY",'015836,466,245,0,0,0,1,0,1,0,0,0,0,1,0,1,0
ELECTRA ISD,'243902,440,251,0,0,2,2,0,2,2,5,0,12,7,0,7,17
"ELEVATE COLLEGIATE
CHARTER SCHOOL",'101877,NR,NR,,,,,,,,,,,,,,
ELGIN ISD,'011902,4640,2317,0,1,2,1,0,0,4,1,1,3,6,0,0,11
ELKHART ISD,'001903,1200,1092,,,,,,,,1,2,6,16,0,3,22
ELYSIAN FIELDS ISD,'102906,847,838,0,0,0,2,0,1,1,0,0,1,8,0,5,4
ENNIS ISD,'070903,5846,4390,2,2,9,4,0,16,1,8,11,50,29,3,90,5
ERA ISD,'049906,471,333,,,,,,,,0,2,11,4,3,5,9
ERATH EXCELS ACADEMY INC,'072802,125,71,,,,,,,,,,,,,,
"ETOILE ACADEMY CHARTER
SCHOOL",'101872,215,112,,,,,,,,,,,,,,
ETOILE ISD,'174910,91,84,,,,,,,,,,,,,,
EULA ISD,'030906,459,448,,,,,,,,,,,,,,
EUSTACE ISD,'107905,1595,1408,1,0,6,2,0,0,9,4,6,27,18,0,1,54
EVADALE ISD,'121906,389,388,1,0,0,0,0,1,0,1,0,18,7,0,3,23
EVANT ISD,'050901,273,207,1,0,0,0,0,1,0,1,0,3,1,0,2,3
EVERMAN ISD,'220904,5619,1272,1,0,1,6,2,5,1,7,4,7,37,15,29,11
"EVOLUTION ACADEMY
CHARTER SCHOOL",'057834,670,92,,,,,,,,,,,,,,
EXCEL ACADEMY,'101811,215,214,,,,,,,,0,0,8,0,2,5,1
"EXCELLENCE IN LEADERSHIP
ACADEMY",'108809,300,104,1,1,0,2,2,2,0,1,1,0,2,2,2,0
EXCELSIOR ISD,'210906,71,61,,,,,,,,,,,,,,
EZZELL ISD,'143906,77,76,,,,,,,,0,0,0,1,0,1,0
FABENS ISD,'071903,2048,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
FAIRFIELD ISD,'081902,1701,1526,0,2,3,0,0,0,5,1,4,12,5,1,5,16
FALLS CITY ISD,'128904,24,24,,,,,,,,*,*,*,*,*,*,*
FANNINDEL ISD,'060914,159,149,,,,,,,,0,0,1,2,0,0,3
FARMERSVILLE ISD,'043904,1882,1601,1,0,3,2,0,6,0,1,3,7,4,0,15,0
FARWELL ISD,'185902,548,524,0,3,8,0,0,11,0,1,3,12,4,0,20,0
FAYETTEVILLE ISD,'075906,275,275,,,,,,,,,,,,,,
FERRIS ISD,'070905,2586,1732,0,0,1,1,0,0,2,0,4,14,19,0,6,31
FLATONIA ISD,'075901,602,575,1,0,1,0,0,0,2,1,4,3,2,0,2,8
FLORENCE ISD,'246902,1074,914,0,1,2,2,0,5,0,1,1,6,5,0,12,1
FLORESVILLE ISD,'247901,3993,2786,,,,,,,,4,0,3,10,0,12,5
FLOUR BLUFF ISD,'178914,5551,2874,2,1,8,0,0,5,6,4,3,23,6,1,13,22
FLOYDADA ISD,'077901,705,625,2,0,4,0,0,6,0,5,1,12,8,0,20,6
FOLLETT ISD,'148902,170,164,,,,,,,,0,0,0,1,0,1,0
FORESTBURG ISD,'169910,163,153,,,,,,,,0,1,0,0,0,0,1
FORNEY ISD,'129902,12760,6196,3,4,14,12,0,27,6,10,17,26,31,0,66,18
FORSAN ISD,'114904,777,765,1,3,6,4,0,14,0,3,5,13,9,2,28,0
FORT BEND ISD,'079907,76677,28525,3,4,22,8,0,3,34,28,21,106,82,8,51,178
FORT ELLIOTT CISD,'242906,144,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
FORT STOCKTON ISD,'186902,2294,1563,0,0,3,1,1,3,0,2,1,15,14,2,30,0
"FORT WORTH ACADEMY OF
FINE ARTS",'220809,630,378,,,,,,,,0,0,1,0,0,1,0
FORT WORTH ISD,'220905,77276,33320,29,22,46,81,137,41,0,101,87,166,329,407,263,13
FRANKLIN ISD,'198903,1258,1193,,,,,,,,1,1,17,6,0,25,0
FRANKSTON ISD,'001904,836,768,0,2,6,3,4,0,7,1,3,11,4,4,6,9
FREDERICKSBURG ISD,'086901,3107,2818,2,2,23,10,0,3,34,8,12,56,24,2,11,87
FREER ISD,'066903,766,548,,,,,,,,0,0,1,2,0,2,1
FRENSHIP ISD,'152907,10366,9366,4,5,24,18,0,0,51,38,56,154,122,2,33,335
FRIENDSWOOD ISD,'084911,6118,5320,,,,,,,,1,3,3,8,1,10,4
FRIONA ISD,'185903,1080,1041,,,,,,,,2,5,12,18,1,4,32
FRISCO ISD,'043905,63505,33645,12,13,65,14,0,0,104,57,61,246,111,0,0,475
FROST ISD,'175905,427,375,1,0,0,0,0,1,0,2,0,2,3,0,5,2
FRUITVALE ISD,'234909,430,424,0,0,6,1,3,4,0,0,2,9,5,7,9,0
FT DAVIS ISD,'122901,198,198,,,,,,,,0,3,0,1,0,4,0
FT HANCOCK ISD,'115901,410,65,,,,,,,,0,0,2,15,0,4,13
FT SAM HOUSTON ISD,'015914,1491,1138,0,0,0,1,0,0,1,0,0,0,2,0,1,1
GAINESVILLE ISD,'049901,3057,2602,1,1,0,4,0,1,5,16,14,28,35,0,55,38
GALENA PARK ISD,'101910,21919,10854,1,1,3,12,0,17,0,14,10,20,47,1,90,0
GALVESTON ISD,'084902,6700,3405,0,0,4,4,0,5,3,4,5,18,23,0,15,35
GANADO ISD,'120902,714,714,,,,,,,,,,,,,,
GARLAND ISD,'057909,54097,26793,17,24,62,36,4,135,0,114,99,333,174,53,667,0
GARNER ISD,'184911,216,209,,,,,,,,0,0,1,1,0,1,1
GARRISON ISD,'174903,682,624,,,,,,,,0,1,10,4,0,2,13
GARY ISD,'183904,469,444,,,,,,,,0,0,1,0,0,1,0
GATESVILLE ISD,'050902,2790,2294,0,2,17,2,13,4,4,5,5,29,15,14,19,21
GATEWAY CHARTER ACADEMY,'057831,782,448,,,,,,,,,,,,,,
GAUSE ISD,'166902,149,130,,,,,,,,0,0,1,0,0,1,0
GEORGE GERVIN ACADEMY,'015802,867,224,,,,,,,,1,0,0,0,0,1,0
GEORGE I SANCHEZ CHARTER,'101804,987,795,0,1,0,0,0,1,0,0,1,1,0,0,2,0
GEORGE WEST ISD,'149901,1030,1015,,,,,,,,0,0,3,0,0,0,3
GEORGETOWN ISD,'246904,11871,7799,3,5,11,4,0,20,3,12,11,48,31,13,72,17
GHOLSON ISD,'161925,218,204,,,,,,,,1,0,3,2,0,3,3
GIDDINGS ISD,'144901,1913,1617,1,3,10,2,0,0,16,7,6,19,6,0,0,38
GILMER ISD,'230902,2502,2502,,,,,,,,5,2,34,15,14,16,26
GLADEWATER ISD,'092901,1753,1469,,,,,,,,2,3,4,11,2,3,15
GLASSCOCK COUNTY ISD,'087901,293,263,0,0,1,0,0,0,1,0,0,7,9,0,10,6
GLEN ROSE ISD,'213901,1920,1829,2,3,12,3,0,8,12,8,8,28,18,1,38,23
GODLEY ISD,'126911,2421,2263,0,1,7,7,2,8,5,2,2,15,13,4,18,10
GOLD BURG ISD,'169906,133,129,,,,,,,,,,,,,,
"GOLDEN RULE CHARTER
SCHOOL",'057835,1502,816,6,1,0,1,3,5,0,11,1,0,2,3,10,1
GOLDTHWAITE ISD,'167901,515,510,0,2,0,0,0,2,0,2,2,5,2,2,9,0
GOLIAD ISD,'088902,1272,1223,,,,,,,,,,,,,,
GONZALES ISD,'089901,2652,2560,0,1,0,1,0,2,0,0,2,10,5,0,15,2
GOODRICH ISD,'187903,254,238,,,,,,,,0,0,0,1,0,1,0
"GOODWATER MONTESSORI
SCHOOL",'246802,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GOOSE CREEK CISD,'101911,23287,14818,3,2,11,16,0,32,0,15,14,62,78,7,161,1
GORDON ISD,'182901,206,202,,,,,,,,0,0,1,1,0,0,2
GORMAN ISD,'067904,276,252,,,,,,,,,,,,,,
GRADY ISD,'156905,226,226,3,2,2,1,0,8,0,3,2,2,2,0,8,1
GRAFORD ISD,'182902,317,261,,,,,,,,0,0,0,1,0,1,0
GRAHAM ISD,'252901,2284,2155,,,,,,,,3,8,66,20,0,1,96
GRANBURY ISD,'111901,7471,6215,2,4,7,8,0,4,17,11,11,57,37,0,36,80
GRAND PRAIRIE ISD,'057910,27935,13287,10,10,29,27,0,73,3,43,30,105,134,3,304,5
GRAND SALINE ISD,'234904,1107,1065,2,2,4,7,0,0,15,5,6,19,32,1,7,54
GRANDFALLS-ROYALTY ISD,'238904,166,166,0,0,1,2,0,0,3,0,0,2,4,0,2,4
GRANDVIEW ISD,'126904,1339,1269,,,,,,,,1,0,11,4,1,0,15
GRANDVIEW-HOPKINS ISD,'090905,38,38,,,,,,,,,,,,,,
GRANGER ISD,'246905,449,377,,,,,,,,0,0,0,2,1,0,1
GRAPE CREEK ISD,'226907,1105,971,1,0,0,0,0,1,0,2,0,3,0,0,4,1
GRAPELAND ISD,'113902,605,590,0,1,2,0,0,1,2,2,2,5,6,0,6,9
GRAPEVINE-COLLEYVILLE ISD,'220906,13910,7354,8,11,39,11,13,12,44,37,40,115,50,31,80,131
GREAT HEARTS TEXAS,'015835,6637,4211,0,1,3,1,0,4,1,7,9,20,11,8,14,25
GREENVILLE ISD,'116905,5228,2726,6,5,4,7,0,9,13,13,12,28,56,19,36,54
GREENWOOD ISD,'165902,2848,1951,1,0,3,7,0,3,8,3,6,40,27,0,26,50
GREGORY-PORTLAND ISD,'205902,4713,2913,2,0,4,2,0,5,3,3,3,10,15,0,12,19
GROESBECK ISD,'147902,1505,1275,0,1,1,1,0,3,0,3,5,7,9,2,22,0
GROOM ISD,'033901,137,0,,,,,,,,*,*,*,*,*,*,*
GROVETON ISD,'228901,726,712,,,,,,,,0,0,0,3,0,3,0
GRUVER ISD,'098901,439,435,,,,,,,,0,0,0,1,0,1,0
GUNTER ISD,'091917,1024,928,0,0,4,2,0,4,2,6,4,30,8,1,21,26
GUSTINE ISD,'047903,147,145,,,,,,,,0,1,1,3,0,2,3
GUTHRIE CSD,'135001,127,127,,,,,,,,,,,,,,
HALE CENTER ISD,'095903,617,485,2,1,12,3,0,2,16,3,3,33,18,0,28,29
HALLETTSVILLE ISD,'143901,1121,1071,2,0,2,1,0,1,4,5,1,10,10,0,3,23
HALLSBURG ISD,'161924,164,163,0,1,0,1,0,2,0,0,1,0,2,0,3,0
HALLSVILLE ISD,'102904,4817,4521,,,,,,,,3,3,28,26,2,7,51
HAMILTON ISD,'097902,794,760,,,,,,,,1,1,3,1,0,5,1
HAMLIN COLLEGIATE ISD,'127903,441,431,,,,,,,,0,0,1,2,0,2,1
HAMSHIRE-FANNETT ISD,'123914,1849,1492,0,0,2,1,0,0,3,4,0,18,16,5,10,23
HAPPY ISD,'219901,269,253,0,0,3,1,0,2,2,2,0,8,3,0,8,5
HARDIN ISD,'146904,1213,1203,0,0,3,0,1,2,0,1,4,9,9,2,21,0
HARDIN-JEFFERSON ISD,'100905,2475,2231,1,0,4,1,1,4,1,1,1,24,5,6,16,9
HARLANDALE ISD,'015904,12459,1097,0,0,2,4,0,6,0,1,5,21,25,4,47,1
HARLETON ISD,'102905,715,682,1,0,1,2,0,1,3,3,0,6,2,0,5,6
HARLINGEN CISD,'031903,17883,4070,5,1,3,6,2,13,0,6,3,14,23,2,42,2
HARMONY ISD,'230905,1024,1011,0,0,2,0,0,1,1,2,0,4,7,0,11,2
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5999,1428,0,0,0,1,0,1,0,2,1,2,5,2,8,0
"HARMONY SCHOOL OF SCIENCE
- HOUSTON",'101862,3986,691,0,0,0,1,0,1,0,0,0,1,4,1,4,0
"HARMONY SCIENCE ACAD (EL
PASO)",'071806,4144,522,1,0,0,1,0,2,0,8,6,8,41,5,58,0
"HARMONY SCIENCE ACAD (SAN
ANTONIO)",'015828,4440,486,,,,,,,,1,3,7,7,1,17,0
"HARMONY SCIENCE ACAD
(WACO)",'161807,10083,2063,5,1,2,5,0,13,0,11,5,19,25,5,55,0
HARMONY SCIENCE ACADEMY,'101846,3669,433,,,,,,,,2,1,2,10,3,12,0
"HARMONY SCIENCE ACADEMY
(AUSTIN)",'227816,4522,652,,,,,,,,1,0,1,3,0,5,0
HARPER ISD,'086902,577,539,,,,,,,,0,0,0,1,0,0,1
HARRIS COUNTY DEPT OF ED,'101000,NR,NR,,,,,,,,,,,,,,
HARROLD ISD,'244901,107,107,,,,,,,,2,0,0,1,0,3,0
HART ISD,'035902,209,0,,,,,,,,*,*,*,*,*,*,*
HARTLEY ISD,'103902,230,228,,,,,,,,,,,,,,
HARTS BLUFF ISD,'225907,697,650,,,,,,,,5,3,0,4,0,2,10
HASKELL CISD,'104901,550,524,,,,,,,,,,,,,,
HAWKINS ISD,'250902,655,650,0,0,2,3,0,0,5,0,0,2,6,0,3,5
HAWLEY ISD,'127904,794,731,1,0,4,1,0,1,5,1,1,27,11,2,7,31
HAYS CISD,'105906,20331,9844,3,0,9,10,3,14,5,6,5,34,27,4,40,28
HEARNE ISD,'198905,727,427,,,,,,,,1,0,0,7,1,7,0
HEDLEY ISD,'065902,112,105,,,,,,,,0,0,1,1,0,0,2
HEMPHILL ISD,'202903,880,764,,,,,,,,1,2,12,10,0,3,22
HEMPSTEAD ISD,'237902,1511,1068,,,,,,,,1,0,12,13,2,14,10
HENDERSON ISD,'201902,3345,2895,0,0,1,0,0,0,1,8,7,79,36,8,23,99
HENRIETTA ISD,'039902,911,841,0,0,6,3,1,4,4,0,4,15,6,2,7,16
"HENRY FORD ACADEMY
ALAMEDA SCHOOL FOR ART +
DESIGN",'015833,102,0,,,,,,,,,,,,,,
HEREFORD ISD,'059901,3878,3864,4,4,15,16,0,39,0,16,12,60,88,0,176,0
HERITAGE ACADEMY,'015815,627,196,0,0,0,1,0,1,0,0,0,0,1,0,1,0
HERMLEIGH ISD,'208901,263,244,,,,,,,,0,0,0,2,0,0,2
HICO ISD,'097903,573,533,0,0,0,1,0,1,0,0,1,2,2,0,5,0
HIDALGO ISD,'108905,2992,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HIGH ISLAND ISD,'084903,182,155,,,,,,,,0,2,0,3,0,0,5
HIGH POINT ACADEMY,'220819,1589,1076,1,0,1,0,0,1,1,2,0,3,2,0,3,4
HIGHLAND ISD,'177905,218,216,,,,,,,,0,0,8,2,0,4,6
HIGHLAND PARK ISD,'057911,6648,5160,,,,,,,,5,5,51,8,4,60,5
HIGHLAND PARK ISD,'188903,875,835,1,0,2,4,0,1,6,6,1,13,13,0,13,20
HILLSBORO ISD,'109904,1877,1556,2,0,4,2,1,4,3,12,8,27,12,4,48,7
HITCHCOCK ISD,'084908,1642,1325,,,,,,,,,,,,,,
HOLLAND ISD,'014905,653,608,0,0,1,1,0,2,0,0,0,1,1,0,2,0
HOLLIDAY ISD,'005902,1042,978,1,1,0,2,0,0,4,2,4,6,7,0,3,16
HONDO ISD,'163904,1825,1482,0,0,1,1,0,2,0,0,0,3,3,0,6,0
HONEY GROVE ISD,'074907,623,584,0,1,4,8,8,0,5,0,1,12,12,11,3,11
HOOKS ISD,'019902,846,810,0,0,1,1,0,1,1,3,1,11,9,0,14,10
"HORIZON MONTESSORI PUBLIC
SCHOOLS",'108802,1266,365,0,0,0,1,0,0,1,1,1,0,4,0,2,4
"HOUSTON CLASSICAL CHARTER
SCHOOL",'101878,55,55,,,,,,,,,,,,,,
"HOUSTON GATEWAY ACADEMY
INC",'101828,2100,907,0,2,1,0,0,3,0,5,3,3,4,0,14,1
"HOUSTON HEIGHTS HIGH
SCHOOL",'101821,172,39,,,,,,,,*,*,*,*,*,*,*
HOUSTON ISD,'101912,197154,79303,22,13,21,56,0,0,112,56,36,55,176,0,3,320
HOWE ISD,'091905,1221,1203,3,0,6,8,4,8,5,3,1,23,20,16,21,10
HUBBARD ISD,'019913,77,76,,,,,,,,,,,,,,
HUBBARD ISD,'109905,416,154,,,,,,,,0,0,0,1,0,1,0
HUCKABAY ISD,'072908,267,267,,,,,,,,1,0,0,0,0,1,0
HUDSON ISD,'003902,2783,2526,0,1,1,0,0,2,0,5,5,22,7,0,31,8
HUFFMAN ISD,'101925,3437,2761,0,1,0,3,0,1,3,3,2,14,8,0,11,16
HUGHES SPRINGS ISD,'034903,1120,1075,1,0,2,0,0,2,1,3,0,7,8,2,11,5
HULL-DAISETTA ISD,'146905,461,396,0,0,1,0,0,0,1,0,0,4,2,3,0,3
HUMBLE ISD,'101913,45525,30631,12,16,35,17,0,68,12,42,50,216,115,0,363,60
HUNT ISD,'133902,184,182,,,,,,,,,,,,,,
HUNTINGTON ISD,'003904,1573,1556,,,,,,,,0,1,4,4,0,9,0
HUNTSVILLE ISD,'236902,10883,4066,0,5,8,19,2,20,10,6,9,38,67,8,68,44
HURST-EULESS-BEDFORD ISD,'220916,22971,11786,15,10,26,18,0,0,69,44,34,111,70,1,3,255
HUTTO ISD,'246906,8432,5253,0,0,0,1,0,1,0,0,0,0,11,0,11,0
IDALOU ISD,'152910,961,916,0,0,2,0,0,2,0,3,0,16,8,0,23,4
IDEA PUBLIC SCHOOLS,'108807,62247,21108,11,4,0,8,0,0,23,50,15,19,93,0,1,176
"IMAGINE INTERNATIONAL
ACADEMY OF NORTH TEXAS",'043801,1427,479,,,,,,,,1,2,2,1,0,5,1
INDUSTRIAL ISD,'120905,1198,1198,0,1,9,0,0,9,1,0,1,13,5,0,12,7
INGLESIDE ISD,'205903,2035,1510,0,0,1,0,0,1,0,0,2,8,2,0,8,4
INGRAM ISD,'133904,1098,1049,0,0,0,1,0,0,1,0,1,5,7,0,1,12
INSPIRE ACADEMIES,'015808,560,261,0,0,0,1,0,1,0,0,0,1,1,0,2,0
INSPIRED VISION ACADEMY,'057830,1290,650,2,2,0,1,1,4,0,4,5,9,7,5,18,2
"INTERNATIONAL LEADERSHIP
OF TEXAS (ILTEXAS)",'057848,20864,5895,8,11,10,16,1,44,0,28,29,29,65,10,127,14
IOLA ISD,'093903,535,533,,,,,,,,0,1,10,0,1,5,5
IOWA PARK CISD,'243903,1899,1712,0,0,6,5,0,0,11,4,6,27,12,0,21,28
IRA ISD,'208903,271,271,,,,,,,,0,0,1,2,0,3,0
IRAAN-SHEFFIELD ISD,'186903,338,318,,,,,,,,0,0,1,1,0,2,0
IREDELL ISD,'018906,144,141,,,,,,,,0,0,1,1,0,2,0
IRION COUNTY ISD,'118902,302,297,,,,,,,,,,,,,,
IRVING ISD,'057912,32709,12553,3,5,9,0,0,0,17,32,16,62,88,7,80,111
ITALY ISD,'070907,617,555,,,,,,,,,,,,,,
ITASCA ISD,'109907,616,553,1,3,9,1,4,5,5,1,3,15,3,4,8,10
JACKSBORO ISD,'119902,1054,1015,0,3,1,2,0,0,6,4,8,22,15,2,13,34
JACKSONVILLE ISD,'037904,4686,4368,0,2,7,6,1,4,10,12,15,70,50,4,68,75
JARRELL ISD,'246907,2329,1279,,,,,,,,0,3,4,0,0,5,2
JASPER ISD,'121904,2237,1885,,,,,,,,0,1,4,8,1,10,2
JAYTON-GIRARD ISD,'132902,176,174,0,0,0,2,0,2,0,0,2,2,2,0,6,0
JEAN MASSIEU ACADEMY,'057819,196,126,,,,,,,,,,,,,,
JEFFERSON ISD,'155901,1225,1031,,,,,,,,2,1,5,1,4,4,1
JIM HOGG COUNTY ISD,'124901,1130,485,0,0,1,0,0,0,1,1,1,8,6,0,1,15
JIM NED CISD,'221911,1415,1387,,,,,,,,0,0,6,7,0,0,13
JOAQUIN ISD,'210902,671,611,,,,,,,,2,0,6,9,4,8,5
JOHNSON CITY ISD,'016901,615,546,,,,,,,,0,3,4,1,0,0,8
JONESBORO ISD,'050909,312,303,0,1,0,1,0,2,0,0,1,0,1,0,2,0
JOSHUA ISD,'126905,5506,4599,1,1,11,4,0,0,17,5,11,30,24,0,0,70
JOURDANTON ISD,'007902,1562,1326,0,0,1,1,0,2,0,1,1,5,3,0,8,2
JUBILEE ACADEMIES,'015822,6166,2548,,,,,,,,4,0,2,11,8,9,0
JUDSON ISD,'015916,23792,9465,1,2,3,4,0,10,0,8,4,15,21,0,48,0
JUNCTION ISD,'134901,599,587,,,,,,,,0,0,8,2,1,5,4
KARNACK ISD,'102901,142,127,,,,,,,,,,,,,,
KARNES CITY ISD,'128901,1233,883,1,1,1,0,0,0,3,1,1,1,10,0,1,12
"KATHERINE ANNE PORTER
SCHOOL",'105801,99,24,,,,,,,,,,,,,,
KATY ISD,'101914,84450,49996,25,28,115,51,0,0,219,89,98,404,204,0,0,795
KAUFMAN ISD,'129903,4034,3516,2,5,12,12,0,29,2,5,8,32,26,0,67,4
KEENE ISD,'126906,1079,995,,,,,,,,2,2,4,15,1,5,17
KELLER ISD,'220907,31935,19738,13,12,64,59,0,0,148,43,41,211,142,0,4,433
KELTON ISD,'242905,119,0,,,,,,,,*,*,*,*,*,*,*
KEMP ISD,'129904,1626,1216,,,,,,,,2,1,9,9,0,5,16
KENEDY COUNTY WIDE CSD,'131001,89,89,,,,,,,,2,1,0,1,0,3,1
KENEDY ISD,'128902,720,592,2,0,0,0,0,2,0,2,0,0,3,1,2,2
KENNARD ISD,'113906,223,216,,,,,,,,0,0,1,2,0,1,2
KENNEDALE ISD,'220914,2881,1580,0,0,4,3,0,0,7,1,2,20,25,0,4,44
KERENS ISD,'175907,572,494,,,,,,,,0,0,3,8,3,6,2
KERMIT ISD,'248901,1275,1095,1,0,3,0,0,4,0,1,0,13,8,1,21,0
KERRVILLE ISD,'133903,4735,4129,1,0,7,6,1,3,10,6,3,20,12,2,22,17
KI CHARTER ACADEMY,'105803,209,209,,,,,,,,0,0,1,2,0,2,1
KILGORE ISD,'092902,3948,3593,1,5,24,9,2,5,32,2,8,66,39,4,36,75
KILLEEN ISD,'014906,44274,27405,3,5,26,21,0,0,55,37,30,96,125,0,5,283
KINGSVILLE ISD,'137901,2854,892,0,0,1,0,0,0,1,4,3,10,29,0,2,44
KIPP TEXAS PUBLIC SCHOOLS,'227820,31243,10602,,,,,,,,13,12,5,31,6,40,15
KIRBYVILLE CISD,'121905,1401,1387,,,,,,,,2,1,19,9,0,6,25
KLEIN ISD,'101915,52827,31485,6,2,12,13,0,0,33,27,25,126,68,0,0,246
KLONDIKE ISD,'058905,264,259,0,0,0,1,0,1,0,0,1,15,7,0,11,12
KNIPPA ISD,'232901,456,0,,,,,,,,,,,,,,
KNOX CITY-O'BRIEN CISD,'138902,239,224,,,,,,,,0,1,20,8,0,0,29
