Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
AVALON ISD,'070901,332,291,,,,,,,,0,0,2,1,0,3,0
AVERY ISD,'194902,322,320,,,,,,,,,,,,,,
AVINGER ISD,'034902,136,126,,,,,,,,0,0,0,1,0,1,0
AXTELL ISD,'161918,772,752,,,,,,,,1,1,4,3,0,8,1
AZLE ISD,'220915,6590,4855,4,2,6,6,1,2,15,14,11,43,28,6,25,65
BAIRD ISD,'030903,263,247,,,,,,,,,,,,,,
BALLINGER ISD,'200901,856,647,0,0,2,6,0,4,4,3,4,10,10,2,20,5
BALMORHEA ISD,'195902,150,136,,,,,,,,0,0,1,0,0,1,0
BANDERA ISD,'010902,2216,1959,1,2,1,0,0,4,0,1,6,7,3,2,10,5
BANGS ISD,'025901,836,802,0,0,1,1,0,0,2,1,2,11,8,0,0,22
BANQUETE ISD,'178913,847,512,0,0,2,0,0,2,0,1,0,8,5,1,13,0
BARBERS HILL ISD,'036902,6438,5866,0,1,9,2,0,12,0,7,3,39,24,0,73,0
BARTLETT ISD,'014902,380,348,,,,,,,,0,0,0,2,0,2,0
BASIS TEXAS,'015834,3050,850,0,0,0,2,0,0,2,1,0,0,8,0,1,8
BASTROP ISD,'011901,11441,7055,1,0,4,2,0,3,4,4,5,17,13,0,27,12
BAY CITY ISD,'158901,3557,2747,0,0,2,7,0,0,9,3,3,11,8,0,5,20
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847,471,154,,,,,,,,,,,,,,
BEAUMONT ISD,'123910,17174,8333,4,1,3,8,13,3,0,8,5,14,62,59,21,9
BECKVILLE ISD,'183901,663,645,1,0,0,0,0,0,1,1,1,3,7,1,5,6
BEEVILLE ISD,'013901,3151,2015,0,0,10,3,0,1,12,0,1,12,4,0,5,12
BELLEVUE ISD,'039904,145,140,0,0,1,1,0,2,0,0,0,2,2,0,4,0
BELLS ISD,'091901,872,824,2,0,2,0,0,1,3,3,0,7,7,2,3,12
BELLVILLE ISD,'008901,2238,2147,0,1,2,0,0,1,2,0,1,5,5,0,4,7
BELTON ISD,'014903,12609,9746,2,1,6,10,0,11,8,12,8,45,30,0,31,64
BEN BOLT-PALITO BLANCO ISD,'125902,520,187,,,,,,,,0,2,9,4,2,5,8
BENAVIDES ISD,'066901,247,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BENJAMIN ISD,'138904,131,127,,,,,,,,0,0,4,2,0,1,5
BETA ACADEMY,'101870,1198,783,1,0,0,0,0,1,0,3,1,2,0,0,6,0
"BETTY M CONDRA SCHOOL FOR
EDUCATION INNOVATION",'152806,146,114,,,,,,,,0,0,0,7,0,2,5
BEXAR COUNTY ACADEMY,'015809,274,175,,,,,,,,1,0,0,0,0,1,0
BIG SANDY ISD,'187901,526,494,,,,,,,,2,1,2,4,0,9,0
BIG SANDY ISD,'230901,642,584,,,,,,,,0,2,7,4,0,4,9
BIG SPRING ISD,'114901,3739,3299,5,1,4,2,0,0,12,13,9,52,53,3,7,117
"BIG SPRINGS CHARTER
SCHOOL",'193801,235,211,,,,,,,,0,0,0,3,1,1,1
BIRDVILLE ISD,'220902,21661,14397,15,13,16,0,0,0,44,39,52,124,7,0,0,222
BISHOP CISD,'178902,1550,556,,,,,,,,1,0,3,5,0,0,9
BLACKWELL CISD,'177903,155,152,,,,,,,,1,0,2,2,0,1,4
BLANCO ISD,'016902,1009,996,,,,,,,,0,0,0,5,0,4,1
BLAND ISD,'116915,709,589,2,0,0,0,0,2,0,4,0,6,2,0,10,2
BLANKET ISD,'025904,142,140,,,,,,,,0,0,0,1,0,0,1
"BLOOM ACADEMY CHARTER
SCHOOL",'101875,83,32,,,,,,,,,,,,,,
BLOOMBURG ISD,'034909,250,248,,,,,,,,1,1,4,3,0,8,1
BLOOMING GROVE ISD,'175902,897,881,0,0,3,0,1,2,0,1,1,11,2,1,8,6
BLOOMINGTON ISD,'235901,899,702,0,0,0,2,0,0,2,2,1,2,4,0,3,6
BLUE RIDGE ISD,'043917,864,791,,,,,,,,4,1,7,10,0,3,19
BLUFF DALE ISD,'072904,226,222,0,0,2,0,0,1,1,0,0,2,0,0,1,1
BLUM ISD,'109913,362,357,,,,,,,,1,0,2,2,3,1,1
BOB HOPE SCHOOL,'123807,2339,1135,,,,,,,,3,5,1,5,0,14,0
BOERNE ISD,'130901,9617,7749,0,1,8,6,0,9,6,4,5,50,36,1,41,53
BOLES ISD,'116916,497,433,,,,,,,,0,0,6,10,5,4,7
BOLING ISD,'241901,1096,942,,,,,,,,1,0,4,1,0,6,0
BONHAM ISD,'074903,1796,1624,1,0,1,0,0,2,0,5,3,11,0,0,19,0
BOOKER ISD,'148901,362,341,0,0,0,3,3,0,0,1,0,8,6,5,4,6
BORDEN COUNTY ISD,'017901,231,231,,,,,,,,0,1,1,3,0,2,3
BORGER ISD,'117901,2470,2092,1,2,11,5,0,3,16,10,9,69,71,14,25,120
BOSQUEVILLE ISD,'161923,730,664,,,,,,,,1,2,4,0,0,5,2
BOVINA ISD,'185901,465,429,1,0,0,5,0,1,5,2,0,5,12,0,10,9
BOWIE ISD,'169901,1693,1576,1,2,8,13,0,0,24,1,6,30,36,0,2,71
BOYD ISD,'249902,1265,1105,0,0,3,1,0,1,3,0,1,12,6,0,1,18
BOYS RANCH ISD,'180901,207,204,0,0,3,1,0,4,0,0,0,16,6,1,17,4
BRACKETT ISD,'136901,515,427,,,,,,,,0,1,0,1,0,1,1
BRADY ISD,'160901,990,906,,,,,,,,0,1,7,10,1,16,1
BRAZOS ISD,'008903,794,647,,,,,,,,0,0,3,3,0,0,6
"BRAZOS RIVER CHARTER
SCHOOL",'213801,211,204,0,0,3,0,0,3,0,0,0,5,2,0,6,1
"BRAZOS SCHOOL FOR INQUIRY
& CREATIVITY",'021803,326,326,,,,,,,,1,0,1,1,0,2,1
BRAZOSPORT ISD,'020905,11471,8732,2,2,15,0,2,16,1,17,7,40,16,2,77,1
BRECKENRIDGE ISD,'215901,1407,1317,1,0,1,1,0,3,0,3,1,18,18,0,24,16
BREMOND ISD,'198901,495,490,1,1,0,1,1,2,0,2,3,10,4,4,11,4
BRENHAM ISD,'239901,5001,4403,1,1,4,2,0,1,7,4,4,10,9,0,7,20
BRIDGE CITY ISD,'181901,3029,2764,1,0,13,1,0,15,0,3,1,25,9,1,37,0
BRIDGEPORT ISD,'249903,1959,1753,1,0,8,7,0,6,10,3,1,15,12,0,11,20
"BRIDGEWAY PREPARATORY
ACADEMY",'057851,104,66,,,,,,,,,,,,,,
BROADDUS ISD,'203902,351,336,0,0,1,0,0,1,0,0,1,3,1,0,3,2
BROCK ISD,'184909,1765,1587,3,3,2,2,0,4,6,4,3,22,11,0,11,29
BRONTE ISD,'041901,227,203,,,,,,,,4,2,1,5,0,1,11
BROOKELAND ISD,'121902,362,348,,,,,,,,,,,,,,
BROOKESMITH ISD,'025908,156,144,,,,,,,,1,0,0,0,0,0,1
BROOKS ACADEMIES OF TEXAS,'015830,3091,907,0,0,0,3,0,2,1,1,1,3,12,0,11,6
BROOKS COUNTY ISD,'024901,1431,674,,,,,,,,7,2,9,2,0,20,0
BROWNFIELD ISD,'223901,1640,1369,1,1,0,1,0,3,0,4,5,5,8,0,21,1
BROWNSBORO ISD,'107902,2591,2406,1,0,1,8,0,0,10,2,2,15,25,0,8,36
BROWNSVILLE ISD,'031901,40510,993,4,4,7,14,3,14,12,28,20,47,155,68,129,53
BROWNWOOD ISD,'025902,3439,3088,,,,,,,,9,2,41,24,1,37,38
BRUCEVILLE-EDDY ISD,'161919,614,514,0,1,4,0,0,0,5,0,1,10,2,0,0,13
BRYAN ISD,'021902,15866,11463,4,4,15,24,0,0,47,25,16,69,89,0,0,199
BRYSON ISD,'119901,260,254,,,,,,,,0,0,1,0,0,0,1
BUCKHOLTS ISD,'166907,141,131,,,,,,,,,,,,,,
BUENA VISTA ISD,'186901,241,196,,,,,,,,,,,,,,
BUFFALO ISD,'145901,947,916,,,,,,,,0,1,2,1,0,2,2
BULLARD ISD,'212902,2653,2540,0,4,21,11,1,8,27,12,9,72,69,8,38,116
BUNA ISD,'121903,1485,1366,,,,,,,,1,0,0,3,0,0,4
BURKBURNETT ISD,'243901,3196,2670,0,0,3,1,0,0,4,0,4,24,7,0,16,19
BURKEVILLE ISD,'176901,269,256,,,,,,,,0,0,0,1,0,1,0
BURLESON ISD,'126902,12568,8282,2,6,15,14,0,36,1,19,20,88,67,17,160,17
BURNET CISD,'027903,3103,2272,0,1,1,4,0,4,2,2,4,5,21,0,22,10
"BURNHAM WOOD CHARTER
SCHOOL DISTRICT",'071801,1243,348,1,0,1,2,0,4,0,4,4,6,10,0,16,8
BURTON ISD,'239903,479,470,,,,,,,,,,,,,,
BUSHLAND ISD,'188904,1447,1346,1,2,8,9,0,0,20,4,4,32,23,0,0,63
BYNUM ISD,'109902,195,188,,,,,,,,0,0,2,0,0,1,1
CADDO MILLS ISD,'116901,1992,1788,0,0,4,3,0,7,0,1,6,18,11,0,36,0
CALALLEN ISD,'178903,3967,3035,,,,,,,,4,2,4,16,3,23,0
CALDWELL ISD,'026901,1707,1549,,,,,,,,3,2,26,11,1,7,34
CALHOUN COUNTY ISD,'029901,3685,3240,0,0,3,0,0,3,0,2,2,20,20,2,42,0
CALLISBURG ISD,'049905,1136,942,1,0,1,0,1,1,0,1,2,10,9,1,6,15
CALVERT ISD,'198902,143,131,,,,,,,,0,0,0,1,0,1,0
"CALVIN NELMS CHARTER
SCHOOLS",'101837,300,95,,,,,,,,,,,,,,
CAMERON ISD,'166901,1631,1496,,,,,,,,1,2,6,6,0,14,1
CAMPBELL ISD,'116910,287,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CANADIAN ISD,'106901,877,814,2,1,3,3,0,7,2,10,6,24,13,0,21,32
CANTON ISD,'234902,2134,2110,3,5,14,1,0,0,23,8,11,30,8,0,2,55
CANUTILLO ISD,'071907,5991,423,,,,,,,,0,1,3,3,0,7,0
CANYON ISD,'191901,1142,128,14,11,66,24,0,2,113,39,43,197,138,0,21,396
CARLISLE ISD,'201913,567,564,,,,,,,,0,0,5,3,0,3,5
CARRIZO SPRINGS CISD,'064903,2063,320,0,0,0,1,0,1,0,1,0,2,12,0,15,0
