Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - September 27, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: September 21, 2020- September 27, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment During
the First Week of
School","Approximate District On
Campus Enrollment
During the First Week of
School","New
Student
Cases
Grades
EE-3","New
Student
Cases
Grades
4-6","New
Student
Cases
Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total
Student
Cases
Grades
EE-3","Total
Student
Cases
Grades
4-6","Total
Student
Cases
Grades
7-12","Total
Staff
Cases","On
Campus","Off
Campus",Unknown
"A W BROWN LEADERSHIP
ACADEMY",'057816,1404,717,.,.,.,.,.,.,.,.,.,.,.,.,.,.
A+ ACADEMY,'057829,1394,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A+ UNLIMITED POTENTIAL,'101871,131,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ABBOTT ISD,'109901,282,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ABERNATHY ISD,'095901,NR,NR,.,.,.,.,.,.,.,0,1,1,0,0,1,1
ABILENE ISD,'221901,14667,11492,0,0,1,4,0,3,2,1,3,15,15,0,22,12
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,190,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ACADEMY ISD,'014901,1710,1347,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"ACADEMY OF ACCELERATED
LEARNING INC",'101810,789,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ACADEMY OF DALLAS,'057810,297,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,236,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ADRIAN ISD,'180903,116,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ADVANTAGE ACADEMY,'057806,1202,96,0,0,0,1,0,0,1,0,0,0,3,0,2,1
AGUA DULCE ISD,'178901,396,40,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALAMO HEIGHTS ISD,'015901,4807,104,1,1,0,2,0,4,0,3,1,1,3,0,8,0
ALBA-GOLDEN ISD,'250906,853,738,1,0,2,1,0,1,3,1,0,2,1,0,1,3
ALBANY ISD,'209901,509,496,0,0,0,1,0,0,1,0,0,4,3,0,0,7
ALDINE ISD,'101902,61860,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALEDO ISD,'184907,6603,5646,0,0,1,0,0,0,1,2,0,3,4,0,4,5
ALICE ISD,'125901,4565,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
