District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
7906,433703.0,1610010.0,3617022.0,0.0,0.0
247904,36313.0,188343.0,423128.0,28238.0,28237.0
91913,147465.0,624281.0,1402498.0,0.0,0.0
28906,33252.0,171846.0,386067.0,0.0,0.0
169909,29848.0,131266.0,294899.0,0.0,0.0
139912,148477.0,572840.0,1286933.0,0.0,0.0
72801,1061253.0,4224317.0,9490281.0,0.0,0.0
125905,310553.0,1342063.0,3015056.0,0.0,0.0
189902,456762.0,1982709.0,4454322.0,0.0,0.0
167904,24951.0,105768.0,237616.0,0.0,0.0
43911,471462.0,1697671.0,3813959.0,588822.0,588823.0
98903,13303.0,49803.0,111887.0,0.0,0.0
14803,143790.0,540619.0,1214547.0,0.0,0.0
108910,899837.0,3681660.0,8271156.0,0.0,0.0
15839,58814.0,272041.0,611162.0,0.0,0.0
227824,255610.0,1095493.0,2461117.0,0.0,0.0
101853,446025.0,1892810.0,4252355.0,0.0,0.0
43912,57486.0,220533.0,495447.0,7104748.0,7104747.0
99903,124051.0,498371.0,1119633.0,0.0,0.0
34907,189737.0,1100358.0,2472047.0,0.0,0.0
116908,587040.0,2377291.0,5340783.0,0.0,0.0
250904,200621.0,889040.0,1997303.0,0.0,0.0
190903,350079.0,1478985.0,3322663.0,0.0,0.0
54903,169873.0,618427.0,1389347.0,0.0,0.0
66005,19230.0,70894.0,159269.0,0.0,0.0
234801,15252.0,60977.0,136989.0,0.0,0.0
15906,26655.0,89505.0,201081.0,304204.0,304204.0
67907,125430.0,505886.0,1136515.0,0.0,0.0
231902,20307.0,86134.0,193507.0,36760.0,36759.0
161802,209703.0,918357.0,2063167.0,0.0,0.0
101806,751462.0,3143894.0,7063019.0,0.0,0.0
236801,43044.0,163563.0,367458.0,0.0,0.0
245903,1023348.0,4436200.0,9966293.0,0.0,0.0
192901,103593.0,439009.0,986269.0,0.0,0.0
19911,47663.0,197632.0,443996.0,0.0,0.0
70911,395881.0,1849723.0,4155557.0,435838.0,435838.0
19906,126673.0,518376.0,1164575.0,0.0,0.0
196903,130563.0,567220.0,1274307.0,0.0,0.0
101876,25442.0,107839.0,242270.0,0.0,0.0
137902,185022.0,729363.0,1638575.0,0.0,0.0
45903,335742.0,1336319.0,3002152.0,0.0,0.0
175911,178953.0,746291.0,1676604.0,0.0,0.0
14801,401466.0,1671444.0,3755039.0,0.0,0.0
93905,43227.0,202260.0,454393.0,0.0,0.0
57916,8096794.0,30980223.0,69599659.0,0.0,0.0
206902,38342.0,138028.0,310092.0,0.0,0.0
161912,71875.0,305448.0,686213.0,0.0,0.0
214901,4535937.0,18649150.0,41896873.0,0.0,0.0
31911,799623.0,2878569.0,6466946.0,0.0,0.0
126907,224452.0,907234.0,2038177.0,0.0,0.0
152802,80105.0,320273.0,719520.0,0.0,0.0
67908,68021.0,244872.0,550125.0,0.0,0.0
188902,222051.0,996709.0,2239190.0,0.0,0.0
194903,124090.0,597533.0,1342408.0,0.0,0.0
137903,84494.0,376806.0,846526.0,0.0,0.0
41902,40802.0,177597.0,398986.0,0.0,0.0
161922,222697.0,978552.0,2198399.0,0.0,0.0
178909,1459671.0,5568488.0,12510074.0,0.0,0.0
76903,48803.0,208361.0,468100.0,0.0,0.0
160904,44904.0,210202.0,472236.0,0.0,0.0
166904,377097.0,1526055.0,3428410.0,0.0,0.0
69901,143899.0,546804.0,1228442.0,0.0,0.0
199901,751975.0,3295625.0,7403897.0,1563820.0,1563821.0
14907,84135.0,340472.0,764898.0,0.0,0.0
214903,3515575.0,14996667.0,33691265.0,0.0,0.0
152908,337196.0,1451329.0,3260531.0,0.0,0.0
110905,54634.0,277731.0,623946.0,0.0,0.0
177901,100354.0,415375.0,933175.0,377141.0,377141.0
73905,182973.0,753408.0,1692593.0,0.0,0.0
76904,56358.0,223594.0,502323.0,0.0,0.0
246909,2903595.0,12964740.0,29126371.0,73278.0,73279.0
75908,16883.0,88937.0,199805.0,0.0,0.0
237905,606929.0,2474932.0,5560142.0,0.0,0.0
199902,281380.0,1261429.0,2833905.0,2025528.0,2025528.0
104903,51888.0,255962.0,575040.0,0.0,0.0
128903,87925.0,316527.0,711105.0,0.0,0.0
37907,373068.0,1541395.0,3462873.0,0.0,0.0
91914,114176.0,491264.0,1103666.0,0.0,0.0
232902,120108.0,568182.0,1276469.0,0.0,0.0
92906,187405.0,644315.0,1447508.0,0.0,0.0
123913,99352.0,441875.0,992710.0,0.0,0.0
169911,40755.0,174078.0,391082.0,0.0,0.0
14908,100806.0,489256.0,1099154.0,248772.0,248772.0
112909,56650.0,213874.0,480486.0,0.0,0.0
74917,81778.0,333378.0,748962.0,0.0,0.0
226903,2934804.0,14471582.0,32511617.0,0.0,0.0
15907,21453393.0,92589570.0,208010199.0,0.0,0.0
15840,56051.0,254385.0,571497.0,0.0,0.0
203901,284840.0,1089943.0,2448648.0,0.0,0.0
31912,4781052.0,20132980.0,45230421.0,0.0,0.0
66902,531914.0,2442715.0,5487763.0,0.0,0.0
71904,1716283.0,6962081.0,15640897.0,0.0,0.0
233901,2705729.0,11565560.0,25982996.0,0.0,0.0
214902,101190.0,421540.0,947025.0,0.0,0.0
105902,1694932.0,7334343.0,16477213.0,0.0,0.0
245904,122637.0,466007.0,1046923.0,0.0,0.0
206901,187749.0,802706.0,1803346.0,0.0,0.0
58909,38597.0,180751.0,406073.0,0.0,0.0
117903,63393.0,327163.0,734999.0,0.0,0.0
61908,236126.0,858343.0,1928340.0,84971.0,84971.0
42903,107647.0,539754.0,1212603.0,0.0,0.0
84909,411181.0,1524120.0,3424063.0,318366.0,318365.0
137904,128736.0,627071.0,1408766.0,0.0,0.0
31913,308853.0,1174433.0,2638462.0,0.0,0.0
31914,562168.0,2136188.0,4799125.0,0.0,0.0
182904,74625.0,435627.0,978673.0,0.0,0.0
74911,27032.0,140334.0,315272.0,0.0,0.0
94902,806633.0,3369185.0,7569156.0,2053141.0,2053141.0
207901,116981.0,484658.0,1088825.0,0.0,0.0
15806,411747.0,1564601.0,3515006.0,0.0,0.0
15827,307193.0,1806907.0,4059366.0,0.0,0.0
15831,463968.0,2615804.0,5876623.0,0.0,0.0
75903,131294.0,626509.0,1407505.0,0.0,0.0
129910,176881.0,816352.0,1834004.0,0.0,0.0
83901,249338.0,1008501.0,2265681.0,0.0,0.0
8902,418550.0,1683216.0,3781485.0,0.0,0.0
94901,1457375.0,5923906.0,13308549.0,0.0,0.0
83903,593512.0,3021162.0,6787293.0,0.0,0.0
101802,482838.0,2139326.0,4806174.0,0.0,0.0
12901,134020.0,608676.0,1367442.0,0.0,0.0
