Variable,Format_Type,Description
m_ethw_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- White Students
m_sexf_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Female Students
m_sexf_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Female Students
m_sexf_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Female Students
m_sexf_rs,Numeric,Average Scale Score -- Mathematics -- Female Students
m_sexf_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Female Students
m_sexm_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Male Students
m_sexm_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Male Students
m_sexm_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Male Students
m_sexm_rs,Numeric,Average Scale Score -- Mathematics -- Male Students
m_sexm_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Male Students
m_ti10_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Nonparticipant (Not Previous Participant Students)
m_ti10_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Nonparticipant (Not Previous Participant Students)
m_ti10_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Nonparticipant (Not Previous Participant Students)
m_ti10_rs,Numeric,Average Scale Score -- Mathematics -- Nonparticipant (Not Previous Participant Students)
m_ti10_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Nonparticipant (Not Previous Participant Students)
m_ti16_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Schoolwide Program Participant Students
m_ti16_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Schoolwide Program Participant Students
m_ti16_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Schoolwide Program Participant Students
m_ti16_rs,Numeric,Average Scale Score -- Mathematics -- Schoolwide Program Participant Students
m_ti16_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Schoolwide Program Participant Students
m_ti17_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Targeted Assistance Participant Students
m_ti17_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Targeted Assistance Participant Students
m_ti17_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Targeted Assistance Participant Students
m_ti17_rs,Numeric,Average Scale Score -- Mathematics -- Targeted Assistance Participant Students
m_ti17_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Targeted Assistance Participant Students
m_ti18_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Nonparticipant (Previous Participant) Students
m_ti18_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Nonparticipant (Previous Participant) Students
m_ti18_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Nonparticipant (Previous Participant) Students
m_ti18_rs,Numeric,Average Scale Score -- Mathematics -- Nonparticipant (Previous Participant) Students
m_ti18_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Nonparticipant (Previous Participant) Students
m_ti19_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Homeless Participant at Non-Title-I Schools Students
m_ti19_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Homeless Participant at Non-Title-I Schools Students
m_ti19_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Homeless Participant at Non-Title-I Schools Students
m_ti19_rs,Numeric,Average Scale Score -- Mathematics -- Homeless Participant at Non-Title-I Schools Students
m_ti19_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Homeless Participant at Non-Title-I Schools Students
m_ti1n_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Not Title-I Participant Students Codes: 0 8
m_ti1n_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Not Title-I Participant Students Codes: 0 8
m_ti1n_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Not Title-I Participant Students Codes: 0 8
m_ti1n_rs,Numeric,Average Scale Score -- Mathematics -- Not Title-I Participant Students Codes: 0 8
m_ti1n_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Not Title-I Participant Students Codes: 0 8
m_ti1y_approgl_rm,Numeric,% Approaches Grade Level Performance -- Mathematics -- Title-I Participant Students Codes: 6 7 9
m_ti1y_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Mathematics -- Title-I Participant Students Codes: 6 7 9
m_ti1y_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Mathematics -- Title-I Participant Students Codes: 6 7 9
m_ti1y_rs,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9
m_ti1y_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Mathematics -- Title-I Participant Students Codes: 6 7 9
r_all_approgl_nm,Numeric,# Approaches Grade Level Performance -- Reading -- All Students
r_all_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- All Students
r_all_d,Numeric,# Tested -- Reading -- All Students
r_all_mastrgl_nm,Numeric,# Masters Grade Level Performance -- Reading -- All Students
r_all_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- All Students
r_all_meetsgl_nm,Numeric,# Meets Grade Level Performance -- Reading -- All Students
r_all_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- All Students
r_all_unsatgl_nm,Numeric,# Did Not Meet Grade Level Performance -- Reading -- All Students
r_all_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- All Students
r_eco1_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Free Meals Students
r_eco1_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Free Meals Students
r_eco1_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Free Meals Students
r_eco1_rs,Numeric,Average Scale Score -- Reading -- Free Meals Students
r_eco1_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Free Meals Students
r_eco2_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Reduced-Price Meals Students
r_eco2_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Reduced-Price Meals Students
r_eco2_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Reduced-Price Meals Students
r_eco2_rs,Numeric,Average Scale Score -- Reading -- Reduced-Price Meals Students
r_eco2_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Reduced-Price Meals Students
r_econ_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Not Econ Disadv Students
r_econ_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Not Econ Disadv Students
r_econ_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Not Econ Disadv Students
r_econ_rs,Numeric,Average Scale Score -- Reading -- Not Econ Disadv Students
r_econ_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Not Econ Disadv Students
r_ecoy_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Econ Disadv Students Codes: 1 2 9
